seed,phase,task,step,model,optimizer,rule,rate,selected_rate,common_rate,test_nmse,validation_nmse,population_nmse,parameter_norm,max_abs_parameter,gradient_clipped_steps,parameter_projected_steps,elapsed_seconds
210102,development,0,0,conductance,sgd,exact,0.001,False,False,1.096829925524507,1.1685649389642854,1.1519462899589799,4.312785030464928,1.6314246427290435,0,0,0.12683853902854025
210102,development,0,0,conductance,sgd,exact,0.003,False,False,1.096829925524507,1.1685649389642854,1.1519462899589799,4.312785030464928,1.6314246427290435,0,0,0.1268858079565689
210102,development,0,0,conductance,sgd,exact,0.01,False,False,1.096829925524507,1.1685649389642854,1.1519462899589799,4.312785030464928,1.6314246427290435,0,0,0.12691285705659539
210102,development,0,0,conductance,sgd,unit_broadcast,0.001,False,False,1.096829925524507,1.1685649389642854,1.1519462899589799,4.312785030464928,1.6314246427290435,0,0,0.12693672894965857
210102,development,0,0,conductance,sgd,unit_broadcast,0.003,False,False,1.096829925524507,1.1685649389642854,1.1519462899589799,4.312785030464928,1.6314246427290435,0,0,0.12695919000543654
210102,development,0,0,conductance,sgd,unit_broadcast,0.01,False,False,1.096829925524507,1.1685649389642854,1.1519462899589799,4.312785030464928,1.6314246427290435,0,0,0.1269812589744106
210102,development,0,0,conductance,sgd,calibrated_broadcast,0.001,False,False,1.096829925524507,1.1685649389642854,1.1519462899589799,4.312785030464928,1.6314246427290435,0,0,0.12700405297800899
210102,development,0,0,conductance,sgd,calibrated_broadcast,0.003,False,False,1.096829925524507,1.1685649389642854,1.1519462899589799,4.312785030464928,1.6314246427290435,0,0,0.12702532997354865
210102,development,0,0,conductance,sgd,calibrated_broadcast,0.01,False,False,1.096829925524507,1.1685649389642854,1.1519462899589799,4.312785030464928,1.6314246427290435,0,0,0.12704698299057782
210102,development,0,0,conductance,sgd,sign_broadcast,0.001,False,False,1.096829925524507,1.1685649389642854,1.1519462899589799,4.312785030464928,1.6314246427290435,0,0,0.12706845195498317
210102,development,0,0,conductance,sgd,sign_broadcast,0.003,False,False,1.096829925524507,1.1685649389642854,1.1519462899589799,4.312785030464928,1.6314246427290435,0,0,0.12708967796061188
210102,development,0,0,conductance,sgd,sign_broadcast,0.01,False,False,1.096829925524507,1.1685649389642854,1.1519462899589799,4.312785030464928,1.6314246427290435,0,0,0.12711196998134255
210102,development,0,0,conductance,adam,exact,0.003,False,False,1.096829925524507,1.1685649389642854,1.1519462899589799,4.312785030464928,1.6314246427290435,0,0,0.12713335105217993
210102,development,0,0,conductance,adam,exact,0.01,False,False,1.096829925524507,1.1685649389642854,1.1519462899589799,4.312785030464928,1.6314246427290435,0,0,0.1271674579475075
210102,development,0,0,conductance,adam,exact,0.03,False,False,1.096829925524507,1.1685649389642854,1.1519462899589799,4.312785030464928,1.6314246427290435,0,0,0.1271984640043229
210102,development,0,0,conductance,adam,unit_broadcast,0.003,False,False,1.096829925524507,1.1685649389642854,1.1519462899589799,4.312785030464928,1.6314246427290435,0,0,0.12722277699504048
210102,development,0,0,conductance,adam,unit_broadcast,0.01,False,False,1.096829925524507,1.1685649389642854,1.1519462899589799,4.312785030464928,1.6314246427290435,0,0,0.12724487099330872
210102,development,0,0,conductance,adam,unit_broadcast,0.03,False,False,1.096829925524507,1.1685649389642854,1.1519462899589799,4.312785030464928,1.6314246427290435,0,0,0.12727617204654962
210102,development,0,0,conductance,adam,calibrated_broadcast,0.003,False,False,1.096829925524507,1.1685649389642854,1.1519462899589799,4.312785030464928,1.6314246427290435,0,0,0.12729528499767184
210102,development,0,0,conductance,adam,calibrated_broadcast,0.01,False,False,1.096829925524507,1.1685649389642854,1.1519462899589799,4.312785030464928,1.6314246427290435,0,0,0.12732387299183756
210102,development,0,0,conductance,adam,calibrated_broadcast,0.03,False,False,1.096829925524507,1.1685649389642854,1.1519462899589799,4.312785030464928,1.6314246427290435,0,0,0.12734224100131541
210102,development,0,0,conductance,adam,sign_broadcast,0.003,False,False,1.096829925524507,1.1685649389642854,1.1519462899589799,4.312785030464928,1.6314246427290435,0,0,0.12736064905766398
210102,development,0,0,conductance,adam,sign_broadcast,0.01,False,False,1.096829925524507,1.1685649389642854,1.1519462899589799,4.312785030464928,1.6314246427290435,0,0,0.12737951101735234
210102,development,0,0,conductance,adam,sign_broadcast,0.03,False,False,1.096829925524507,1.1685649389642854,1.1519462899589799,4.312785030464928,1.6314246427290435,0,0,0.12739773897919804
210102,development,0,1,conductance,sgd,exact,0.001,False,False,1.0925518840563309,1.1640513559641967,1.147526626914862,4.311903862163057,1.6307451756756821,0,0,0.253720186999999
210102,development,0,1,conductance,sgd,exact,0.003,False,False,1.0840298084109912,1.1550591918506903,1.1387213235570295,4.310142507603611,1.629386241568959,0,0,0.2537563239457086
210102,development,0,1,conductance,sgd,exact,0.01,False,False,1.0545589797612336,1.1239535199742285,1.1082593619702832,4.303988099198067,1.6246299721954287,0,0,0.25378274999093264
210102,development,0,1,conductance,sgd,unit_broadcast,0.001,False,False,1.0828674248202288,1.1538359593115601,1.1375311931398597,4.309351453881913,1.6307451756756821,0,0,0.2538066749693826
