panel,task,optimizer,rule,step,mean,ci_low,ci_high,n,phase,rate_scope,contrast,n_positive,n_negative,metric
B,gated_conflict,adam,calibrated_broadcast,4096.0,0.0007835942406659201,0.00048573391915474295,0.001141294352221575,20.0,,,,,,
B,gated_conflict,adam,calibrated_broadcast,8192.0,0.0007001547227829767,0.0003843049554895395,0.0010695902623946668,20.0,,,,,,
B,gated_conflict,adam,calibrated_broadcast,12288.0,0.0006294160376215921,0.0003440470760294992,0.0009657002072328351,20.0,,,,,,
B,gated_conflict,adam,calibrated_broadcast,16384.0,0.0005159678881469437,0.00028064182157503255,0.0007898436797293465,20.0,,,,,,
C,,adam,calibrated_broadcast,,0.0005022715940901,0.0002671041210182,0.0007724629159524,20.0,extension,selected,target_gap,20.0,0.0,
C,,sgd,calibrated_broadcast,,0.0001142907035277,7.590668094859069e-05,0.0001567451640941,20.0,extension,selected,target_gap,20.0,0.0,
D,ungated_independent,,,,1.0000000000000007,1.0,1.000000000000001,,,,,,,path_rank_one_capture
D,gated_conflict,,,,0.88547837060831,0.8834000912177655,0.8875838782722217,,,,,,,path_rank_one_capture
D,ungated_independent,,,,0.9789063466726047,0.9715863863285207,0.9861823074461858,,,,,,,eligibility_calibrated_oracle_capture
D,gated_conflict,,,,0.9697394305016251,0.9682968907851838,0.9712718539326523,,,,,,,eligibility_calibrated_oracle_capture
