task,optimizer,rule,rate,validation_nmse
gated_conflict,adam,calibrated_broadcast,0.003,0.023352332971137035
gated_conflict,adam,calibrated_broadcast,0.01,0.0016339516923176334
gated_conflict,adam,calibrated_broadcast,0.03,0.0009741971947394666
gated_conflict,adam,exact,0.003,0.010901064698675701
gated_conflict,adam,exact,0.01,0.0011382014658565334
gated_conflict,adam,exact,0.03,0.0004770474513744
gated_conflict,adam,unit_broadcast,0.003,0.0103250269648809
gated_conflict,adam,unit_broadcast,0.01,0.0013704154497435667
gated_conflict,adam,unit_broadcast,0.03,0.0008112781418420445
gated_conflict,sgd,calibrated_broadcast,0.03,0.009265322158864801
gated_conflict,sgd,calibrated_broadcast,0.1,0.0012641668782488666
gated_conflict,sgd,calibrated_broadcast,0.3,0.0005108802519249667
gated_conflict,sgd,exact,0.03,0.008911302060836833
gated_conflict,sgd,exact,0.1,0.0011400580296701333
gated_conflict,sgd,exact,0.3,0.00040399308700273337
gated_conflict,sgd,unit_broadcast,0.03,0.0017049064036291333
gated_conflict,sgd,unit_broadcast,0.1,0.0009809359126244
gated_conflict,sgd,unit_broadcast,0.3,0.0008276349484477667
gated_independent,adam,calibrated_broadcast,0.003,0.0235062426377815
gated_independent,adam,calibrated_broadcast,0.01,0.0023150030051357
gated_independent,adam,calibrated_broadcast,0.03,0.00013299703941216192
gated_independent,adam,exact,0.003,0.014653766419062233
gated_independent,adam,exact,0.01,0.0015441023339202331
gated_independent,adam,exact,0.03,0.0003613443412461
gated_independent,adam,unit_broadcast,0.003,0.0167181750575148
gated_independent,adam,unit_broadcast,0.01,0.0012761853553469
gated_independent,adam,unit_broadcast,0.03,5.732496816444757e-05
gated_independent,sgd,calibrated_broadcast,0.03,0.0134692258495199
gated_independent,sgd,calibrated_broadcast,0.1,0.0023871211324965665
gated_independent,sgd,calibrated_broadcast,0.3,0.0008661743781758334
gated_independent,sgd,exact,0.03,0.0112048982164683
gated_independent,sgd,exact,0.1,0.001957169263382933
gated_independent,sgd,exact,0.3,0.0007188517968535333
gated_independent,sgd,unit_broadcast,0.03,0.0029550237706033335
gated_independent,sgd,unit_broadcast,0.1,0.0004408208282737
gated_independent,sgd,unit_broadcast,0.3,6.233595178338504e-05
moderate_conflict,adam,calibrated_broadcast,0.003,0.009697130239538899
moderate_conflict,adam,calibrated_broadcast,0.01,0.0015447610145262
moderate_conflict,adam,calibrated_broadcast,0.03,0.0006411553122465333
moderate_conflict,adam,exact,0.003,0.017671038466517967
moderate_conflict,adam,exact,0.01,0.0015170839786827
moderate_conflict,adam,exact,0.03,0.0010131314752177
moderate_conflict,adam,unit_broadcast,0.003,0.0034869712884001334
moderate_conflict,adam,unit_broadcast,0.01,0.001344126855451
moderate_conflict,adam,unit_broadcast,0.03,0.00015948200253121606
moderate_conflict,sgd,calibrated_broadcast,0.03,0.0038613382951812
moderate_conflict,sgd,calibrated_broadcast,0.1,0.0006055944792439667
moderate_conflict,sgd,calibrated_broadcast,0.3,0.0004726249820497333
moderate_conflict,sgd,exact,0.03,0.0052266271021278
moderate_conflict,sgd,exact,0.1,0.0006783170128498334
moderate_conflict,sgd,exact,0.3,0.0004620726530152
moderate_conflict,sgd,unit_broadcast,0.03,0.0010172216114224667
moderate_conflict,sgd,unit_broadcast,0.1,0.0007839452006406333
moderate_conflict,sgd,unit_broadcast,0.3,0.0006191912016099999
ungated_independent,adam,calibrated_broadcast,0.003,0.008388230376751533
ungated_independent,adam,calibrated_broadcast,0.01,0.0014476732085575332
ungated_independent,adam,calibrated_broadcast,0.03,4.721695965402756e-05
ungated_independent,adam,exact,0.003,0.015379050452245399
ungated_independent,adam,exact,0.01,0.0026478424525593664
ungated_independent,adam,exact,0.03,0.00012348200040642604
ungated_independent,adam,unit_broadcast,0.003,0.0069201475845609
ungated_independent,adam,unit_broadcast,0.01,0.0010026943176463
ungated_independent,adam,unit_broadcast,0.03,3.7739541929043245e-05
ungated_independent,sgd,calibrated_broadcast,0.03,0.007293299772227966
ungated_independent,sgd,calibrated_broadcast,0.1,0.001573993424385067
ungated_independent,sgd,calibrated_broadcast,0.3,0.0007567942374041332
ungated_independent,sgd,exact,0.03,0.0084586292084185
ungated_independent,sgd,exact,0.1,0.0017689499656020667
ungated_independent,sgd,exact,0.3,0.0007809246620537001
ungated_independent,sgd,unit_broadcast,0.03,0.0032760130160441
ungated_independent,sgd,unit_broadcast,0.1,0.00038587552894609996
ungated_independent,sgd,unit_broadcast,0.3,1.4830901715701703e-05
