architecture,contrast,n_seeds,mean_difference,ci95_low,ci95_high,positive_seeds,negative_seeds,exact_two_sided_sign_flip_p
shunting,neuron indexed - scalar fallback,10,0.04462999105453491,0.040909993648529056,0.04880999326705933,10,0,0.001953125
shunting,exact path - neuron indexed,10,-0.0010699987411499023,-0.0021299898624420168,-5.998015403747558e-05,2,8,0.095703125
additive,neuron indexed - scalar fallback,10,0.03781000971794128,0.034280014038085935,0.04140026509761812,10,0,0.001953125
additive,exact path - neuron indexed,10,0.0013199865818023682,-0.0008099973201751709,0.0035399913787841795,8,2,0.314453125
