architecture,feedback,n_seeds,mean_accuracy,sd_accuracy,ci95_low,ci95_high
shunting,scalar fallback,10,0.8393199801445007,0.005157265805731084,0.8361499726772308,0.8421799838542938
shunting,neuron indexed,10,0.8839499711990356,0.002306629536372137,0.8826399683952332,0.8853199720382691
shunting,exact path,10,0.8828799724578857,0.0022695140785354453,0.8815399706363678,0.8841999769210815
additive,scalar fallback,10,0.8441999733448029,0.005121854317089571,0.8411099672317505,0.8470999836921692
additive,neuron indexed,10,0.8820099830627441,0.0031074948472642337,0.8802699863910675,0.8838999748229981
additive,exact path,10,0.8833299696445465,0.002437692883423049,0.8819799779355526,0.884859973192215
