architecture,core,seed,feedback,broadcast_mode,test_accuracy,run_dir,config_index,config_sha256,result_sha256,checkpoint_sha256
additive,dendritic_additive,10200,exact path,path_transport,0.8829999566078186,fashion_feedback_runs/journal_fashion_feedback_ladder_additive_20260813020421,20,7295f3c4fb1a1ace7abc5d6ae0ac50a961f9b5a70a06db7c4f65a8ef6c1a3651,f34f8bdd628ffdcb3610fbe7f9e41e789d847c80a752ed6435e21cae9a78a021,c670f945ca9336e160231c3fe57137c3e3e23e05753cec655dc2fa37494d3948
additive,dendritic_additive,10200,neuron indexed,per_soma_shared,0.8848999738693237,fashion_feedback_runs/journal_fashion_feedback_ladder_additive_20260813020421,10,9744219d487aa5943f41d2abd9e260a948a40ff9c1434f8ee7489b9281054561,f3efee6a9f8ad3baf88f1fe9715a3e9ebac596d41fab9a8ce2cf85f71ee6ba86,3d7b038e71650dc1c0ab89a4955ab3f8c795c4cf568cec7921be3cc2e40aaf0e
additive,dendritic_additive,10200,scalar fallback,per_soma,0.8398999571800232,fashion_feedback_runs/journal_fashion_feedback_ladder_additive_20260813015313,0,3fcc08f3cdf18631b0931827bbbdffb864dc95f4cab0a021ba274c4f837c1d79,4a59c446088d5537d4614efa3c09b86402854f5c544673106ee26be1427f0ced,d82408b81e9578c522e07e5c062f97fa274f23878847552901734400cbaf649c
additive,dendritic_additive,10201,exact path,path_transport,0.8823999762535095,fashion_feedback_runs/journal_fashion_feedback_ladder_additive_20260813020421,21,17eef624241f62b6d2126430ab9a68061b225d64ca248357ee296375c7123238,932abb9fe01c7e3ac0b959cc315dcffe73594380c17c69abfb4f3c08f8d2f078,faf09384511e84a3b7269f261bcf15334326ace8b546ebae4a82a22608a0dd46
additive,dendritic_additive,10201,neuron indexed,per_soma_shared,0.8876999616622925,fashion_feedback_runs/journal_fashion_feedback_ladder_additive_20260813020421,11,a006db66194e6b8e7d1038c02b244902a48b0a0ffd4947fcb186e2fb85da4e24,458c192cc2fbc1147b35c9f4813b8bb42e8cfa12943df44cb9ecab196da50905,deb4079094456858d6eaded473499acbe32a4f4b8a52f8b8b81307c9ba03c316
additive,dendritic_additive,10201,scalar fallback,per_soma,0.8479999899864197,fashion_feedback_runs/journal_fashion_feedback_ladder_additive_20260813015313,1,6f20e79589883a037faccea18fceebafaa6dceb0f725b0930d5449248fe15f67,8c9263e4229223576dd0406300a3e5fbb2b1fba92891c3a1713c5a1afeffa7bc,e6efa8a0ee23c74abc15cf7ab1f12206af73fd36404a9d2f9f1b847a7766299a
additive,dendritic_additive,10202,exact path,path_transport,0.8817999958992004,fashion_feedback_runs/journal_fashion_feedback_ladder_additive_20260813020421,22,3776f71091e26cedd5b23d8243d5b8d8489c9986250bd195f9653b14327546ae,762bcfb1e35341508320eea8de1a248dfed9cd60266ee1d61f2192a1087eb3dc,980240c2d759e60453feb771f3e1a758e6cf06fd6cb1abb8e57da22b2907ea08
additive,dendritic_additive,10202,neuron indexed,per_soma_shared,0.8812999725341797,fashion_feedback_runs/journal_fashion_feedback_ladder_additive_20260813020421,12,531017ce0bb2e58594fdef5dc7173044034c5ca65ca3f54064bfc63231dd9c1a,63e9ec57682662ca9f0b2d260ab7355eaec84187e7c59331c8735bfe29347968,8ff2c8c0636d6381be25fcd28b980bd7c8c449742dfe5b28ba82c6990471cac2
additive,dendritic_additive,10202,scalar fallback,per_soma,0.8406999707221985,fashion_feedback_runs/journal_fashion_feedback_ladder_additive_20260813015313,2,52f03c5c60f3869ebed1e0a2d0a2ead824ccd8e8c818975b2915e79096ae47c7,c3d502f32ea5fe5354953819ebb7b27fe60b416b8973b2b576be31652c06dc45,26e99e7adebf86774950d1420d86a335413539201a5f02cfc9be44a113983735
additive,dendritic_additive,10203,exact path,path_transport,0.8800999522209167,fashion_feedback_runs/journal_fashion_feedback_ladder_additive_20260813020421,23,13e4be56fc94477cf4b4b2891a378ef133d368edc7f88fc1ddd10d959a634e54,365852e0db614e0aae0cb6e39c704619273cc49e550cc193b4319faf75a8746e,64924839068edbfbcfbc8a43a6d3526f629d523dbfbba49eced20eca8241f8c1
additive,dendritic_additive,10203,neuron indexed,per_soma_shared,0.8784999847412109,fashion_feedback_runs/journal_fashion_feedback_ladder_additive_20260813020421,13,91824d679fd5dd14283b2384348b4c3f198d724be24dad9e14cf5afa56f32731,b51e4021660fc6cf55642c094791e93622d917acf6b340ca030d2317017e8f2d,8a619b568a442b1eee1007f50333841d1f53b8fd3421d4ece7425c5480f2ef7a
additive,dendritic_additive,10203,scalar fallback,per_soma,0.8399999737739563,fashion_feedback_runs/journal_fashion_feedback_ladder_additive_20260813015313,3,33078b07a339ae45453d1a893e90fa777dc067b0787b2197403f191afcb20b35,482dc20c9ff35df223489e60a7a55b3561ffe213f49a411b444db81ffb53bfeb,d8d432056d495257b17edcc49ecaa64f2bca307efc0970b761e1aff3ee6dc8fc
additive,dendritic_additive,10204,exact path,path_transport,0.8883000016212463,fashion_feedback_runs/journal_fashion_feedback_ladder_additive_20260813020421,24,8709228c7d37e40d9144f9c3696fe026fc09e66dfd86ecc3881a58f798424c6a,2905aa630adfcb54040e02099e489154434ce9e1b1a2c866f857340f17f67d18,53949144aaa482001379c2a558f7ae57e3d3ae9138e48eae5b95338f5336501c
additive,dendritic_additive,10204,neuron indexed,per_soma_shared,0.8792999982833862,fashion_feedback_runs/journal_fashion_feedback_ladder_additive_20260813020421,14,a76f27110d7cfb7eb9bfdbe5e0ce3d57870bf50a712cda72c30f106e3120e6fa,3bb77220ec95cab1c85fa350b9b3e3fcc73c843c516a9a55a3fd4e1b27c0f1e3,0cd1da978561af64d6a6abb5fef403a93a121bce37430a8f27058722718eb584
additive,dendritic_additive,10204,scalar fallback,per_soma,0.8456999659538269,fashion_feedback_runs/journal_fashion_feedback_ladder_additive_20260813015313,4,63e3ad91bbb4b1217ae10dbe37358d66947c2c094c8734c017a9fa3e394e0f8b,f97a3cbb7f5889b47ff7fd1d03a6c35ae6a6c9d8066afacb0062109c1d80928e,53705d427b48c3ae357f041d860eef73e1a950fecafdc3d01dae7f649910c18a
additive,dendritic_additive,10205,exact path,path_transport,0.8829999566078186,fashion_feedback_runs/journal_fashion_feedback_ladder_additive_20260813020421,25,cc40875ab0765a2f6cb5c78678bcd41ae24947f3e7a92a56b1fb60e3b53af2f8,0fd08c1d76d8febe439f08fafaf2e48b468cec453a38b8a01933e8b13a25ed5c,dfb40d935dc25f032847aa22cc7fda3e5e20e5f58cd3f5b93549b95ee0adf8b0
additive,dendritic_additive,10205,neuron indexed,per_soma_shared,0.8807999491691589,fashion_feedback_runs/journal_fashion_feedback_ladder_additive_20260813020421,15,cb14f399f3dcf1b6f2e1c7811662c0163c1206e685412105858db3207def9144,1a1faa5f464a3b6f59d1554898a223758673d294ca27aa93cbae3553267dd777,9f609ff6cd4a5e246951b5aef7879e8bd7d08cd726d670fae54c6727acd02eb1
additive,dendritic_additive,10205,scalar fallback,per_soma,0.8483999967575073,fashion_feedback_runs/journal_fashion_feedback_ladder_additive_20260813015313,5,1703f48ec12a583ac0e7fadf210e8daf45495430189d40251babdce13dfe1a43,f717b9710d293968754121adacf9ef7aa061921ef0a1a85005dd78e0a2cb07c0,541dc0053fd77bf18d78ad48288a2b369b617425c197e15c8b9a19c807f88dec
