task_depth,model_depth,mean_final_population_loss,mean_utility,n
1,1,0.025971336393484,0.27100271,50
1,2,0.2052483721128,0.07016312928,50
1,3,1.10199500493,0.014634324809999998,50
1,4,4.33999585194,0.003665386836,50
2,1,0.2135625782128,0.14377923033713402,50
2,2,0.053843109758459996,0.1858736059,50
2,3,0.3479732502508,0.03772873043,50
2,4,2.2832640496120002,0.007425834478,50
3,1,0.321357476444,0.077405939593229,50
3,2,0.2249099924264,0.0990824057599,50
3,3,0.1148815914494,0.1141552511,50
3,4,0.7702370327820001,0.01960399922,50
4,1,0.34283182207199997,0.067554537454142,50
4,2,0.268051541176,0.07967779282538,50
4,3,0.2223435920192,0.0754711457316,50
4,4,0.2147508735168,0.06443298969,50
