seed,budget_k,accuracy_contrast,utility_contrast,utility_contrast_non_oracle,accuracy_contrast_non_oracle
4200,1,-0.5942382812,-0.2588315463,-0.2588315463,-0.5942382812
4200,2,-0.2822265625,-0.20366557119753098,-0.082277871377531,-0.2822265625
4200,4,-0.013183593699999996,-0.1844086339,-0.1844086339,-0.013183593699999996
4200,8,0.0,0.0,0.0,0.0
4201,1,-0.4340820313,-0.1921055675,-0.1921055675,-0.2592773438
4201,2,-0.267578125,-0.2031200422,0.0,0.056152343800000004
4201,4,-0.005371093800000004,-0.25176440609999995,-0.25176440609999995,-0.005371093800000004
4201,8,0.0,0.0,0.0,0.0
4202,1,-0.3583984375,-0.2282520075,-0.2282520075,-0.3583984375
4202,2,-0.31640625,-0.28070983026116,-0.28070983026116,-0.31640625
4202,4,0.033691406300000004,-0.010213615600000003,0.03622809779999997,0.033691406300000004
4202,8,0.0,0.0,0.0,0.0
4203,1,-0.5610351562,-0.1575330318,-0.1575330318,-0.5610351562
4203,2,-0.1098632813,-0.285390510185,-0.285390510185,-0.1030273438
4203,4,0.007324218800000004,-0.14159102519999994,-0.14159102519999994,0.007324218800000004
4203,8,0.0,0.0,0.0,0.0
4204,1,-0.63671875,-0.5253670745,-0.5253670745,-0.63671875
4204,2,-0.376953125,-0.2971406077,-0.2971406077,-0.376953125
4204,4,0.0341796875,-0.09671506999999996,-0.09671506999999996,0.0341796875
4204,8,0.0,0.0,0.0,0.0
4205,1,-0.3330078125,-0.1253637184,-0.0172524498,-0.1762695312
4205,2,-0.2280273437,-0.3555536782008,-0.3555536782008,-0.2280273437
4205,4,-0.0014648438000000041,-0.3030418217,-0.3030418217,-0.0014648438000000041
4205,8,0.0,0.0,0.0,0.0
4206,1,-0.5673828126,-0.1987355329,-0.1987355329,-0.5673828126
4206,2,-0.404296875,-0.399058488,-0.399058488,-0.404296875
4206,4,0.018066406300000004,-0.034852314100000004,0.09520187599999999,0.018066406300000004
4206,8,0.0,0.0,0.0,0.0
4207,1,-0.462890625,-0.2135484341,-0.2135484341,-0.3486328126
4207,2,-0.3051757812,-0.3038415582,-0.3038415582,-0.1166992188
4207,4,0.037109375,-0.11380963929999999,-0.11380963929999999,0.037109375
4207,8,0.0,0.0,0.0,0.0
4208,1,-0.4008789062,-0.1292603475,-0.1292603475,-0.2612304688
4208,2,-0.2338867188,-0.1896771751,-0.09204812338,-0.1342773438
4208,4,0.0078125,-0.017924117000000017,-0.017924117000000017,0.0078125
4208,8,0.0,0.0,0.0,0.0
4209,1,-0.326171875,-0.2305497491,-0.2305497491,-0.2680664062
4209,2,-0.24609375,-0.23218748376099999,-0.22735792756099998,-0.24609375
4209,4,0.005859375,-0.15172966579999997,-0.15172966579999997,0.005859375
4209,8,0.0,0.0,0.0,0.0
4210,1,-0.3959960938,-0.1433258786,-0.06100673261,-0.2641601562
4210,2,-0.1171875,-0.254344634917,-0.0032070317910000003,0.1650390625
4210,4,-0.008300781300000004,-0.29943836250000005,-0.29943836250000005,-0.008300781300000004
4210,8,0.0,0.0,0.0,0.0
4211,1,-0.4184570313,-0.09835780463,0.0,-0.0859375
4211,2,-0.2060546875,-0.19056381940161,-0.12172034010161,-0.002441406199999996
4211,4,0.0014648436999999959,-0.37902019719999996,-0.37902019719999996,0.0014648436999999959
4211,8,0.0,0.0,0.0,0.0
4212,1,-0.6147460937,-0.1729766648,-0.1729766648,-0.6147460937
4212,2,-0.0893554688,-0.24452001727599998,-0.058393685076,0.0688476562
4212,4,0.037597656300000004,0.005624958999999985,0.3528487853,0.037597656300000004
4212,8,0.0,0.0,0.0,0.0
4213,1,-0.5991210937,-0.1036387164,-0.1036387164,-0.5991210937
4213,2,-0.203125,-0.192678028,-0.1845325907,0.009765625
4213,4,0.016113281300000004,-0.14273206170000002,-0.14273206170000002,0.016113281300000004
4213,8,0.0,0.0,0.0,0.0
4214,1,-0.33203125,-0.1092119573,-0.002264313132,-0.1879882812
4214,2,-0.173828125,-0.2127970759,-0.0355312383,-0.07910156260000001
4214,4,0.0302734375,-0.06812710709999997,-0.003602920899999973,0.0302734375
4214,8,0.0,0.0,0.0,0.0
4215,1,-0.5932617187,-0.1206950885,-0.1206950885,-0.5932617187
4215,2,-0.3315429688,-0.3392784464,-0.3392784464,-0.3315429688
4215,4,-0.009765625,-0.3649027597,-0.3649027597,-0.009765625
4215,8,0.0,0.0,0.0,0.0
4216,1,-0.35546875,-0.1391360121,-0.1369587101,-0.2534179688
4216,2,-0.2646484375,-0.2295300582,-0.1540421448,-0.2646484375
4216,4,0.0107421875,-0.098706868,-0.098706868,0.0107421875
4216,8,0.0,0.0,0.0,0.0
4217,1,-0.4013671875,-0.1454868687,0.0,-0.0703125
4217,2,-0.36328125,-0.4487126809,-0.4487126809,-0.36328125
4217,4,0.017578125,-0.031386213299999965,0.04088762950000002,0.017578125
4217,8,0.0,0.0,0.0,0.0
4218,1,-0.2895507812,-0.1171364225,0.0,-0.0756835937
4218,2,-0.2475585938,-0.37501084582486,-0.37501084582486,-0.2475585938
4218,4,0.013671875,-0.04597127229999998,0.10926379130000002,0.013671875
4218,8,0.0,0.0,0.0,0.0
4219,1,-0.396484375,-0.1080837964,-0.1080837964,-0.390625
4219,2,-0.10253906260000001,-0.2240392991345,-0.1299474671345,0.1166992187
4219,4,0.020019531300000004,-0.09822340460000001,-0.09822340460000001,0.020019531300000004
4219,8,0.0,0.0,0.0,0.0
