seed,observed_peak_k,predicted_peak_k,agree
4200,8,8,True
4201,8,8,True
4202,4,8,False
4203,4,8,False
4204,4,8,False
4205,8,8,True
4206,4,8,False
4207,4,8,False
4208,4,8,False
4209,4,8,False
4210,8,8,True
4211,4,8,False
4212,4,4,True
4213,4,8,False
4214,4,8,False
4215,8,8,True
4216,4,8,False
4217,4,8,False
4218,4,8,False
4219,4,8,False
