feedback_family,deterministic_maximum_bound_decrease,hypothetical_minibatch64_maximum_bound_decrease,deterministic_bound_at_training_step,initial_gradient_capture,budget_k,heldout_accuracy,norm_matched_one_step_progress
correct_ancestry_subtrees,0,0,-0.706189791494,0.1312853816,1,0.18664550781,-1.09726608485
correct_ancestry_subtrees,0.00737681160834,0.000235530059776,-0.00548500245878,0.265193901735,2,0.44863281249,-0.084842315296
correct_ancestry_subtrees,1.57935376195,0.378295743295,0.356991292278,0.5228728922,4,0.801049804695,0.975926182515
correct_ancestry_subtrees,1.65958431879,0.732660197716,0.57128170009,1,8,0.81000976563,1
depth_interleaved_bins,0,0,-0.706189791494,0.1312853816,1,0.18664550781,-1.09726608485
depth_interleaved_bins,0,0,-0.283911035169,0.259841296805,2,0.201782226565,-1.00559200283
depth_interleaved_bins,0.988311592472,0.0534922040154,0.125497924842,0.51094061356,4,0.72993164064,0.76377960097
depth_interleaved_bins,1.65958431879,0.732660197716,0.57128170009,1,8,0.81000976563,1
learned_rank_k_upper_bound,0.251743876586,0.120204980581,0.0866644390552,0.1329633476,1,0.56298828125,0.327982304645
learned_rank_k_upper_bound,0.461164030176,0.209063882161,0.158662163143,0.261240562155,2,0.61672363282,0.48643953461
learned_rank_k_upper_bound,0.872282065943,0.390301952315,0.300252454632,0.512067200005,4,0.703051757815,0.70139291218
learned_rank_k_upper_bound,1.65958431879,0.732660197716,0.57128170009,1,8,0.81000976563,1
random_rank_k,0.5856493547,0.142298959637,0.150078430879,0.0871605158835,1,0.544970703115,0.402689994698
random_rank_k,0.738613791693,0.208169062789,0.236728133585,0.212683160375,2,0.602636718755,0.567177298122
random_rank_k,1.2353840862,0.476999057953,0.429812856564,0.48634817123,4,0.77790527344,0.84419965794
random_rank_k,1.65958431879,0.732660197716,0.57128170009,1,8,0.81000976563,1
random_sparse_matched,0,0,-0.706189791494,0.1312853816,1,0.18664550781,-1.09726608485
random_sparse_matched,0,0,-0.228984245056,0.260357731015,2,0.2166748047,-0.91864942619
random_sparse_matched,1.21570973975,0.143477641702,0.205910759871,0.514506827085,4,0.763378906245,0.836571440785
random_sparse_matched,1.65958431879,0.732660197716,0.57128170009,1,8,0.81000976563,1
within_neuron_route_derangement,0,0,-0.706189791494,0.1312853816,1,0.18664550781,-1.09726608485
within_neuron_route_derangement,0,0,-1.02856141666,0,2,0.184692382815,-1.11847458215
within_neuron_route_derangement,0,0,-0.557040447045,0,4,0.190478515615,-1.06966882805
within_neuron_route_derangement,0,0,-0.237505855027,0,8,0.2512939453,-0.878004103485
