seed,global_logistic_smoothness,initial_hessian_spectral_norm,global_over_initial
4200,0.636661755894,0.633363181992,1.00520802913
4201,0.592255604453,0.590524152112,1.00293206016
4202,0.613567709442,0.613060919005,1.00082665592
4203,0.627632818293,0.625874987258,1.00280859768
4204,0.662160561916,0.659997503737,1.00327737327
4205,0.668550123536,0.666352564122,1.00329789293
4206,0.6276061896,0.626886277319,1.00114839375
4207,0.640813560545,0.639107854824,1.00266888555
4208,0.611014141548,0.598297743966,1.02125429639
4209,0.663001802923,0.661479334871,1.00230161091
4210,0.636636306296,0.632297529813,1.00686192224
4211,0.690998780782,0.689080733479,1.00278348706
4212,0.626312511601,0.624781464314,1.0024505325
4213,0.643785526271,0.636178983666,1.01195660781
4214,0.606858770839,0.604287960777,1.0042542798
4215,0.657562375437,0.656201192735,1.00207433744
4216,0.597704470535,0.596399358934,1.00218831825
4217,0.626852509436,0.622722533485,1.00663212864
4218,0.645196565376,0.643838342198,1.00210957175
4219,0.613913967758,0.613131901542,1.00127552687
