seed,budget_k,control,accuracy_difference_pp,comparator_families
4204,4,depth_interleaved_bins,8.349609375,depth_interleaved_bins
4204,8,depth_interleaved_bins,0,depth_interleaved_bins
4205,1,depth_interleaved_bins,0,depth_interleaved_bins
4205,2,depth_interleaved_bins,27.34375,depth_interleaved_bins
4205,4,depth_interleaved_bins,9.912109375,depth_interleaved_bins
4205,8,depth_interleaved_bins,0,depth_interleaved_bins
4206,1,depth_interleaved_bins,0,depth_interleaved_bins
4206,2,depth_interleaved_bins,22.021484375,depth_interleaved_bins
4206,4,depth_interleaved_bins,5.126953125,depth_interleaved_bins
4206,8,depth_interleaved_bins,0,depth_interleaved_bins
4207,1,depth_interleaved_bins,0,depth_interleaved_bins
4207,2,depth_interleaved_bins,20.068359375,depth_interleaved_bins
4207,4,depth_interleaved_bins,7.177734375,depth_interleaved_bins
4207,8,depth_interleaved_bins,0,depth_interleaved_bins
4208,1,depth_interleaved_bins,0,depth_interleaved_bins
4208,2,depth_interleaved_bins,18.603515625,depth_interleaved_bins
4208,4,depth_interleaved_bins,10.15625,depth_interleaved_bins
4208,8,depth_interleaved_bins,0,depth_interleaved_bins
4209,1,depth_interleaved_bins,0,depth_interleaved_bins
4209,2,depth_interleaved_bins,26.66015625,depth_interleaved_bins
4209,4,depth_interleaved_bins,6.0546875,depth_interleaved_bins
4209,8,depth_interleaved_bins,0,depth_interleaved_bins
4210,1,depth_interleaved_bins,0,depth_interleaved_bins
4210,2,depth_interleaved_bins,31.93359375,depth_interleaved_bins
4210,4,depth_interleaved_bins,4.345703125,depth_interleaved_bins
4210,8,depth_interleaved_bins,0,depth_interleaved_bins
4211,1,depth_interleaved_bins,0,depth_interleaved_bins
4211,2,depth_interleaved_bins,27.34375,depth_interleaved_bins
4211,4,depth_interleaved_bins,7.71484375,depth_interleaved_bins
4211,8,depth_interleaved_bins,0,depth_interleaved_bins
4212,1,depth_interleaved_bins,0,depth_interleaved_bins
4212,2,depth_interleaved_bins,31.15234375,depth_interleaved_bins
4212,4,depth_interleaved_bins,4.6875,depth_interleaved_bins
4212,8,depth_interleaved_bins,0,depth_interleaved_bins
4213,1,depth_interleaved_bins,0,depth_interleaved_bins
4213,2,depth_interleaved_bins,27.5390625,depth_interleaved_bins
4213,4,depth_interleaved_bins,5.810546875,depth_interleaved_bins
4213,8,depth_interleaved_bins,0,depth_interleaved_bins
4214,1,depth_interleaved_bins,0,depth_interleaved_bins
4214,2,depth_interleaved_bins,19.04296875,depth_interleaved_bins
4214,4,depth_interleaved_bins,6.201171875,depth_interleaved_bins
4214,8,depth_interleaved_bins,0,depth_interleaved_bins
4215,1,depth_interleaved_bins,0,depth_interleaved_bins
4215,2,depth_interleaved_bins,24.21875,depth_interleaved_bins
4215,4,depth_interleaved_bins,2.734375,depth_interleaved_bins
4215,8,depth_interleaved_bins,0,depth_interleaved_bins
4216,1,depth_interleaved_bins,0,depth_interleaved_bins
4216,2,depth_interleaved_bins,15.087890625,depth_interleaved_bins
4216,4,depth_interleaved_bins,8.447265625,depth_interleaved_bins
4216,8,depth_interleaved_bins,0,depth_interleaved_bins
4217,1,depth_interleaved_bins,0,depth_interleaved_bins
4217,2,depth_interleaved_bins,22.4609375,depth_interleaved_bins
4217,4,depth_interleaved_bins,8.59375,depth_interleaved_bins
4217,8,depth_interleaved_bins,0,depth_interleaved_bins
4218,1,depth_interleaved_bins,0,depth_interleaved_bins
4218,2,depth_interleaved_bins,28.076171875,depth_interleaved_bins
4218,4,depth_interleaved_bins,9.27734375,depth_interleaved_bins
4218,8,depth_interleaved_bins,0,depth_interleaved_bins
4219,1,depth_interleaved_bins,0,depth_interleaved_bins
4219,2,depth_interleaved_bins,32.6171875,depth_interleaved_bins
4219,4,depth_interleaved_bins,10.44921875,depth_interleaved_bins
4219,8,depth_interleaved_bins,0,depth_interleaved_bins
4200,1,random_sparse_matched,0,random_sparse_matched
4200,2,random_sparse_matched,23.33984375,random_sparse_matched
4200,4,random_sparse_matched,3.076171875,random_sparse_matched
4200,8,random_sparse_matched,0,random_sparse_matched
4201,1,random_sparse_matched,0,random_sparse_matched
4201,2,random_sparse_matched,18.5546875,random_sparse_matched
4201,4,random_sparse_matched,5.56640625,random_sparse_matched
4201,8,random_sparse_matched,0,random_sparse_matched
