seed,budget_k,criterion,ancestry_minus_best_control_utility
4200,1,deterministic_maximum_bound_decrease,-1.02157566709
4200,2,deterministic_maximum_bound_decrease,-0.636026899069
4200,4,deterministic_maximum_bound_decrease,0.180592931627
4200,8,deterministic_maximum_bound_decrease,0
4201,1,deterministic_maximum_bound_decrease,-0.729209296526
4201,2,deterministic_maximum_bound_decrease,0
4201,4,deterministic_maximum_bound_decrease,0.156677603219
4201,8,deterministic_maximum_bound_decrease,0
4202,1,deterministic_maximum_bound_decrease,-0.544412426837
4202,2,deterministic_maximum_bound_decrease,-1.27291301144
4202,4,deterministic_maximum_bound_decrease,0.370506476202
4202,8,deterministic_maximum_bound_decrease,0
4203,1,deterministic_maximum_bound_decrease,-0.974619043569
4203,2,deterministic_maximum_bound_decrease,-1.13155595167
4203,4,deterministic_maximum_bound_decrease,0.135078373064
4203,8,deterministic_maximum_bound_decrease,0
4204,1,deterministic_maximum_bound_decrease,-1.07341649516
4204,2,deterministic_maximum_bound_decrease,-1.08198149358
4204,4,deterministic_maximum_bound_decrease,0.458433312502
4204,8,deterministic_maximum_bound_decrease,0
4205,1,deterministic_maximum_bound_decrease,-0.0619266209279
4205,2,deterministic_maximum_bound_decrease,-1.02104578985
4205,4,deterministic_maximum_bound_decrease,0.165104118316
4205,8,deterministic_maximum_bound_decrease,0
4206,1,deterministic_maximum_bound_decrease,-1.16110907039
4206,2,deterministic_maximum_bound_decrease,-1.32674889398
4206,4,deterministic_maximum_bound_decrease,0.389078802537
4206,8,deterministic_maximum_bound_decrease,0
4207,1,deterministic_maximum_bound_decrease,-0.570677586287
4207,2,deterministic_maximum_bound_decrease,-0.615240132503
4207,4,deterministic_maximum_bound_decrease,0.472193559585
4207,8,deterministic_maximum_bound_decrease,0
4208,1,deterministic_maximum_bound_decrease,-0.542253419463
4208,2,deterministic_maximum_bound_decrease,-0.43276906442
4208,4,deterministic_maximum_bound_decrease,0.112700566413
4208,8,deterministic_maximum_bound_decrease,0
4209,1,deterministic_maximum_bound_decrease,-0.802068159271
4209,2,deterministic_maximum_bound_decrease,-1.05015462317
4209,4,deterministic_maximum_bound_decrease,0.282329010447
4209,8,deterministic_maximum_bound_decrease,0
4210,1,deterministic_maximum_bound_decrease,-0.421922190238
4210,2,deterministic_maximum_bound_decrease,-0.00677328634269
4210,4,deterministic_maximum_bound_decrease,0.0492350505578
4210,8,deterministic_maximum_bound_decrease,0
4211,1,deterministic_maximum_bound_decrease,0
4211,2,deterministic_maximum_bound_decrease,-0.685097354843
4211,4,deterministic_maximum_bound_decrease,0.0398039159732
4211,8,deterministic_maximum_bound_decrease,0
4212,1,deterministic_maximum_bound_decrease,-1.20107937839
4212,2,deterministic_maximum_bound_decrease,-0.11362622687
4212,4,deterministic_maximum_bound_decrease,0.415299916079
4212,8,deterministic_maximum_bound_decrease,0
4213,1,deterministic_maximum_bound_decrease,-0.805057211436
4213,2,deterministic_maximum_bound_decrease,-0.46245071581
4213,4,deterministic_maximum_bound_decrease,0.145726705429
4213,8,deterministic_maximum_bound_decrease,0
4214,1,deterministic_maximum_bound_decrease,-0.00986155787084
4214,2,deterministic_maximum_bound_decrease,-0.285395483903
4214,4,deterministic_maximum_bound_decrease,0.392106941902
4214,8,deterministic_maximum_bound_decrease,0
4215,1,deterministic_maximum_bound_decrease,-0.661641857815
4215,2,deterministic_maximum_bound_decrease,-1.21105111143
4215,4,deterministic_maximum_bound_decrease,0.134965076619
4215,8,deterministic_maximum_bound_decrease,0
4216,1,deterministic_maximum_bound_decrease,-0.550330066843
4216,2,deterministic_maximum_bound_decrease,-0.711034720833
4216,4,deterministic_maximum_bound_decrease,0.455495333929
4216,8,deterministic_maximum_bound_decrease,0
4217,1,deterministic_maximum_bound_decrease,0
