budget_k,control,n_pairs,mean_difference_pp,ci95_low_pp,ci95_high_pp,positive_seeds,tied_seeds,p_two_sided_wilcoxon,p_exact_two_sided_mean_signflip,p_holm_four_budgets,p_holm_four_individual_controls_at_k4,p_exact_mean_signflip_holm_four_budgets,p_exact_mean_signflip_holm_four_individual_controls_at_k4
1,best_matched_nonanatomical_oracle,20,-35.8325195312,-44.4531860352,-27.4364013672,0,0,1.90734863281e-06,1.90734863281e-06,7.62939453125e-06,,7.62939453125e-06,
1,depth_interleaved_bins,20,0,0,0,0,20,1,1,1,,1,
1,learned_rank_k_upper_bound,20,-37.6342773438,-39.4580078125,-35.7934570312,0,0,1.90734863281e-06,1.90734863281e-06,7.62939453125e-06,,7.62939453125e-06,
1,legacy_interior_oracle_including_pca,20,-45.3564453125,-50.2954711914,-40.5247192383,0,0,1.90734863281e-06,1.90734863281e-06,7.62939453125e-06,,7.62939453125e-06,
1,random_rank_k,20,-35.8325195312,-44.1358642578,-27.4510498047,0,0,1.90734863281e-06,1.90734863281e-06,7.62939453125e-06,,7.62939453125e-06,
1,random_sparse_matched,20,0,0,0,0,20,1,1,1,,1,
1,within_neuron_route_derangement,20,0,0,0,0,20,1,1,1,,1,
2,best_matched_nonanatomical_oracle,20,-15.400390625,-22.763671875,-7.63665771484,5,0,0.00338014329755,0.00146484375,0.0101404298927,,0.00439453125,
2,depth_interleaved_bins,20,24.6850585938,22.6195678711,26.7041015625,20,0,8.84491502121e-05,1.90734863281e-06,0.000265347450636,,7.62939453125e-06,
2,learned_rank_k_upper_bound,20,-16.8090820312,-19.7218017578,-13.935546875,0,0,1.90734863281e-06,1.90734863281e-06,7.62939453125e-06,,7.62939453125e-06,
2,legacy_interior_oracle_including_pca,20,-24.3481445312,-28.2349243164,-20.4075927734,0,0,1.90734863281e-06,1.90734863281e-06,7.62939453125e-06,,7.62939453125e-06,
2,random_rank_k,20,-15.400390625,-22.8418579102,-7.79779052734,5,0,0.00338014329755,0.00146484375,0.0101404298927,,0.00436592102051,
2,random_sparse_matched,20,23.1958007812,21.015625,25.4150390625,20,0,8.84491502121e-05,1.90734863281e-06,0.000353295434523,,7.62939453125e-06,
2,within_neuron_route_derangement,20,26.3940429688,24.3480834961,28.45703125,20,0,1.90734863281e-06,1.90734863281e-06,7.62939453125e-06,,7.62939453125e-06,
4,best_matched_nonanatomical_oracle,20,1.26708984375,0.59326171875,1.94580078125,15,0,0.00481942159963,0.00259399414062,0.0101404298927,,0.00518798828125,
4,depth_interleaved_bins,20,7.11181640625,6.1865234375,8.02978515625,20,0,1.90734863281e-06,1.90734863281e-06,7.62939453125e-06,7.62939453125e-06,7.62939453125e-06,7.62939453125e-06
4,learned_rank_k_upper_bound,20,9.7998046875,8.47412109375,11.0766601562,20,0,1.90734863281e-06,1.90734863281e-06,7.62939453125e-06,,7.62939453125e-06,
4,legacy_interior_oracle_including_pca,20,1.26708984375,0.5810546875,1.95556640625,15,0,0.00481942159963,0.00259399414062,0.00963884319926,,0.00518798828125,
4,random_rank_k,20,2.314453125,1.0009765625,3.90869140625,15,0,0.00338014329755,0.00145530700684,0.0101404298927,0.00338014329755,0.00436592102051,0.00145530700684
4,random_sparse_matched,20,3.76708984375,2.890625,4.74127197266,20,0,8.83238586308e-05,1.90734863281e-06,0.000353295434523,0.000176647717262,7.62939453125e-06,7.62939453125e-06
4,within_neuron_route_derangement,20,61.0571289062,60.1293945312,62.0166015625,20,0,1.90734863281e-06,1.90734863281e-06,7.62939453125e-06,7.62939453125e-06,7.62939453125e-06,7.62939453125e-06
8,best_matched_nonanatomical_oracle,20,0,0,0,0,20,1,1,1,,1,
8,depth_interleaved_bins,20,0,0,0,0,20,1,1,1,,1,
8,learned_rank_k_upper_bound,20,0,0,0,0,20,1,1,1,,1,
8,legacy_interior_oracle_including_pca,20,0,0,0,0,20,1,1,1,,1,
8,random_rank_k,20,0,0,0,0,20,1,1,1,,1,
8,random_sparse_matched,20,0,0,0,0,20,1,1,1,,1,
8,within_neuron_route_derangement,20,55.8715820312,54.8046875,56.9677734375,20,0,1.90734863281e-06,1.90734863281e-06,7.62939453125e-06,,7.62939453125e-06,
