seed,condition_id,architecture,feedback_family,budget_k,route_rank,objective_smoothness,retained_signal_inner_product,retained_signal_fraction,operator_gradient_norm_sq,admitted_gradient_noise,exact_gradient_noise,noise_retention_fraction,gradient_estimator_mse,full_stochastic_gradient_mse,projected_estimator_better,optimal_bound_step,maximum_guaranteed_decrease,spectral_capture,pca_rank_upper_bound,morphology_regret,route_gram_condition,route_coherence,minibatches_per_seed,minibatch_size,global_logistic_smoothness,initial_hessian_spectral_norm,global_over_initial,train_loss,train_accuracy,heldout_loss,heldout_accuracy,retained_context_loss_before_switch,retained_context_accuracy_before_switch,retained_context_accuracy_after_switch,retained_context_forgetting,initial_gradient_cosine,initial_gradient_capture,norm_matched_one_step_progress,deterministic_second_moment,deterministic_maximum_bound_decrease,deterministic_bound_at_training_step,deterministic_optimal_bound_step,hypothetical_minibatch64_second_moment,hypothetical_minibatch64_maximum_bound_decrease,hypothetical_minibatch64_bound_at_training_step,hypothetical_minibatch64_optimal_bound_step
4200,dendritic_tree__random_rank_k__k2,dendritic_tree,random_rank_k,2,2,0.633363182,0.5426345879,0.2564594693,0.3634894502,2.461502467,2.616054462,0.9409217208,3.855591534,2.616054462,False,0.3032755851,0.08228391108,0.2485539069,0.2601514416,0.01159753475,2.211584411,0.996869412,64,64,0.636661755894,0.633363181992,1.00520802913,0.5126597148,0.7470703125,0.5246781884,0.724609375,0.5569756906,0.671875,0.3759765625,0.2958984375,0.4277344062,0.1829567222,0.5255138341,0.3634894502,0.636186393216,0.152376483947,2.34480590586,2.8249919172,0.0818575943127,0.0818549822225,0.301704300235
4200,dendritic_tree__learned_rank_k_upper_bound__k2,dendritic_tree,learned_rank_k_upper_bound,2,2,0.633363182,0.5799818973,0.274110521,0.5799818973,0.7238318885,2.616054462,0.2766883866,2.259718785,2.616054462,True,0.7023378209,0.2036716109,0.2601514416,0.2601514416,0,1,0,64,64,0.636661755894,0.633363181992,1.00520802913,0.6122877471,0.6396484375,0.6213765541,0.6274414062,0.687362646,0.556640625,0.556640625,0,0.5142426846,0.2644455386,0.4809297611,0.5799818973,0.455486678704,0.157378216,1.57069274343,1.3038137858,0.202616378955,0.13664059235,0.698698976288
4200,dendritic_tree__correct_ancestry_subtrees__k4,dendritic_tree,correct_ancestry_subtrees,4,4,0.633363182,1.286060336,0.6078166758,0.8200462571,2.552110626,2.616054462,0.9755571464,2.915905004,2.616054462,False,0.6021445492,0.3871971108,0.5,0.5108979276,0.01089792763,1,0,64,64,0.636661755894,0.633363181992,1.00520802913,0.3865267463,0.8310546875,0.4263004694,0.7998046875,0.3958541505,0.8291015625,0.8291015625,0,0.7253833826,0.5261810518,0.9809770007,0.8200462571,1.58396499357,0.362323956752,2.46328255251,3.3721568831,0.385191024435,0.289206551295,0.599024810349
4200,dendritic_tree__within_neuron_route_derangement__k4,dendritic_tree,within_neuron_route_derangement,4,4,0.633363182,-1.676348196,-0.792274172,1.580645239,2.411447628,2.616054462,0.9217880067,9.460658054,2.616054462,False,0,0,0.5,0.5108979276,0.01089792763,1,0,64,64,0.636661755894,0.633363181992,1.00520802913,17.21972401,0.1840820312,17.21032127,0.197265625,17.65945571,0.1767578125,0.1748046875,0.001953125,0,0,-1.056968429,1.580645239,0,-0.548189595599,0,3.992092867,0,-0.617277037248,0
4200,dendritic_tree__depth_interleaved_bins__k4,dendritic_tree,depth_interleaved_bins,4,4,0.633363182,0.4591800285,0.2170172507,0.1659192759,2.523534544,2.616054462,0.9646337948,3.886962556,2.616054462,False,0.2695666028,0.06188980017,0.5,0.5108979276,0.01089792763,1,0,64,64,0.636661755894,0.633363181992,1.00520802913,0.5248074597,0.7875976562,0.5549636485,0.73046875,0.5328090054,0.7685546875,0.19140625,0.5771484375,0.716459245,0.5133138497,0.773467426,0.1659192759,0.997999627684,0.133000457961,4.34687732802,2.6894538199,0.0615691462514,0.0607017509383,0.268169965721
4200,dendritic_tree__random_sparse_matched__k4,dendritic_tree,random_sparse_matched,4,4,0.633363182,0.7973520108,0.3768437879,0.4082714017,2.487402405,2.616054462,0.9508221027,3.416838579,2.616054462,False,0.4347580602,0.1733276068,0.5,0.5108979276,0.01089792763,1,0,64,64,0.636661755894,0.633363181992,1.00520802913,0.4599688026,0.8022460938,0.491309885,0.7690429688,0.4657833795,0.787109375,0.501953125,0.28515625,0.7210248103,0.5198767771,0.8458811256,0.4082714017,1.22296061054,0.227508717803,3.06755509229,2.8956738067,0.17242958842,0.156245188578,0.432505558611
4200,dendritic_tree__random_rank_k__k4,dendritic_tree,random_rank_k,4,4,0.633363182,1.759831471,0.8317299618,1.733127746,2.544103842,2.616054462,0.9724965128,2.873437439,2.616054462,False,0.6496141865,0.5716057447,0.5002860704,0.5108979276,0.01061185719,2.107177334,0.8445837557,64,64,0.636661755894,0.633363181992,1.00520802913,0.4190649691,0.833984375,0.4695485127,0.8129882812,0.409433752,0.8310546875,0.8232421875,0.0078125,0.7044718024,0.4962805204,0.9209871522,1.733127746,1.40337206195,0.478295714372,1.59489369871,4.277231588,0.568644228978,0.405407701507,0.646248505438
4200,dendritic_tree__learned_rank_k_upper_bound__k4,dendritic_tree,learned_rank_k_upper_bound,4,4,0.633363182,1.105654484,0.5225534244,1.105654484,1.358271343,2.616054462,0.519206065,2.368485653,2.616054462,True,0.7084985858,0.391677319,0.5108979276,0.5108979276,0,1,0,64,64,0.636661755894,0.633363181992,1.00520802913,0.5275889926,0.7265625,0.5558968017,0.7133789062,0.6115140409,0.6591796875,0.6591796875,0,0.714659246,0.5107378378,0.6763665352,1.105654484,0.868321737379,0.300019588566,1.57069274343,2.463925827,0.389648021043,0.261105414747,0.70482782222
4200,dendritic_tree__correct_ancestry_subtrees__k8,dendritic_tree,correct_ancestry_subtrees,8,8,0.633363182,2.115868794,1,2.115868794,2.616054462,2.616054462,1,2.616054462,2.616054462,False,0.7059894757,0.7468905501,1,1,0,1,0,64,64,0.636661755894,0.633363181992,1.00520802913,0.367931116,0.8374023438,0.4111300619,0.8095703125,0.3827171658,0.826171875,0.826171875,0,1,1,1,2.115868794,1.66168988039,0.574141464827,1.57069274343,4.731923256,0.743020876082,0.499192082599,0.702331711861
4200,dendritic_tree__within_neuron_route_derangement__k8,dendritic_tree,within_neuron_route_derangement,8,8,0.633363182,-0.7210136066,-0.3407648002,0.4597183619,2.29058949,2.616054462,0.8755893743,6.308203859,2.616054462,False,0,0,1,1,0,1,0,64,64,0.636661755894,0.633363181992,1.00520802913,6.711361121,0.2514648438,6.98274369,0.2641601562,7.453702203,0.248046875,0.248046875,0,0,0,-0.9059845451,0.4597183619,0,-0.229474911458,0,2.7503078519,0,-0.295099794161,0
