method,channels,n_cells,mean_credit_capture,ci95_low_credit_capture,ci95_high_credit_capture,mean_wiring_density,ci95_low_wiring_density,ci95_high_wiring_density,mean_oracle_fraction,ci95_low_oracle_fraction,ci95_high_oracle_fraction,mean_capture_per_wire,ci95_low_capture_per_wire,ci95_high_capture_per_wire,mean_relative_capture_per_wire,ci95_low_relative_capture_per_wire,ci95_high_relative_capture_per_wire,mean_capture_per_wire_vs_oracle,ci95_low_capture_per_wire_vs_oracle,ci95_high_capture_per_wire_vs_oracle
dense PCA oracle,1,8,0.1254040441,0.09675367444,0.1569261708,1,1,1,1,1,1,0.1254040441,0.09675367444,0.1569261708,1,1,1,1,1,1
dense PCA oracle,2,8,0.2197109604,0.1752521954,0.2641096841,1,1,1,1,1,1,0.2197109604,0.1752521954,0.2641096841,1,1,1,1,1,1
dense PCA oracle,4,8,0.3601443899,0.298198244,0.4201924786,1,1,1,1,1,1,0.3601443899,0.298198244,0.4201924786,1,1,1,1,1,1
dense PCA oracle,8,8,0.5692484483,0.4791682695,0.6622313421,1,1,1,1,1,1,0.5692484483,0.4791682695,0.6622313421,1,1,1,1,1,1
morphology-aware paths,1,8,0.1116427211,0.07932355024,0.1456328937,0.0586582725,0.02854149962,0.09346963586,0.8636585466,0.7490079392,0.9346786035,2.892400971,1.72082283,4.282352572,27.06463378,14.2486352,41.38149623,27.06463378,14.2486352,41.38149623
morphology-aware paths,2,8,0.1931355801,0.1419452928,0.2443298314,0.05032740258,0.02592240021,0.07473681907,0.8552157155,0.762952744,0.9257994001,5.694746994,3.566507858,8.20208614,30.37707328,16.43961496,45.17368422,30.37707328,16.43961496,45.17368422
morphology-aware paths,4,8,0.3147215554,0.246968641,0.3820048502,0.06647917776,0.04730654385,0.08885159925,0.8598435118,0.8056419692,0.910692054,5.401251312,3.992131337,6.678937791,15.58618718,11.38951543,20.24015572,15.58618718,11.38951543,20.24015572
morphology-aware paths,8,8,0.4870843641,0.3990581158,0.5796204088,0.0692182551,0.05143266897,0.0883992495,0.8495285544,0.8153576203,0.8837410951,7.671104247,6.148699383,9.015793606,14.18258875,10.72214124,18.1715753,14.18258875,10.72214124,18.1715753
random paths,1,8,0.03869633817,0.0250545616,0.05474203954,0.0825191894,0.05982918497,0.1073240805,0.3070883579,0.2288912614,0.3990516893,0.4504856563,0.3893560642,0.5124733287,3.798380895,3.334142502,4.323594513,3.798380895,3.334142502,4.323594513
random paths,2,8,0.07618715423,0.04917663275,0.1078274065,0.08202302498,0.058735564,0.1090579847,0.3357493191,0.2538976691,0.4303835279,0.8909439368,0.7867425514,0.997024896,4.221248149,3.826292556,4.672236263,4.221248149,3.826292556,4.672236263
random paths,4,8,0.1490651679,0.09758553318,0.20931059,0.08021371073,0.05806589104,0.1058869526,0.3919011552,0.3070902008,0.4886238506,1.790373649,1.597836944,1.997356181,5.115676137,4.679494558,5.67634182,5.115676137,4.679494558,5.67634182
random paths,8,8,0.2846658242,0.1890776313,0.3956793317,0.08125220381,0.05928720185,0.1063243575,0.4701871104,0.3790830722,0.5715062927,3.376859828,3.024445928,3.715642528,6.076483794,5.556731633,6.648117537,6.076483794,5.556731633,6.648117537
depth-only bins,1,8,0.0483240546,0.03404319868,0.06415506178,1,1,1,0.3862192244,0.3106990671,0.4684875637,0.0483240546,0.03404319868,0.06415506178,0.3852644589,0.3100044828,0.4673094103,0.3852644589,0.3100044828,0.4673094103
depth-only bins,2,8,0.0715194621,0.04979485181,0.09627250154,0.5,0.5,0.5,0.3191451001,0.2564228509,0.3901300116,0.1430389242,0.09958970362,0.1925450031,0.6375033276,0.5120626223,0.7792723059,0.6375033276,0.5120626223,0.7792723059
depth-only bins,4,8,0.1229419157,0.08741807374,0.1620253759,0.25,0.25,0.25,0.3279308364,0.2776296678,0.3829897758,0.4917676628,0.3496722949,0.6481015037,1.311212222,1.109997552,1.531359882,1.311212222,1.109997552,1.531359882
depth-only bins,8,8,0.2224947025,0.1577421196,0.2905066294,0.125,0.125,0.125,0.3735732451,0.3126223018,0.4319221618,1.77995762,1.261936957,2.324053035,2.988341507,2.500595771,3.455186415,2.988341507,2.500595771,3.455186415
shuffled ancestry,1,8,0.02674144446,0.01683899166,0.03781832093,0.0586582725,0.02854149962,0.09346963586,0.2096194233,0.1520735599,0.2721919266,0.6350554645,0.4191990068,0.8393528998,5.813767241,3.666138544,7.855517861,5.813767241,3.666138544,7.855517861
shuffled ancestry,2,8,0.05360597253,0.03050916491,0.08005893824,0.05032740258,0.02592240021,0.07473681907,0.2308244075,0.1578808977,0.3136624262,1.29705291,0.9586748222,1.626602608,6.736851739,4.434801334,8.956155771,6.736851739,4.434801334,8.956155771
shuffled ancestry,4,8,0.1026255077,0.06859615603,0.1404889498,0.06647917776,0.04730654385,0.08885159925,0.2720535984,0.2136220708,0.3329854841,1.710730319,1.146023611,2.31474829,4.74841311,3.406388686,6.099568901,4.74841311,3.406388686,6.099568901
shuffled ancestry,8,8,0.1977599249,0.1318799528,0.2708409546,0.0692182551,0.05143266897,0.0883992495,0.326813372,0.2621438323,0.3949336518,3.060981432,2.093472405,4.074505957,5.310816799,3.930290666,6.592749544,5.310816799,3.930290666,6.592749544
