root_id,method,channels,n_streams,credit_capture,wiring_nonzeros,wiring_density,oracle_capture,oracle_fraction,capture_per_wire,oracle_capture_per_wire,relative_capture_per_wire,capture_per_wire_vs_oracle
864691135060651419,dense PCA oracle,1,20,0.06868807912,128,1,0.06868807912,1,0.06868807912,0.06868807912,1,1
864691135060651419,dense PCA oracle,2,20,0.1263673876,256,1,0.1263673876,1,0.1263673876,0.1263673876,1,1
864691135060651419,dense PCA oracle,4,20,0.2180060081,512,1,0.2180060081,1,0.2180060081,0.2180060081,1,1
864691135060651419,dense PCA oracle,8,20,0.3697372665,1024,1,0.3697372665,1,0.3697372665,0.3697372665,1,1
864691135060651419,depth-only bins,1,20,0.02120543954,128,1,0.06868807912,0.3093622185,0.02120543954,0.06868807912,0.3087208117,0.3087208117
864691135060651419,depth-only bins,2,20,0.0319099275,128,0.5,0.1263673876,0.2526670688,0.06381985501,0.1263673876,0.5050342197,0.5050342197
864691135060651419,depth-only bins,4,20,0.05513820067,128,0.25,0.2180060081,0.2529371572,0.2205528027,0.2180060081,1.011682222,1.011682222
864691135060651419,depth-only bins,8,20,0.09823972542,128,0.125,0.3697372665,0.2657084962,0.7859178033,0.3697372665,2.125611548,2.125611548
864691135060651419,morphology-aware paths,1,20,0.03367997911,3,0.0234375,0.06868807912,0.4914774782,1.437012442,0.06868807912,20.92084188,20.92084188
864691135060651419,morphology-aware paths,2,20,0.07346038532,4,0.015625,0.1263673876,0.5819693464,4.70146466,0.1263673876,37.20473097,37.20473097
864691135060651419,morphology-aware paths,4,20,0.1583358212,20,0.0390625,0.2180060081,0.7264775305,4.053397023,0.2180060081,18.5930519,18.5930519
864691135060651419,morphology-aware paths,8,20,0.2874685351,32,0.03125,0.3697372665,0.7775438974,9.198993124,0.3697372665,24.8798105,24.8798105
864691135060651419,random paths,1,20,0.01623312777,5.75,0.044921875,0.06868807912,0.2366104159,0.3613635398,0.06868807912,5.260935295,5.260935295
864691135060651419,random paths,2,20,0.03103107042,11.69453125,0.0456817627,0.1263673876,0.2457567226,0.6792879387,0.1263673876,5.375500368,5.375500368
864691135060651419,random paths,4,20,0.06320142302,21.9625,0.04289550781,0.2180060081,0.2900285557,1.473380926,0.2180060081,6.758441837,6.758441837
864691135060651419,random paths,8,20,0.1261879073,49.25625,0.04810180664,0.3697372665,0.3413254135,2.623350682,0.3697372665,7.095175196,7.095175196
864691135060651419,shuffled ancestry,1,20,0.01104666702,3,0.0234375,0.06868807912,0.1611998886,0.4713244594,0.06868807912,6.861808708,6.861808708
864691135060651419,shuffled ancestry,2,20,0.01924467977,4,0.015625,0.1263673876,0.152475952,1.231659505,0.1263673876,9.746656383,9.746656383
864691135060651419,shuffled ancestry,4,20,0.04424066032,20,0.0390625,0.2180060081,0.2030139955,1.132560904,0.2180060081,5.195090328,5.195090328
864691135060651419,shuffled ancestry,8,20,0.08348538461,32,0.03125,0.3697372665,0.2258487837,2.671532307,0.3697372665,7.225488339,7.225488339
864691135196576298,dense PCA oracle,1,20,0.146463678,21,1,0.146463678,1,0.146463678,0.146463678,1,1
864691135196576298,dense PCA oracle,2,20,0.2718489581,42,1,0.2718489581,1,0.2718489581,0.2718489581,1,1
864691135196576298,dense PCA oracle,4,20,0.4826599105,84,1,0.4826599105,1,0.4826599105,0.4826599105,1,1
864691135196576298,dense PCA oracle,8,20,0.799648535,168,1,0.799648535,1,0.799648535,0.799648535,1,1
864691135196576298,depth-only bins,1,20,0.09060937112,21,1,0.146463678,0.6203836037,0.09060937112,0.146463678,0.618647383,0.618647383
864691135196576298,depth-only bins,2,20,0.1402698535,21,0.5,0.2718489581,0.5166928091,0.2805397069,0.2718489581,1.031969035,1.031969035
