feedback,run_dir,seed,network_type,rule_variant,broadcast_mode,decoder_update_mode,test_accuracy
scalar_fallback,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_0,47,dendritic_shunting,3f,per_soma,local,0.9168999791145325
scalar_fallback,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_1,48,dendritic_shunting,3f,per_soma,local,0.90829998254776
ancestry_shared,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_10,47,dendritic_shunting,3f,per_soma_shared,local,0.9710999727249146
ancestry_shared,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_11,48,dendritic_shunting,3f,per_soma_shared,local,0.9704999923706055
ancestry_shared,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_12,49,dendritic_shunting,3f,per_soma_shared,local,0.9728999733924866
ancestry_shared,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_13,50,dendritic_shunting,3f,per_soma_shared,local,0.9713999629020691
ancestry_shared,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_14,51,dendritic_shunting,3f,per_soma_shared,local,0.9717999696731567
ancestry_shared,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_15,52,dendritic_shunting,3f,per_soma_shared,local,0.9706999659538269
ancestry_shared,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_16,53,dendritic_shunting,3f,per_soma_shared,local,0.9713999629020691
ancestry_shared,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_17,54,dendritic_shunting,3f,per_soma_shared,local,0.9715999960899353
ancestry_shared,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_18,55,dendritic_shunting,3f,per_soma_shared,local,0.9706999659538269
ancestry_shared,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_19,56,dendritic_shunting,3f,per_soma_shared,local,0.9735999703407288
scalar_fallback,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_2,49,dendritic_shunting,3f,per_soma,local,0.911799967288971
scalar_fallback,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_20,47,dendritic_additive,3f,per_soma,local,0.9161999821662903
scalar_fallback,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_21,48,dendritic_additive,3f,per_soma,local,0.9150999784469604
scalar_fallback,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_22,49,dendritic_additive,3f,per_soma,local,0.9199000000953674
scalar_fallback,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_23,50,dendritic_additive,3f,per_soma,local,0.9027999639511108
scalar_fallback,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_24,51,dendritic_additive,3f,per_soma,local,0.9070999622344971
scalar_fallback,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_25,52,dendritic_additive,3f,per_soma,local,0.9161999821662903
scalar_fallback,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_26,53,dendritic_additive,3f,per_soma,local,0.917199969291687
scalar_fallback,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_27,54,dendritic_additive,3f,per_soma,local,0.9222999811172485
scalar_fallback,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_28,55,dendritic_additive,3f,per_soma,local,0.9213999509811401
scalar_fallback,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_29,56,dendritic_additive,3f,per_soma,local,0.9147999882698059
scalar_fallback,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_3,50,dendritic_shunting,3f,per_soma,local,0.9120999574661255
ancestry_shared,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_30,47,dendritic_additive,3f,per_soma_shared,local,0.9722999930381775
ancestry_shared,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_31,48,dendritic_additive,3f,per_soma_shared,local,0.9704999923706055
ancestry_shared,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_32,49,dendritic_additive,3f,per_soma_shared,local,0.9717999696731567
ancestry_shared,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_33,50,dendritic_additive,3f,per_soma_shared,local,0.9731999635696411
ancestry_shared,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_34,51,dendritic_additive,3f,per_soma_shared,local,0.971299946308136
ancestry_shared,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_35,52,dendritic_additive,3f,per_soma_shared,local,0.9708999991416931
ancestry_shared,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_36,53,dendritic_additive,3f,per_soma_shared,local,0.9705999493598938
ancestry_shared,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_37,54,dendritic_additive,3f,per_soma_shared,local,0.9718999862670898
ancestry_shared,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_38,55,dendritic_additive,3f,per_soma_shared,local,0.9720999598503113
ancestry_shared,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_39,56,dendritic_additive,3f,per_soma_shared,local,0.9724999666213989
scalar_fallback,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_4,51,dendritic_shunting,3f,per_soma,local,0.8792999982833862
scalar_fallback,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_5,52,dendritic_shunting,3f,per_soma,local,0.9131999611854553
scalar_fallback,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_6,53,dendritic_shunting,3f,per_soma,local,0.906499981880188
scalar_fallback,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_7,54,dendritic_shunting,3f,per_soma,local,0.9020999670028687
scalar_fallback,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_8,55,dendritic_shunting,3f,per_soma,local,0.9213999509811401
scalar_fallback,local_sweep_runs/rebuttal_feedback_definition_3f_mnist_extra10seed_20260724152657/results/config_9,56,dendritic_shunting,3f,per_soma,local,0.9020999670028687
scalar_fallback,scalar_config_0,42,dendritic_shunting,3f,per_soma,local,0.896699965
scalar_fallback,scalar_config_1,43,dendritic_shunting,3f,per_soma,local,0.9086999893
scalar_fallback,scalar_config_2,44,dendritic_shunting,3f,per_soma,local,0.9057999849
scalar_fallback,scalar_config_3,45,dendritic_shunting,3f,per_soma,local,0.909799993
scalar_fallback,scalar_config_4,46,dendritic_shunting,3f,per_soma,local,0.9172999859
scalar_fallback,scalar_config_5,42,dendritic_additive,3f,per_soma,local,0.920599997
scalar_fallback,scalar_config_6,43,dendritic_additive,3f,per_soma,local,0.9220999479
scalar_fallback,scalar_config_7,44,dendritic_additive,3f,per_soma,local,0.9072999954
scalar_fallback,scalar_config_8,45,dendritic_additive,3f,per_soma,local,0.9217000008
scalar_fallback,scalar_config_9,46,dendritic_additive,3f,per_soma,local,0.9121999741
ancestry_shared,ancestry_config_0,42,dendritic_shunting,3f,per_soma_shared,local,0.972299993
ancestry_shared,ancestry_config_1,43,dendritic_shunting,3f,per_soma_shared,local,0.9700999856
ancestry_shared,ancestry_config_2,44,dendritic_shunting,3f,per_soma_shared,local,0.9714999795
ancestry_shared,ancestry_config_3,45,dendritic_shunting,3f,per_soma_shared,local,0.97299999
ancestry_shared,ancestry_config_4,46,dendritic_shunting,3f,per_soma_shared,local,0.9692999721
ancestry_shared,ancestry_config_5,42,dendritic_additive,3f,per_soma_shared,local,0.9700999856
ancestry_shared,ancestry_config_6,43,dendritic_additive,3f,per_soma_shared,local,0.9709999561
ancestry_shared,ancestry_config_7,44,dendritic_additive,3f,per_soma_shared,local,0.9724999666
ancestry_shared,ancestry_config_8,45,dendritic_additive,3f,per_soma_shared,local,0.9702999592
ancestry_shared,ancestry_config_9,46,dendritic_additive,3f,per_soma_shared,local,0.9702999592
