seed,network_type,trained_broadcast_mode,diagnostic_feedback,branch_numel_weighted_cosine,branch_macro_cosine,branch_concatenated_cosine,branch_local_exact_norm_ratio,cohort
42,dendritic_additive,per_soma,neuron_wise,0.4735570475019782,0.5427675306797027,0.4543082798750876,1.0392340628608898,original
42,dendritic_additive,per_soma,scalar_fallback,0.1790921337576026,0.229610575735569,0.1603134556088581,0.312745865337445,original
42,dendritic_additive,per_soma_shared,neuron_wise,0.659728032754237,0.7425311923027038,0.6910085721787653,1.7173434252038442,original
42,dendritic_additive,per_soma_shared,scalar_fallback,0.0365065752616916,0.0498762987554073,0.0253603460869025,0.1018667382187251,original
42,dendritic_shunting,per_soma,neuron_wise,0.7023895259777388,0.6502874374389649,0.7041021563093848,1.2889947788680145,original
42,dendritic_shunting,per_soma,scalar_fallback,0.0243454410070442,0.1540600448846817,-0.0436114763927693,0.2037590170684391,original
42,dendritic_shunting,per_soma_shared,neuron_wise,0.6081155816112381,0.6728614687919616,0.5401096171826979,2.805146915349168,original
42,dendritic_shunting,per_soma_shared,scalar_fallback,0.0050498179658,0.0320934817194938,0.0369225777588689,0.0729017115491339,original
43,dendritic_additive,per_soma,neuron_wise,0.6091477125859356,0.6037090301513672,0.6019846592910901,0.8494557986076287,original
43,dendritic_additive,per_soma,scalar_fallback,0.136848496412376,0.1841715216636657,0.0950364268208297,0.1515516512752428,original
43,dendritic_additive,per_soma_shared,neuron_wise,0.6187726422989985,0.6889572620391846,0.6396361596449867,2.04667753397623,original
43,dendritic_additive,per_soma_shared,scalar_fallback,-0.0054514287732749,-0.0167125212028622,-0.0061459474888136,0.1088577491980588,original
43,dendritic_shunting,per_soma,neuron_wise,0.3974769681383414,0.4935021877288818,0.336853786324676,1.512136420475387,original
43,dendritic_shunting,per_soma,scalar_fallback,0.0848843963165207,0.1637336455285549,0.0976079806303742,0.2790142355196011,original
43,dendritic_shunting,per_soma_shared,neuron_wise,0.6850537410675293,0.7788643121719361,0.632472590294972,2.7670474389148056,original
43,dendritic_shunting,per_soma_shared,scalar_fallback,0.0216758057023899,-0.0034231388010084,0.0298667275465,0.0675983013264945,original
44,dendritic_additive,per_soma,neuron_wise,0.4055758352488635,0.482235699892044,0.3177585462629987,1.2876997335568967,original
44,dendritic_additive,per_soma,scalar_fallback,0.1844002523745198,0.267421281337738,0.0938026617211978,0.2864485809761595,original
44,dendritic_additive,per_soma_shared,neuron_wise,0.516124528290266,0.6124695599079132,0.5268982684561313,1.9758314375148207,original
44,dendritic_additive,per_soma_shared,scalar_fallback,-0.0159604601556086,-0.0506628788076341,-0.0411827054485263,0.1145314533190237,original
44,dendritic_shunting,per_soma,neuron_wise,0.3674974726870715,0.5080530762672424,0.3698276854833366,1.3145582733056642,original
44,dendritic_shunting,per_soma,scalar_fallback,0.1209421229409981,0.141747923195362,0.1472190492595984,0.2806632308595246,original
44,dendritic_shunting,per_soma_shared,neuron_wise,0.6389020176807723,0.7259662270545959,0.6391366102890165,3.039426503283437,original
44,dendritic_shunting,per_soma_shared,scalar_fallback,0.0493664463107804,0.01596285328269,0.0819891460021303,0.0675306732696804,original
45,dendritic_additive,per_soma,neuron_wise,0.4331855216776707,0.4433904647827148,0.3504257098634071,1.4511963208638303,original
45,dendritic_additive,per_soma,scalar_fallback,0.2173819174187116,0.2406915575265884,0.269002658508131,0.3573226625094655,original
45,dendritic_additive,per_soma_shared,neuron_wise,0.6285879142730835,0.6882551550865174,0.631036844561727,1.84967931002728,original
45,dendritic_additive,per_soma_shared,scalar_fallback,0.0640562960475801,0.048004150763154,0.0483251646421036,0.1524101615262258,original
45,dendritic_shunting,per_soma,neuron_wise,0.3687927724925645,0.522596538066864,0.2995693162114597,1.8789931501733312,original
45,dendritic_shunting,per_soma,scalar_fallback,0.1148883637441582,0.1708274185657501,0.1235788984633235,0.3142525802670157,original
45,dendritic_shunting,per_soma_shared,neuron_wise,0.7319346694072404,0.7868329048156738,0.7063931420282112,3.166097911215618,original
45,dendritic_shunting,per_soma_shared,scalar_fallback,0.0385968056748587,0.0291988544166088,0.0244806407469157,0.09669929715838,original
46,dendritic_additive,per_soma,neuron_wise,0.4035646278449739,0.4744823336601257,0.3778030878924469,2.1010412852987077,original
46,dendritic_additive,per_soma,scalar_fallback,0.2926328438401697,0.3287652641534805,0.2384705357870451,0.8852377783970188,original
46,dendritic_additive,per_soma_shared,neuron_wise,0.5970885467339322,0.6713108062744141,0.6063983053200531,2.0054418539423398,original
46,dendritic_additive,per_soma_shared,scalar_fallback,-0.0367455320315532,-0.0358248006552457,-0.0402058053029244,0.12318845293427,original
46,dendritic_shunting,per_soma,neuron_wise,0.3804599208090884,0.4595006227493286,0.3560315723398502,1.8964119960543973,original
46,dendritic_shunting,per_soma,scalar_fallback,0.1767107889519269,0.2101506859064102,0.1716693984906145,0.3654069220583149,original
46,dendritic_shunting,per_soma_shared,neuron_wise,0.7297709418293015,0.7929689526557923,0.6966245031577945,2.563227751028533,original
46,dendritic_shunting,per_soma_shared,scalar_fallback,-0.048184424814475,-0.0810896987095475,-0.0419814058552293,0.044304950194503,original
47,dendritic_additive,per_soma,neuron_wise,0.4130427260987787,0.44504514336586,0.3860082569157098,0.9264574397324912,extension
47,dendritic_additive,per_soma,scalar_fallback,0.1814831510815487,0.1930164724588394,0.2083917175192745,0.2289131862467411,extension
47,dendritic_additive,per_soma_shared,neuron_wise,0.5863342307098358,0.6414062142372131,0.5900285666494217,2.197924423428294,extension
47,dendritic_additive,per_soma_shared,scalar_fallback,0.0084823953511705,-0.0111770622432231,-0.0056931707383958,0.2398861849761239,extension
47,dendritic_shunting,per_soma,neuron_wise,0.3151023510632761,0.43018639087677,0.3898364140929577,3.7670931936398175,extension
47,dendritic_shunting,per_soma,scalar_fallback,0.1556560544070019,0.1095245406031608,0.1308018251289875,0.9357376675056448,extension
47,dendritic_shunting,per_soma_shared,neuron_wise,0.668445031785395,0.7673066258430481,0.6361632762968464,3.701718834278921,extension
47,dendritic_shunting,per_soma_shared,scalar_fallback,0.0593504476416633,0.0316285982728004,0.0327077796748076,0.1760108015244951,extension
48,dendritic_additive,per_soma,neuron_wise,0.4338717496537592,0.4685601472854614,0.3984086025418946,0.8412234258871706,extension
48,dendritic_additive,per_soma,scalar_fallback,0.2512760708484042,0.2159546196460723,0.3057479421412811,0.3084069714417642,extension
