cohort,network_type,trained_broadcast_mode,metric,n_pairs,neuron_wise_mean,scalar_fallback_mean,paired_difference_mean,neuron_wise_wins,paired_t_pvalue,wilcoxon_pvalue
combined,dendritic_additive,per_soma,branch_numel_weighted_cosine,15,0.4366676750838519,0.20486579271268393,0.23180188237116794,15,2.2036797414473823e-07,6.103515625e-05
combined,dendritic_additive,per_soma,branch_macro_cosine,15,0.4976357618967692,0.24927567318081853,0.2483600887159507,15,1.490692743434181e-08,6.103515625e-05
combined,dendritic_additive,per_soma,branch_concatenated_cosine,15,0.39626063359360925,0.1820171557647365,0.21424347782887276,15,4.797298687567459e-06,6.103515625e-05
combined,dendritic_additive,per_soma,branch_local_exact_norm_ratio,15,1.1506167287349742,0.3446026247551475,0.8060141039798269,15,6.137950456786284e-10,6.103515625e-05
combined,dendritic_additive,per_soma_shared,branch_numel_weighted_cosine,15,0.5988200579639449,0.023812569159752155,0.5750074888041928,15,2.572033019901115e-16,6.103515625e-05
combined,dendritic_additive,per_soma_shared,branch_macro_cosine,15,0.6750641644001009,0.0215907723767062,0.6534733920233946,15,1.617635982349151e-14,6.103515625e-05
combined,dendritic_additive,per_soma_shared,branch_concatenated_cosine,15,0.608670201127003,0.01898112485126902,0.5896890762757341,15,4.863159525495322e-16,6.103515625e-05
combined,dendritic_additive,per_soma_shared,branch_local_exact_norm_ratio,15,1.8650536815306504,0.1323962040572077,1.7326574774734422,15,1.222825652295522e-13,6.103515625e-05
combined,dendritic_shunting,per_soma,branch_numel_weighted_cosine,15,0.4020844029553858,0.10816531040041569,0.29391909255497006,15,5.224007864717544e-06,6.103515625e-05
combined,dendritic_shunting,per_soma,branch_macro_cosine,15,0.4916135005156198,0.15122586561987797,0.340387634895742,15,2.0380948937829545e-08,6.103515625e-05
combined,dendritic_shunting,per_soma,branch_concatenated_cosine,15,0.37683329140827315,0.09798143304500807,0.27885185836326504,15,7.849016384750196e-05,6.103515625e-05
combined,dendritic_shunting,per_soma,branch_local_exact_norm_ratio,15,2.2129419075617336,0.3711319341675878,1.8418099733941458,15,1.3017011698012054e-07,6.103515625e-05
combined,dendritic_shunting,per_soma_shared,branch_numel_weighted_cosine,15,0.6673890169258928,0.007360709995822899,0.66002830693007,15,3.224587041518652e-14,6.103515625e-05
combined,dendritic_shunting,per_soma_shared,branch_macro_cosine,15,0.7519457642237345,-0.012992644725988316,0.7649384089497228,15,3.921298618424508e-15,6.103515625e-05
combined,dendritic_shunting,per_soma_shared,branch_concatenated_cosine,15,0.6311784876706524,0.014923537924438814,0.6162549497462136,15,1.8787735737543038e-14,6.103515625e-05
combined,dendritic_shunting,per_soma_shared,branch_local_exact_norm_ratio,15,2.878818156473653,0.07011216775528449,2.8087059887183683,15,2.3451572740456588e-14,6.103515625e-05
extension,dendritic_additive,per_soma,branch_numel_weighted_cosine,10,0.4224984381398357,0.206263124688688,0.21623531345114766,10,7.658703392900644e-06,0.001953125
extension,dendritic_additive,per_soma,branch_macro_cosine,10,0.4917951369285583,0.24884748972952359,0.24294764719903475,10,2.6009352993612945e-06,0.001953125
extension,dendritic_additive,per_soma,branch_concatenated_cosine,10,0.38416292207191094,0.18736315980249857,0.19679976226941234,10,5.673908262753202e-05,0.001953125
extension,dendritic_additive,per_soma,branch_local_exact_norm_ratio,10,1.0530623729836661,0.3175732832831882,0.7354890897004781,10,2.8060751950140986e-07,0.001953125
extension,dendritic_additive,per_soma_shared,branch_numel_weighted_cosine,10,0.5961999205108658,0.03147830870474473,0.564721611806121,10,9.634692165712291e-11,0.001953125
extension,dendritic_additive,per_soma_shared,branch_macro_cosine,10,0.6722438490390779,0.032918133679777375,0.6393257153593004,10,4.253193572070925e-09,0.001953125
extension,dendritic_additive,per_soma_shared,branch_concatenated_cosine,10,0.6035074866743383,0.02985658202802935,0.5736509046463087,10,1.1002598530960041e-10,0.001953125
extension,dendritic_additive,per_soma_shared,branch_local_exact_norm_ratio,10,1.838083166229524,0.13850885056618123,1.6995743156633423,10,1.3557777854407932e-08,0.001953125
extension,dendritic_shunting,per_soma,branch_numel_weighted_cosine,10,0.3814649384225982,0.1100708543045587,0.27139408411803945,10,0.00024307549780004818,0.001953125
extension,dendritic_shunting,per_soma,branch_macro_cosine,10,0.47402626454830166,0.14278682662174103,0.3312394379265607,10,2.346502481967047e-05,0.001953125
extension,dendritic_shunting,per_soma,branch_concatenated_cosine,10,0.358611485445539,0.09732576452239801,0.26128572092314095,10,0.0013293146402734725,0.001953125
extension,dendritic_shunting,per_soma,branch_local_exact_norm_ratio,10,2.530303399454921,0.4123883026740921,2.1179150967808287,10,8.550459879809018e-06,0.001953125
extension,dendritic_shunting,per_soma_shared,branch_numel_weighted_cosine,10,0.661705830229231,0.004390619909798948,0.6573152103194321,10,2.8182550313155734e-09,0.001953125
extension,dendritic_shunting,per_soma_shared,branch_macro_cosine,10,0.7521692597866058,-0.01876320227980614,0.770932462066412,10,3.9440446650435196e-10,0.001953125
extension,dendritic_shunting,per_soma_shared,branch_concatenated_cosine,10,0.6252940852107095,0.009257538266739657,0.6160365469439699,10,4.424348496919166e-10,0.001953125
extension,dendritic_shunting,per_soma_shared,branch_local_exact_norm_ratio,10,2.884132582731323,0.07026475828310755,2.8138678244482156,10,4.206804405918116e-09,0.001953125
original,dendritic_additive,per_soma,branch_numel_weighted_cosine,5,0.4650061489718844,0.20207112876067593,0.2629350202112084,5,0.011825268754194564,0.0625
original,dendritic_additive,per_soma,branch_macro_cosine,5,0.5093170118331909,0.2501320400834083,0.2591849717497826,5,0.005822861553298034,0.0625
original,dendritic_additive,per_soma,branch_concatenated_cosine,5,0.4204560566370061,0.17132514768921234,0.24913090894779372,5,0.028042366843662785,0.0625
original,dendritic_additive,per_soma,branch_local_exact_norm_ratio,5,1.3457254402375907,0.39866130769906627,0.9470641325385243,5,0.0007440748070275612,0.0625
original,dendritic_additive,per_soma_shared,branch_numel_weighted_cosine,5,0.6040603328701034,0.008481090069767,0.5955792428003365,5,7.655091865051194e-06,0.0625
original,dendritic_additive,per_soma_shared,branch_macro_cosine,5,0.6807047951221465,-0.0010639502294361406,0.6817687453515828,5,8.026643908500312e-07,0.0625
original,dendritic_additive,per_soma_shared,branch_concatenated_cosine,5,0.6189956300323327,-0.0027697895022516386,0.6217654195345843,5,5.649087727077886e-06,0.0625
original,dendritic_additive,per_soma_shared,branch_local_exact_norm_ratio,5,1.918994712132903,0.12017091103926067,1.7988238010936424,5,7.809424133521779e-06,0.0625
original,dendritic_shunting,per_soma,branch_numel_weighted_cosine,5,0.44332333202096097,0.10435422259212963,0.3389691094288313,5,0.017282222956899077,0.0625
original,dendritic_shunting,per_soma,branch_macro_cosine,5,0.5267879724502563,0.16810394361615177,0.35868402883410455,5,0.000846265974235825,0.0625
original,dendritic_shunting,per_soma,branch_concatenated_cosine,5,0.4132769033337415,0.09929277009022826,0.31398413324351326,5,0.04506347461139235,0.0625
original,dendritic_shunting,per_soma,branch_local_exact_norm_ratio,5,1.5782189237753588,0.28861919715457907,1.28959972662078,5,0.0003084679177044958,0.0625
original,dendritic_shunting,per_soma_shared,branch_numel_weighted_cosine,5,0.6787553903192163,0.013300890167870805,0.6654545001513456,5,4.009722368846755e-05,0.0625
original,dendritic_shunting,per_soma_shared,branch_macro_cosine,5,0.751498773097992,-0.001451529618352662,0.7529503027163446,5,4.121431104177852e-05,0.0625
original,dendritic_shunting,per_soma_shared,branch_concatenated_cosine,5,0.6429472925905384,0.026255537239837118,0.6166917553507013,5,0.0001284522035117672,0.0625
original,dendritic_shunting,per_soma_shared,branch_local_exact_norm_ratio,5,2.8681893039583124,0.06980698669963836,2.7983823172586737,5,9.301423519537304e-06,0.0625
