cohort,network_type,trained_broadcast_mode,diagnostic_feedback,branch_numel_weighted_cosine_count,branch_numel_weighted_cosine_mean,branch_numel_weighted_cosine_std,branch_numel_weighted_cosine_sem,branch_macro_cosine_count,branch_macro_cosine_mean,branch_macro_cosine_std,branch_macro_cosine_sem,branch_concatenated_cosine_count,branch_concatenated_cosine_mean,branch_concatenated_cosine_std,branch_concatenated_cosine_sem,branch_local_exact_norm_ratio_count,branch_local_exact_norm_ratio_mean,branch_local_exact_norm_ratio_std,branch_local_exact_norm_ratio_sem
combined,dendritic_additive,per_soma,neuron_wise,15,0.4366676750838519,0.07247817405153247,0.018713784071007183,15,0.4976357618967692,0.06764204058363935,0.017465099778928097,15,0.3962606335936093,0.08154199273983143,0.021054051993195547,15,1.1506167287349742,0.3639431900200081,0.09396972759420617
combined,dendritic_additive,per_soma,scalar_fallback,15,0.20486579271268396,0.05550404144534198,0.014331081877667717,15,0.24927567318081853,0.06411354133112906,0.016554045189456253,15,0.18201715576473648,0.06554771802067454,0.01692434801839815,15,0.3446026247551475,0.17862887742190098,0.04612177782711657
combined,dendritic_additive,per_soma_shared,neuron_wise,15,0.598820057963945,0.03430968037220373,0.008858721379682969,15,0.6750641644001008,0.03322702030418071,0.00857917975214584,15,0.608670201127003,0.038847352146309785,0.010030343193794184,15,1.8650536815306502,0.27276973083977146,0.07042884165946098
combined,dendritic_additive,per_soma_shared,scalar_fallback,15,0.023812569159752155,0.05133430910902755,0.013254461617888494,15,0.0215907723767062,0.07614775201693579,0.01966126502751497,15,0.01898112485126902,0.051203684466969226,0.013220734480335415,15,0.1323962040572077,0.04761222921387543,0.012293424721409986
combined,dendritic_shunting,per_soma,neuron_wise,15,0.4020844029553858,0.10060377360072169,0.0259757826480811,15,0.4916135005156199,0.08277003252359463,0.021371130501928553,15,0.3768332914082731,0.11198900039147021,0.028915435564972,15,2.2129419075617336,0.8786999329843378,0.2268793471174609
combined,dendritic_shunting,per_soma,scalar_fallback,15,0.10816531040041567,0.1006740493829455,0.0259939277770274,15,0.1512258656198779,0.08037823960917777,0.02075357222692099,15,0.09798143304500809,0.12369431872160547,0.03193773576195002,15,0.3711319341675878,0.1920048786067885,0.04957544648231124
combined,dendritic_shunting,per_soma_shared,neuron_wise,15,0.6673890169258928,0.04251739174390897,0.010977943343222411,15,0.7519457642237345,0.03775309365574337,0.00974780686643353,15,0.6311784876706525,0.04776265531255233,0.01233226457307736,15,2.878818156473653,0.3775910012735743,0.09749357730735579
combined,dendritic_shunting,per_soma_shared,scalar_fallback,15,0.007360709995822901,0.06762840116311955,0.01746157809569309,15,-0.012992644725988314,0.06646117155081499,0.017160200705716045,15,0.014923537924438813,0.06206997985160742,0.0160263998843137,15,0.07011216775528449,0.03841673045104078,0.009919157150174685
extension,dendritic_additive,per_soma,neuron_wise,10,0.4224984381398357,0.06527778120443854,0.020642646920815532,10,0.49179513692855836,0.07204234862660078,0.022781790964796173,10,0.3841629220719109,0.06440134828575804,0.020365494496877582,10,1.0530623729836663,0.2674251362280908,0.0845672534061577
extension,dendritic_additive,per_soma,scalar_fallback,10,0.206263124688688,0.05729172346050466,0.018117233721169853,10,0.24884748972952364,0.0716465098206524,0.02265661574348835,10,0.18736315980249857,0.06082149890863786,0.0192334467256741,10,0.3175732832831882,0.10816469740283188,0.0342046806215848
