seed,branch,signal_energy,noise_energy,signal_to_noise,optimal_reliability_gain
4200,0,0.1990550757,0.3126655419,0.6366389929,0.3889917053
4200,1,0.2910588121,0.3387243722,0.8592792133,0.4621571667
4200,2,0.2982556868,0.332448306,0.8971490647,0.472893291
4200,3,0.2831032675,0.317100286,0.8927878025,0.4716787594
4200,4,0.3584442634,0.3643660617,0.9837476677,0.4959036291
4200,5,0.2215376339,0.3594658268,0.6162967864,0.3813017458
4200,6,0.2346137742,0.2957150827,0.7933777747,0.4423930005
4200,7,0.2298002799,0.2955689851,0.7774844164,0.4374071633
4201,0,0.2154100376,0.329723801,0.6533044838,0.3951507361
4201,1,0.2608128359,0.2750157831,0.9483558832,0.4867467445
4201,2,0.2684904401,0.3137982339,0.8556148858,0.4610950755
4201,3,0.2463459729,0.4075583826,0.6044433961,0.3767308947
4201,4,0.280073691,0.3599690284,0.7780494122,0.4375859337
4201,5,0.2485179423,0.303482056,0.8188884231,0.450213665
4201,6,0.2724688964,0.3601445193,0.7565543324,0.4307036329
4201,7,0.1701239966,0.3555785762,0.4784427635,0.3236126384
4202,0,0.2197024353,0.3010137267,0.729875138,0.4219235955
4202,1,0.2222509067,0.3689502883,0.6023871338,0.375931085
4202,2,0.2693432599,0.3248155828,0.8292190221,0.4533186087
4202,3,0.2117794026,0.2968100287,0.7135183522,0.4164054335
4202,4,0.266090382,0.3277943996,0.8117600006,0.4480505146
4202,5,0.2700461524,0.3023753947,0.8930824303,0.4717609841
4202,6,0.2303504422,0.2915550641,0.790075257,0.4413642689
4202,7,0.240840441,0.3476058889,0.6928548931,0.4092819154
4203,0,0.3289688614,0.340359755,0.9665327834,0.4914908063
4203,1,0.2809564556,0.3999228975,0.7025265553,0.4126376491
4203,2,0.3055678134,0.326233239,0.9366544448,0.4836456226
4203,3,0.2656485169,0.289846533,0.916514385,0.4782194134
4203,4,0.2671289001,0.3619322753,0.7380632186,0.424646935
4203,5,0.2591707886,0.3421801606,0.7574103308,0.4309809255
4203,6,0.2861855829,0.3280526855,0.8723768943,0.4659194935
4203,7,0.2660703054,0.3218432898,0.8267076363,0.4525670227
4204,0,0.3192970981,0.3645624148,0.8758365786,0.4669045207
4204,1,0.2028091014,0.3130403421,0.6478688977,0.3931556076
4204,2,0.2707245936,0.3420875019,0.791389899,0.4417742332
4204,3,0.2334151637,0.333754641,0.6993615519,0.4115437066
4204,4,0.3096119624,0.3574107016,0.8662638274,0.4641700786
4204,5,0.2427636625,0.3359218934,0.7226788944,0.4195087644
4204,6,0.2392843376,0.3886846803,0.6156258525,0.381044814
4204,7,0.2180717271,0.3485477357,0.6256581375,0.3848645192
4205,0,0.2869395855,0.3094116839,0.9273715262,0.4811586732
4205,1,0.3350798477,0.336953284,0.9944400709,0.4986061429
4205,2,0.2710344797,0.3356918469,0.8073907133,0.4467162011
4205,3,0.2359974185,0.3371357483,0.7000071032,0.4117671637
4205,4,0.2704905109,0.2825655969,0.9572662555,0.4890833083
4205,5,0.2574757837,0.3422170783,0.7523756119,0.429346087
4205,6,0.3356158518,0.3220759516,1.042039463,0.5102934993
4205,7,0.2276859806,0.3638894372,0.6257009887,0.3848807333
4206,0,0.2302487279,0.2831342451,0.8132139856,0.4484931134
4206,1,0.2652664925,0.3455009322,0.7677735943,0.4343167003
4206,2,0.2432419134,0.3116176072,0.7805782081,0.4383846801
4206,3,0.3079177958,0.3190079024,0.9652356369,0.4911551667
4206,4,0.3292295858,0.3819252901,0.8620261458,0.4629506131
4206,5,0.2461033395,0.3394683351,0.7249669971,0.4202787638
4206,6,0.2122432738,0.2982877654,0.7115386496,0.4157304013
4206,7,0.2296219729,0.3516381131,0.6530064984,0.3950417007
4207,0,0.2593160648,0.2951136159,0.8786990866,0.4677167796
4207,1,0.2316219643,0.3294159048,0.7031292689,0.4128455084
4207,2,0.2666129136,0.346561623,0.7693088209,0.4348075428
4207,3,0.2766135812,0.3650898823,0.7576588523,0.4310613811
4207,4,0.2959181469,0.3178525723,0.9309918269,0.4821314176
4207,5,0.2180324947,0.2628210018,0.8295855095,0.4534281154
4207,6,0.2192047626,0.3214307978,0.6819656488,0.4054575367
4207,7,0.3194854953,0.3275583894,0.975354336,0.4937617106
4208,0,0.2859307487,0.2738881231,1.043969141,0.5107558231
4208,1,0.2295040619,0.3812138282,0.6020349863,0.3757939068
4208,2,0.1947336421,0.3233929335,0.6021580003,0.3758418335
4208,3,0.2432637716,0.2807201238,0.866570477,0.4642581074
4208,4,0.1705398671,0.326612293,0.522147729,0.3430335434
4208,5,0.2369509351,0.3893535178,0.6085753031,0.3783318704
4208,6,0.2558630218,0.3190489913,0.8019552759,0.4450472698
4208,7,0.2313358185,0.3246165457,0.7126433374,0.4161072664
4209,0,0.2721135503,0.371714516,0.7320498354,0.4226494067
4209,1,0.2641587121,0.2960453968,0.8922912328,0.4715401188
4209,2,0.240789319,0.3607670407,0.6674371322,0.4002772394
4209,3,0.3930746246,0.3475271391,1.131061665,0.5307503221
4209,4,0.3558269616,0.3101234865,1.14737186,0.5343144713
4209,5,0.2583949912,0.3759438718,0.6873233231,0.407345358
4209,6,0.2698164897,0.3442707215,0.7837334773,0.4393781287
4209,7,0.2915343526,0.3431101893,0.8496814193,0.4593663592
4210,0,0.3169179031,0.3925941902,0.8072404304,0.4466701922
4210,1,0.2960402811,0.3169671968,0.9339776613,0.4829309459
4210,2,0.2409902366,0.3284050849,0.7338200525,0.4232388773
4210,3,0.2454622606,0.3185865078,0.7704728685,0.4351791446
4210,4,0.2796013882,0.3352406022,0.8340319947,0.4547532416
4210,5,0.2431210139,0.3187128088,0.7628215973,0.4327276217
4210,6,0.2212879856,0.3214402404,0.6884265183,0.4077325906
4210,7,0.3636191207,0.3658674997,0.9938546631,0.4984589306
4211,0,0.2102112107,0.3739624662,0.5621184736,0.3598436886
4211,1,0.2872044979,0.3448454638,0.8328498649,0.4544015748
4211,2,0.2807998411,0.3390690682,0.8281493875,0.4529987501
4211,3,0.2350097915,0.3346165965,0.702325569,0.4125683017
4211,4,0.3032859353,0.3752855588,0.8081470979,0.4469476509
4211,5,0.2822816754,0.3698701491,0.7631912878,0.4328465624
4211,6,0.2103062802,0.3686267171,0.5705128535,0.3632653195
4211,7,0.1940137741,0.3294936758,0.5888239694,0.3706036545
4212,0,0.3063402807,0.322891433,0.948740813,0.4868481261
4212,1,0.2910280705,0.386979982,0.7520494187,0.4292398437
4212,2,0.2474765656,0.2815040251,0.8791226537,0.4678367599
4212,3,0.2768718757,0.3182379669,0.8700152228,0.4652449949
4212,4,0.3103452018,0.3217940283,0.9644218803,0.4909443791
4212,5,0.3593079571,0.4465286496,0.8046694371,0.4458818998
4212,6,0.2593868326,0.3084382091,0.8409685471,0.456807667
4212,7,0.2748640267,0.3454064022,0.7957699248,0.4431357903
4213,0,0.271907392,0.365247157,0.7444476618,0.4267526496
4213,1,0.2761211449,0.2775730739,0.994769201,0.4986888711
4213,2,0.2252684769,0.3494070452,0.6447164704,0.3919924692
4213,3,0.2927882647,0.3182121179,0.9201040695,0.4791948958
4213,4,0.2107588335,0.353030706,0.5969985895,0.3738253705
4213,5,0.2732420216,0.3018461702,0.905236006,0.4751306416
4213,6,0.1952771171,0.3069555245,0.6361739779,0.3888180514
4213,7,0.2584586462,0.3067130796,0.8426723976,0.4573099368
4214,0,0.2871476763,0.3425088413,0.8383657344,0.4560385992
4214,1,0.2402178374,0.3261808443,0.7364559924,0.4241144006
4214,2,0.2786131395,0.3414302311,0.8160177811,0.4493445987
4214,3,0.2917984605,0.353293849,0.8259369964,0.4523359776
4214,4,0.2463116386,0.3543919494,0.6950260552,0.4100385673
4214,5,0.2261322615,0.3168639765,0.7136572104,0.4164527223
4214,6,0.2443444777,0.315430509,0.7746380607,0.4365048163
4214,7,0.2302397364,0.3134714842,0.7344838303,0.4234596008
4215,0,0.3210932305,0.3244791379,0.9895651001,0.4973775927
4215,1,0.2978291111,0.3151596488,0.94501029,0.4858639026
4215,2,0.2552075475,0.3502801011,0.7285813458,0.4214909223
4215,3,0.2076729273,0.2952236041,0.7034428291,0.4129535885
4215,4,0.3244537584,0.3465045433,0.9363622056,0.4835676935
4215,5,0.2430844279,0.3015277601,0.806175948,0.4463440834
4215,6,0.3141613069,0.3744424717,0.839010878,0.4562294264
4215,7,0.2623092585,0.3190329381,0.822201181,0.4512131754
4216,0,0.323215879,0.3062593759,1.055366478,0.5134687607
4216,1,0.2658693932,0.3721601134,0.7143951853,0.4167039148
4216,2,0.2483465514,0.3334589678,0.7447589518,0.4268549252
4216,3,0.2163393494,0.3419051324,0.6327467152,0.3875351328
4216,4,0.2763973065,0.3423908314,0.8072567404,0.4466751859
4216,5,0.1802234222,0.3308706148,0.5446945547,0.3526228231
4216,6,0.2303726736,0.3235329461,0.7120532122,0.4159060052
4216,7,0.2538718255,0.35306537,0.719050485,0.4182835183
4217,0,0.2098179325,0.3134206079,0.669445235,0.4009986198
4217,1,0.2083595705,0.3235987011,0.6438825923,0.3916840505
4217,2,0.3639005787,0.3669306876,0.9917420129,0.4979269436
4217,3,0.2162539472,0.2629711109,0.822348685,0.4512575951
4217,4,0.259730856,0.287588048,0.9031350842,0.4745512243
4217,5,0.3359264693,0.299703305,1.120863413,0.5284939172
4217,6,0.2492558216,0.3221018784,0.7738415649,0.436251794
4217,7,0.2219284603,0.360154505,0.6162034828,0.3812660283
4218,0,0.2735143373,0.3037324623,0.9005107166,0.4738256452
4218,1,0.2947593595,0.3278987926,0.8989339581,0.4733887423
4218,2,0.2616519575,0.3421078863,0.7648229346,0.4333709176
4218,3,0.2599930102,0.361000195,0.7202018552,0.4186728743
4218,4,0.3332649475,0.4030786018,0.8267989073,0.4525943737
4218,5,0.3239416606,0.3131700998,1.03439524,0.5084534311
4218,6,0.23523385,0.3082415558,0.7631477508,0.4328325578
4218,7,0.2552867638,0.3519964235,0.7252538571,0.4203751547
4219,0,0.2406302369,0.2963422259,0.812001179,0.4481239794
4219,1,0.2239884174,0.3210288489,0.6977205262,0.4109749016
4219,2,0.2891295283,0.3614533935,0.7999081861,0.4444161054
4219,3,0.2083263111,0.3080936022,0.6761786342,0.4034048761
4219,4,0.3137595256,0.3577019287,0.8771535751,0.4672785364
4219,5,0.2519876179,0.3411247908,0.7386962916,0.4248564256
4219,6,0.3330154847,0.3396241977,0.9805411011,0.4950874792
4219,7,0.2578710837,0.3513840682,0.7338724407,0.4232563039
