seed,mode,eigenvalue,energy_fraction
4200,1,0.03326534818,0.1334676473
4200,2,0.0315745472,0.1266837943
4200,3,0.03153982688,0.126544489
4200,4,0.03095598641,0.124201997
4200,5,0.03088175883,0.1239041802
4200,6,0.03041194133,0.1220191725
4200,7,0.03030550659,0.1215921337
4200,8,0.0303041239,0.121586586
4201,1,0.03256715123,0.1317260955
4201,2,0.0318361746,0.1287694753
4201,3,0.03133710486,0.1267508613
4201,4,0.03070609543,0.1241985838
4201,5,0.03039770431,0.1229512177
4201,6,0.03032661206,0.1226636671
4201,7,0.03025326651,0.1223670024
4201,8,0.02980975227,0.1205730967
4202,1,0.03234256674,0.1283880998
4202,2,0.03231261306,0.1282691947
4202,3,0.03211915731,0.1275012465
4202,4,0.03143143471,0.1247712406
4202,5,0.03132318514,0.1243415296
4202,6,0.03099916894,0.1230553044
4202,7,0.0309170286,0.1227292375
4202,8,0.03046734193,0.1209441467
4203,1,0.0322693427,0.1280407263
4203,2,0.03208877338,0.1273242497
4203,3,0.03193035709,0.1266956736
4203,4,0.03186842998,0.1264499546
4203,5,0.03132287196,0.1242852484
4203,6,0.03124643059,0.1239819386
4203,7,0.03085156055,0.1224151435
4203,8,0.03044628614,0.1208070652
4204,1,0.0325068823,0.1300337205
4204,2,0.03220464909,0.1288247301
4204,3,0.03143252498,0.1257360866
4204,4,0.03132059913,0.1252883619
4204,5,0.03098482003,0.1239451815
4204,6,0.03067526698,0.1227069104
4204,7,0.03050354931,0.122020007
4204,8,0.03035980493,0.1214450021
4205,1,0.03279097101,0.1300839512
4205,2,0.03253420735,0.1290653528
4205,3,0.03207557143,0.1272459137
4205,4,0.03163984005,0.1255173385
4205,5,0.03154547821,0.1251429989
4205,6,0.03138558779,0.124508703
4205,7,0.03007692565,0.1193171537
4205,8,0.03002687217,0.1191185883
4206,1,0.03371975084,0.1332192096
4206,2,0.03235804268,0.1278394046
4206,3,0.03197722156,0.1263348653
4206,4,0.0316057391,0.1248672211
4206,5,0.03155062613,0.124649482
4206,6,0.03144545277,0.1242339655
4206,7,0.03077661571,0.1215915396
4206,8,0.02968133054,0.1172643123
4207,1,0.03143226428,0.1288918001
4207,2,0.0309903627,0.1270797292
4207,3,0.0308419947,0.1264713283
4207,4,0.03050026536,0.1250700258
4207,5,0.0304402089,0.1248237571
4207,6,0.03043131653,0.1247872928
4207,7,0.02966575691,0.121648023
4207,8,0.02956333843,0.1212280437
4208,1,0.03209033434,0.1304737613
4208,2,0.0317816092,0.1292185382
4208,3,0.0313496562,0.1274622918
4208,4,0.03100706083,0.1260693582
4208,5,0.03091071802,0.125677645
4208,6,0.03060304814,0.1244267123
4208,7,0.03027592641,0.1230966918
4208,8,0.02793404382,0.1135750014
4209,1,0.03392184846,0.132950075
4209,2,0.03248336396,0.1273122153
4209,3,0.03206777813,0.1256834076
4209,4,0.03166656125,0.1241109163
4209,5,0.03161042766,0.1238909116
4209,6,0.03126230537,0.1225265141
4209,7,0.03123994782,0.1224388881
4209,8,0.03089503566,0.121087072
4210,1,0.03334439373,0.1334703282
4210,2,0.03271946919,0.1309688917
4210,3,0.03215531947,0.1287107235
4210,4,0.03166780386,0.126759305
4210,5,0.03118748589,0.124836697
4210,6,0.03051632747,0.1221501964
4210,7,0.02958303466,0.118414429
4210,8,0.02865243187,0.1146894292
4211,1,0.03201923038,0.1287564112
4211,2,0.03188756955,0.1282269739
4211,3,0.03171011952,0.1275134081
4211,4,0.03167616668,0.1273768762
4211,5,0.03072719861,0.1235608656
4211,6,0.03044207026,0.1224143014
4211,7,0.03023564683,0.1215842271
4211,8,0.02998266634,0.1205669365
4212,1,0.03329400934,0.1312763556
4212,2,0.03298947527,0.1300755953
4212,3,0.03237395064,0.1276486173
4212,4,0.03130261271,0.1234243937
4212,5,0.03116292205,0.1228736015
