seed,condition_id,architecture,feedback_family,budget_k,route_rank,objective_smoothness,retained_signal_inner_product,retained_signal_fraction,operator_gradient_norm_sq,admitted_gradient_noise,exact_gradient_noise,noise_retention_fraction,gradient_estimator_mse,full_stochastic_gradient_mse,projected_estimator_better,optimal_bound_step,maximum_guaranteed_decrease,spectral_capture,pca_rank_upper_bound,morphology_regret,route_gram_condition,route_coherence,minibatches_per_seed,minibatch_size
4200,dendritic_tree__correct_ancestry_subtrees__k1,dendritic_tree,correct_ancestry_subtrees,1,1,0.633363182,-2.102628212,-0.9937422485,2.369112352,2.488236973,2.616054462,0.9511411204,11.17847454,2.616054462,False,0,0,0.125,0.1334676473,0.008467647262,1,0,64,64
4200,dendritic_tree__within_neuron_route_derangement__k1,dendritic_tree,within_neuron_route_derangement,1,1,0.633363182,-2.102628212,-0.9937422485,2.369112352,2.488236973,2.616054462,0.9511411204,11.17847454,2.616054462,False,0,0,0.125,0.1334676473,0.008467647262,1,0,64,64
4200,dendritic_tree__depth_interleaved_bins__k1,dendritic_tree,depth_interleaved_bins,1,1,0.633363182,-2.102628212,-0.9937422485,2.369112352,2.488236973,2.616054462,0.9511411204,11.17847454,2.616054462,False,0,0,0.125,0.1334676473,0.008467647262,1,0,64,64
4200,dendritic_tree__random_sparse_matched__k1,dendritic_tree,random_sparse_matched,1,1,0.633363182,-2.102628212,-0.9937422485,2.369112352,2.488236973,2.616054462,0.9511411204,11.17847454,2.616054462,False,0,0,0.125,0.1334676473,0.008467647262,1,0,64,64
4200,dendritic_tree__random_rank_k__k1,dendritic_tree,random_rank_k,1,1,0.633363182,1.038385297,0.490760722,0.8289107309,2.459734638,2.616054462,0.9402459593,3.327743568,2.616054462,False,0.4985269862,0.2588315463,0.1261659055,0.1334676473,0.007301741784,1,1,64,64
4200,dendritic_tree__learned_rank_k_upper_bound__k1,dendritic_tree,learned_rank_k_upper_bound,1,1,0.633363182,0.3584442634,0.1694076043,0.3584442634,0.3643660617,2.616054462,0.139280763,2.121790592,2.616054462,True,0.7829688293,0.1403253426,0.1334676473,0.1334676473,0,1,0,64,64
4200,dendritic_tree__correct_ancestry_subtrees__k2,dendritic_tree,correct_ancestry_subtrees,2,2,0.633363182,0.004447179346,0.00210182189,0.09738358938,2.487678233,2.616054462,0.9509275395,4.692036257,2.616054462,False,0.002716194693,6.039702469e-06,0.25,0.2601514416,0.01015144161,1,0,64,64
4200,dendritic_tree__within_neuron_route_derangement__k2,dendritic_tree,within_neuron_route_derangement,2,2,0.633363182,-2.978012514,-1.407465587,4.462301333,2.4596878,2.616054462,0.9402280554,14.99388295,2.616054462,False,0,0,0.25,0.2601514416,0.01015144161,1,0,64,64
4200,dendritic_tree__depth_interleaved_bins__k2,dendritic_tree,depth_interleaved_bins,2,2,0.633363182,-0.8675840045,-0.4100367694,0.5037368172,2.524775397,2.616054462,0.9651081173,6.879549017,2.616054462,False,0,0,0.25,0.2601514416,0.01015144161,1,0,64,64
4200,dendritic_tree__random_sparse_matched__k2,dendritic_tree,random_sparse_matched,2,2,0.633363182,-0.872640679,-0.4124266503,0.517409018,2.489397443,2.616054462,0.951584716,6.867956612,2.616054462,False,0,0,0.25,0.2601514416,0.01015144161,1,0,64,64
4200,dendritic_tree__random_rank_k__k2,dendritic_tree,random_rank_k,2,2,0.633363182,0.5426345879,0.2564594693,0.3634894502,2.461502467,2.616054462,0.9409217208,3.855591534,2.616054462,False,0.3032755851,0.08228391108,0.2485539069,0.2601514416,0.01159753475,2.211584411,0.996869412,64,64
4200,dendritic_tree__learned_rank_k_upper_bound__k2,dendritic_tree,learned_rank_k_upper_bound,2,2,0.633363182,0.5799818973,0.274110521,0.5799818973,0.7238318885,2.616054462,0.2766883866,2.259718785,2.616054462,True,0.7023378209,0.2036716109,0.2601514416,0.2601514416,0,1,0,64,64
4200,dendritic_tree__correct_ancestry_subtrees__k4,dendritic_tree,correct_ancestry_subtrees,4,4,0.633363182,1.286060336,0.6078166758,0.8200462571,2.552110626,2.616054462,0.9755571464,2.915905004,2.616054462,False,0.6021445492,0.3871971108,0.5,0.5108979276,0.01089792763,1,0,64,64
4200,dendritic_tree__within_neuron_route_derangement__k4,dendritic_tree,within_neuron_route_derangement,4,4,0.633363182,-1.676348196,-0.792274172,1.580645239,2.411447628,2.616054462,0.9217880067,9.460658054,2.616054462,False,0,0,0.5,0.5108979276,0.01089792763,1,0,64,64
4200,dendritic_tree__depth_interleaved_bins__k4,dendritic_tree,depth_interleaved_bins,4,4,0.633363182,0.4591800285,0.2170172507,0.1659192759,2.523534544,2.616054462,0.9646337948,3.886962556,2.616054462,False,0.2695666028,0.06188980017,0.5,0.5108979276,0.01089792763,1,0,64,64
4200,dendritic_tree__random_sparse_matched__k4,dendritic_tree,random_sparse_matched,4,4,0.633363182,0.7973520108,0.3768437879,0.4082714017,2.487402405,2.616054462,0.9508221027,3.416838579,2.616054462,False,0.4347580602,0.1733276068,0.5,0.5108979276,0.01089792763,1,0,64,64
4200,dendritic_tree__random_rank_k__k4,dendritic_tree,random_rank_k,4,4,0.633363182,1.759831471,0.8317299618,1.733127746,2.544103842,2.616054462,0.9724965128,2.873437439,2.616054462,False,0.6496141865,0.5716057447,0.5002860704,0.5108979276,0.01061185719,2.107177334,0.8445837557,64,64
