feedback_family,budget_k,n_seeds,mean_spectral_capture,ci95_low_spectral_capture,ci95_high_spectral_capture,mean_morphology_regret,ci95_low_morphology_regret,ci95_high_morphology_regret,mean_retained_signal_fraction,ci95_low_retained_signal_fraction,ci95_high_retained_signal_fraction,mean_noise_retention_fraction,ci95_low_noise_retention_fraction,ci95_high_noise_retention_fraction,mean_maximum_guaranteed_decrease,ci95_low_maximum_guaranteed_decrease,ci95_high_maximum_guaranteed_decrease,mean_route_gram_condition,ci95_low_route_gram_condition,ci95_high_route_gram_condition,mean_route_coherence,ci95_low_route_coherence,ci95_high_route_coherence,projected_estimator_better_fraction
backpropagation,8,20,1,1,1,0,0,0,1,1,1,1,1,1,0.7357807143,0.7079903959,0.7631427174,1,1,1,0,0,0,0
correct_ancestry_subtrees,1,20,0.125,0.125,0.125,0.006162546004,0.005311861793,0.007000195742,-1.012952766,-1.031593861,-0.9948968719,0.9378129901,0.9256412248,0.9501908546,0,0,0,1,1,1,0,0,0,0
correct_ancestry_subtrees,2,20,0.25,0.25,0.25,0.009552022579,0.008360164174,0.01076306525,-0.006130736353,-0.01668494016,0.004084175998,0.9405683202,0.9306121145,0.9499755062,0.000236134357,4.024982502e-05,0.0005320800957,1,1,1,0,0,0,0
correct_ancestry_subtrees,4,20,0.5,0.5,0.5,0.0113545699,0.01001359103,0.01278687656,0.6014117016,0.5931364502,0.6094406604,0.9549019418,0.94703866,0.9629056496,0.3799101442,0.3616401402,0.3988347653,1,1,1,0,0,0,0
correct_ancestry_subtrees,8,20,1,1,1,0,0,0,1,1,1,1,1,1,0.7357807143,0.708139618,0.7630933616,1,1,1,0,0,0,0
depth_interleaved_bins,1,20,0.125,0.125,0.125,0.006162546004,0.005313045357,0.007002542095,-1.012952766,-1.030962581,-0.9951750417,0.9378129901,0.9255774892,0.9500858076,0,0,0,1,1,1,0,0,0,0
depth_interleaved_bins,2,20,0.25,0.25,0.25,0.009552022579,0.00836414134,0.0107783255,-0.4274691012,-0.4412994485,-0.4140412756,0.9646084577,0.951375118,0.9788962165,0,0,0,1,1,1,0,0,0,0
depth_interleaved_bins,4,20,0.5,0.5,0.5,0.0113545699,0.01003966607,0.01278193355,0.2047823365,0.1970318315,0.2119261741,0.9925995563,0.9829432652,1.00273173,0.05370146688,0.04811694387,0.05929985191,1,1,1,0,0,0,0
depth_interleaved_bins,8,20,1,1,1,0,0,0,1,1,1,1,1,1,0.7357807143,0.7082716929,0.7626521092,1,1,1,0,0,0,0
exact_compartment_transport,8,20,1,1,1,0,0,0,1,1,1,1,1,1,0.7357807143,0.708235456,0.7629250601,1,1,1,0,0,0,0
learned_rank_k_upper_bound,1,20,0.131162546,0.1303293606,0.1319903236,-1.387778781e-18,-6.938893904e-18,4.163336342e-18,0.1515460239,0.1465016943,0.1568307905,0.1318054683,0.1261338235,0.1377133578,0.1207377849,0.113257653,0.1285166019,1,1,1,0,0,0,1
learned_rank_k_upper_bound,2,20,0.2595520226,0.2583570633,0.2607561523,-8.326672685e-18,-2.220446049e-17,5.551115123e-18,0.2778219617,0.272093155,0.2834842668,0.2648502819,0.2601434496,0.2698556877,0.2099611228,0.2007136972,0.2192603307,1,1,1,0,0,0,1
learned_rank_k_upper_bound,4,20,0.5113545699,0.5100425136,0.5127734229,5.551115123e-18,-3.330669074e-17,4.440892099e-17,0.5251253082,0.5145466479,0.535483905,0.5137173467,0.5068419239,0.5202476763,0.3919596144,0.3709805235,0.4121693152,1,1,1,0,0,0,1
