task_id,task_index,family,candidate_id,shape,permutation_index,restart,seed,sweep,normalized_mse,mse,variance,parameter_count,edges,credit_rank,credit_effective_rank,dead_coordinate_blocks,minimum_coordinate_rank,final_parameter_norm,maximum_parameter_norm,centered_cut_bound,centered_cut_sum,full_cut_bound,fit_seconds
matching_003,3,quadratic_matching,balanced_p1,balanced,1,2,4609352,8,0.75,0.75,1.0,28,14,8,8,0,4,2.5,2.554501152804399,0.5,2.0,0.5,0.07553120597731322
matching_003,3,quadratic_matching,balanced_p1,balanced,1,2,4609352,32,0.75,0.75,1.0,28,14,8,8,0,4,2.5,2.554501152804399,0.5,2.0,0.5,0.07553890894632787
matching_003,3,quadratic_matching,balanced_p1,balanced,1,3,4609353,0,1.2635880937071144,1.2635880937071144,1.0,28,14,8,8,0,4,2.549509756796393,2.7813548623402626,0.5,2.0,0.5,0.07522930507548153
matching_003,3,quadratic_matching,balanced_p1,balanced,1,3,4609353,2,0.5,0.5,1.0,28,14,8,8,0,4,2.549509756796393,2.7813548623402626,0.5,2.0,0.5,0.07524097000714391
matching_003,3,quadratic_matching,balanced_p1,balanced,1,3,4609353,8,0.5,0.5,1.0,28,14,8,8,0,4,2.549509756796393,2.7813548623402626,0.5,2.0,0.5,0.07524904201272875
matching_003,3,quadratic_matching,balanced_p1,balanced,1,3,4609353,32,0.5,0.5,1.0,28,14,8,8,0,4,2.549509756796393,2.7813548623402626,0.5,2.0,0.5,0.07525672798510641
matching_003,3,quadratic_matching,balanced_p2,balanced,2,0,4609350,0,3.8833595014767694,3.8833595014767694,1.0,28,14,8,8,0,4,2.5,3.01859032092732,0.75,2.5,0.5,0.07476982695516199
matching_003,3,quadratic_matching,balanced_p2,balanced,2,0,4609350,2,0.75,0.75,1.0,28,14,8,8,0,4,2.5,3.01859032092732,0.75,2.5,0.5,0.07478205393999815
matching_003,3,quadratic_matching,balanced_p2,balanced,2,0,4609350,8,0.75,0.75,1.0,28,14,8,8,0,4,2.5,3.01859032092732,0.75,2.5,0.5,0.07479036599397659
matching_003,3,quadratic_matching,balanced_p2,balanced,2,0,4609350,32,0.75,0.75,1.0,28,14,8,8,0,4,2.5,3.01859032092732,0.75,2.5,0.5,0.07479799294378608
matching_003,3,quadratic_matching,balanced_p2,balanced,2,1,4609351,0,1.1717127511637941,1.1717127511637941,1.0,28,14,8,8,0,4,2.5,18.25846753126982,0.75,2.5,0.5,0.074976054020226
matching_003,3,quadratic_matching,balanced_p2,balanced,2,1,4609351,2,0.75,0.75,1.0,28,14,8,8,0,4,2.5,18.25846753126982,0.75,2.5,0.5,0.07498829311225563
matching_003,3,quadratic_matching,balanced_p2,balanced,2,1,4609351,8,0.7499999999999999,0.7499999999999999,1.0,28,14,8,8,0,4,2.5,18.25846753126982,0.75,2.5,0.5,0.07499663403723389
matching_003,3,quadratic_matching,balanced_p2,balanced,2,1,4609351,32,0.75,0.75,1.0,28,14,8,8,0,4,2.5,18.25846753126982,0.75,2.5,0.5,0.07500480103772134
matching_003,3,quadratic_matching,balanced_p2,balanced,2,2,4609352,0,1.5793998456242906,1.5793998456242906,1.0,28,14,8,8,0,4,2.5,2.554501152804399,0.75,2.5,0.5,0.07481726398691535
