arm,policy,rank,noise_sd,angle_pi,regret,test_loss,penalized_test_loss
feedback_only,development_best,1,0.0,0.125,0.06999999999999999,5.119463120219069e-32,0.0838993472585758
feedback_only,development_best,1,0.0,0.375,0.06999999999564527,5.441514607416601e-32,0.0838993472585758
feedback_only,development_best,1,0.75,0.125,0.07313584015027395,0.3001258583144092,0.38402520557298503
feedback_only,development_best,1,0.75,0.375,0.08485728515575475,0.3001258583144092,0.38402520557298503
feedback_only,development_best,2,0.0,0.125,0.06,5.278277472488936e-32,0.0838993472585758
feedback_only,development_best,2,0.0,0.375,0.059999583536941216,5.406491468696937e-32,0.0838993472585758
feedback_only,development_best,2,0.75,0.125,0.06388376742520965,0.2985930252673854,0.3824923725259613
feedback_only,development_best,2,0.75,0.375,0.07017160550588711,0.29859302526738546,0.3824923725259613
feedback_only,development_best,4,0.0,0.125,0.03999999999999774,5.1314512852369964e-17,0.08389934725857585
feedback_only,development_best,4,0.0,0.375,0.039828041803042766,3.6898873800362944e-17,0.08389934725857583
feedback_only,development_best,4,0.75,0.125,0.04118322199709879,0.2965891596423012,0.38048850690087704
feedback_only,development_best,4,0.75,0.375,0.04611732838334404,0.29658915976283023,0.380488507021406
feedback_only,development_best,8,0.0,0.125,0.0,2.551320921082433e-08,0.08389937277178502
feedback_only,development_best,8,0.0,0.375,0.0,2.8639776986836048e-08,0.0838993758983528
feedback_only,development_best,8,0.75,0.125,0.0,0.3023092641779644,0.38620861143654023
feedback_only,development_best,8,0.75,0.375,0.0,0.30230907508678667,0.3862084223453625
feedback_only,maximum_budget,1,0.0,0.125,0.06999999999999999,5.119463120219069e-32,0.0838993472585758
feedback_only,maximum_budget,1,0.0,0.375,0.06999999999564527,5.441514607416601e-32,0.0838993472585758
feedback_only,maximum_budget,1,0.75,0.125,0.07313584015027395,0.3001258583144092,0.38402520557298503
feedback_only,maximum_budget,1,0.75,0.375,0.08485728515575475,0.3001258583144092,0.38402520557298503
feedback_only,maximum_budget,2,0.0,0.125,0.06,5.278277472488936e-32,0.0838993472585758
feedback_only,maximum_budget,2,0.0,0.375,0.059999583536941216,5.406491468696937e-32,0.0838993472585758
feedback_only,maximum_budget,2,0.75,0.125,0.06388376742520965,0.2985930252673854,0.3824923725259613
feedback_only,maximum_budget,2,0.75,0.375,0.07017160550588711,0.29859302526738546,0.3824923725259613
feedback_only,maximum_budget,4,0.0,0.125,0.03999999999999774,5.1314512852369964e-17,0.08389934725857585
feedback_only,maximum_budget,4,0.0,0.375,0.039828041803042766,3.6898873800362944e-17,0.08389934725857583
feedback_only,maximum_budget,4,0.75,0.125,0.04118322199709879,0.2965891596423012,0.38048850690087704
feedback_only,maximum_budget,4,0.75,0.375,0.04611732838334404,0.29658915976283023,0.380488507021406
feedback_only,maximum_budget,8,0.0,0.125,0.0,2.551320921082433e-08,0.08389937277178502
feedback_only,maximum_budget,8,0.0,0.375,0.0,2.8639776986836048e-08,0.0838993758983528
feedback_only,maximum_budget,8,0.75,0.125,0.0,0.3023092641779644,0.38620861143654023
feedback_only,maximum_budget,8,0.75,0.375,0.0,0.30230907508678667,0.3862084223453625
feedback_only,moment_selector,1,0.0,0.125,0.023449271721903506,5.013574584533921e-32,0.0373486189804793
feedback_only,moment_selector,1,0.0,0.375,0.06605863422387431,5.432765608674942e-32,0.07995798148680484
feedback_only,moment_selector,1,0.75,0.125,0.025532274670438598,0.2990730211126703,0.3364216400931497
feedback_only,moment_selector,1,0.75,0.375,0.08084556106628747,0.3000554999967128,0.38001348148351777
feedback_only,moment_selector,2,0.0,0.125,0.0019999999999999996,1.3450783375999663e-31,0.0258993472585758
feedback_only,moment_selector,2,0.0,0.375,0.057999583536941214,5.574768332094635e-32,0.0818993472585758
feedback_only,moment_selector,2,0.75,0.125,0.0039969932673654535,0.29670625110954124,0.3226055983681171
feedback_only,moment_selector,2,0.75,0.375,0.06812744270861007,0.29854886247010837,0.3804482097286842
feedback_only,moment_selector,4,0.0,0.125,0.0,2.282078042205029e-15,0.04389934725857811
feedback_only,moment_selector,4,0.0,0.375,0.03582804180304287,1.4044540978014408e-16,0.07989934725857593
feedback_only,moment_selector,4,0.75,0.125,0.0,0.2954059376452024,0.3393052849037782
feedback_only,moment_selector,4,0.75,0.375,0.04197491182948941,0.29644674320897557,0.3763460904675514
feedback_only,moment_selector,8,0.0,0.125,0.17558833414313169,0.20776300847285287,0.25948770691491674
feedback_only,moment_selector,8,0.0,0.375,0.2531431633835649,0.299893981027452,0.3370425392819177
feedback_only,moment_selector,8,0.75,0.125,0.19534762131946795,0.5352729000857153,0.5815562327560082
feedback_only,moment_selector,8,0.75,0.375,0.25892596106980836,0.6112900480753334,0.6451343834151709
feedback_only,rank_only,1,0.0,0.125,0.011220053390893001,5.019723723220508e-32,0.025119400649468805
feedback_only,rank_only,1,0.0,0.375,0.01122005338674302,2.0475591078301265e-13,0.02511940064967355
feedback_only,rank_only,1,0.75,0.125,0.011757961372080832,0.2975279261453231,0.3226473267947919
feedback_only,rank_only,1,0.75,0.375,0.013200179541943233,0.28724869930970465,0.3123680999591735
feedback_only,rank_only,2,0.0,0.125,0.019999999999999997,6.732416041701264e-32,0.0438993472585758
feedback_only,rank_only,2,0.0,0.375,0.019999602825232478,1.9288291252047283e-08,0.04389936654686706
feedback_only,rank_only,2,0.75,0.125,0.022484725335843652,0.2971939831780194,0.3410933304365953
feedback_only,rank_only,2,0.75,0.375,0.023075041678752507,0.2914964614402508,0.3353958086988267
feedback_only,rank_only,4,0.0,0.125,0.0,2.282078042205029e-15,0.04389934725857811
feedback_only,rank_only,4,0.0,0.375,0.0,0.00017195819695721467,0.04407130545553306
feedback_only,rank_only,4,0.75,0.125,0.0,0.2954059376452024,0.3393052849037782
feedback_only,rank_only,4,0.75,0.375,0.0,0.2904718313794862,0.334371178638062
feedback_only,rank_only,8,0.0,0.125,0.0,2.551320921082433e-08,0.08389937277178502
feedback_only,rank_only,8,0.0,0.375,0.0,2.8639776986836048e-08,0.0838993758983528
feedback_only,rank_only,8,0.75,0.125,0.0,0.3023092641779644,0.38620861143654023
feedback_only,rank_only,8,0.75,0.375,0.0,0.30230907508678667,0.3862084223453625
feedback_only,sampled_random,1,0.0,0.125,0.039819895519858574,5.070724972154329e-32,0.05371924277843437
feedback_only,sampled_random,1,0.0,0.375,0.02628488359770707,9.415636669071355e-13,0.0401842308606376
feedback_only,sampled_random,1,0.75,0.125,0.015112954608921642,0.2979833730076383,0.3260023200316327
feedback_only,sampled_random,1,0.75,0.375,0.03312709242283325,0.29106728527019193,0.3322950128400635
feedback_only,sampled_random,2,0.0,0.125,0.06103880783268134,0.04521279596270118,0.08493815509125714
feedback_only,sampled_random,2,0.0,0.375,0.10328049046787043,0.09071031151857945,0.12718025418950502
feedback_only,sampled_random,2,0.75,0.125,0.0941257343369795,0.3700356323911326,0.4127343394377311
feedback_only,sampled_random,2,0.75,0.375,0.0763954919953371,0.3308271934147151,0.3887162590154113
feedback_only,sampled_random,4,0.0,0.125,0.16464830888104592,0.16449683639846904,0.20854765613962406
feedback_only,sampled_random,4,0.0,0.375,0.19241118774454766,0.19650801154259506,0.23648249320008072
feedback_only,sampled_random,4,0.75,0.125,0.14337731020605501,0.43420574501103204,0.4826825951098333
feedback_only,sampled_random,4,0.75,0.375,0.16548091702004447,0.4553821529871809,0.4998520956581065
feedback_only,sampled_random,8,0.0,0.125,0.1772865960514429,0.2083327223892284,0.2611859688232279
feedback_only,sampled_random,8,0.0,0.375,0.20557191864498794,0.24172774780677253,0.28947129454334075
feedback_only,sampled_random,8,0.75,0.125,0.21772638997713328,0.5608704074517511,0.6039350014136735
feedback_only,sampled_random,8,0.75,0.375,0.21817012775082856,0.562136346339417,0.6043785500961911
feedback_only,uniform_random_expectation,1,0.0,0.125,0.02907296385366534,5.09246881603341e-32,0.04297231111224114
feedback_only,uniform_random_expectation,1,0.0,0.375,0.029072963850521945,1.211327499020016e-12,0.04297231111345247
feedback_only,uniform_random_expectation,1,0.75,0.125,0.03030527112733649,0.29822232543780636,0.34119463655004756
feedback_only,uniform_random_expectation,1,0.75,0.375,0.03470022897877326,0.29089583828376236,0.3338681493960035
feedback_only,uniform_random_expectation,2,0.0,0.125,0.10406779069395385,0.08499482684028846,0.12796713795252962
feedback_only,uniform_random_expectation,2,0.0,0.375,0.09615190037277824,0.07707935298217164,0.12005166409441281
feedback_only,uniform_random_expectation,2,0.75,0.125,0.10274712441244875,0.3783834184009592,0.4213557295132004
feedback_only,uniform_random_expectation,2,0.75,0.375,0.0983478482150831,0.3676963041229161,0.4106686152351573
feedback_only,uniform_random_expectation,4,0.0,0.125,0.1764560176877693,0.17738305383410624,0.22035536494634744
feedback_only,uniform_random_expectation,4,0.0,0.375,0.16991487287281312,0.171013867216105,0.21398617832834618
feedback_only,uniform_random_expectation,4,0.75,0.125,0.16925419898602465,0.4655871727775617,0.5085594838898029
feedback_only,uniform_random_expectation,4,0.75,0.375,0.1687382703902589,0.46013713791607974,0.5031094490283209
feedback_only,uniform_random_expectation,8,0.0,0.125,0.22796299296313705,0.26889005462268084,0.31186236573492204
feedback_only,uniform_random_expectation,8,0.0,0.375,0.22933106763652206,0.2702581324226337,0.31323044353487484
feedback_only,uniform_random_expectation,8,0.75,0.125,0.21773840884547502,0.5609747091697741,0.6039470202820152
feedback_only,uniform_random_expectation,8,0.75,0.375,0.21831462129074194,0.5615507325238633,0.6045230436361045
joint_forward_feedback,development_best,1,0.0,0.125,0.06999999999999999,4.979043534058946e-32,0.0838993472585758
joint_forward_feedback,development_best,1,0.0,0.375,0.0699992985528687,3.967980644176942e-27,0.0838993472585758
joint_forward_feedback,development_best,1,0.75,0.125,0.07083127678118561,0.2904132316379401,0.3743125788965159
