arm,comparator,n_seeds,mean_regret_reduction,ci95_low,ci95_high,positive_seeds
feedback_only,development_best,20,-0.035602570049420655,-0.04300109371843754,-0.02762060740642557,0
feedback_only,maximum_budget,20,-0.035602570049420655,-0.04300109371843754,-0.02762060740642557,0
feedback_only,rank_only,20,-0.07224126107577732,-0.07955690137182093,-0.06433500202894836,0
feedback_only,sampled_random,20,0.0403150195196468,0.029200786168150153,0.05231131166512448,20
feedback_only,uniform_random_expectation,20,0.050834921714586076,0.043617239736666376,0.05850862079695267,20
joint_forward_feedback,development_best,20,-0.0613495502899085,-0.06522588092651313,-0.057059673374316604,0
joint_forward_feedback,maximum_budget,20,-0.0613495502899085,-0.06522588092651313,-0.057059673374316604,0
joint_forward_feedback,rank_only,20,-0.09582962768823874,-0.09973398474202042,-0.09154028464953902,0
joint_forward_feedback,sampled_random,20,0.018407834067891697,0.009435725649103957,0.027504993951322457,13
joint_forward_feedback,uniform_random_expectation,20,0.02919332129787331,0.02497488886218717,0.03360673287976715,20
