task_id,arm,seed,rank,noise_sd,angle_pi,utility_vs_negative_loss_rho
s7201_r2_n750_a375,joint_forward_feedback,7201,2,0.75,0.375,0.5067669172932331
s7201_r4_n000_a125,feedback_only,7201,4,0.0,0.125,0.951937984496124
s7201_r4_n000_a125,joint_forward_feedback,7201,4,0.0,0.125,0.9624060150375938
s7201_r4_n000_a375,feedback_only,7201,4,0.0,0.375,0.972093023255814
s7201_r4_n000_a375,joint_forward_feedback,7201,4,0.0,0.375,0.9172932330827066
s7201_r4_n750_a125,feedback_only,7201,4,0.75,0.125,0.848062015503876
s7201_r4_n750_a125,joint_forward_feedback,7201,4,0.75,0.125,0.8842105263157894
s7201_r4_n750_a375,feedback_only,7201,4,0.75,0.375,0.8713178294573645
s7201_r4_n750_a375,joint_forward_feedback,7201,4,0.75,0.375,0.9052631578947368
s7201_r8_n000_a125,feedback_only,7201,8,0.0,0.125,0.9674418604651163
s7201_r8_n000_a125,joint_forward_feedback,7201,8,0.0,0.125,0.9233082706766916
s7201_r8_n000_a375,feedback_only,7201,8,0.0,0.375,0.9875968992248063
s7201_r8_n000_a375,joint_forward_feedback,7201,8,0.0,0.375,0.9383458646616539
s7201_r8_n750_a125,feedback_only,7201,8,0.75,0.125,0.9658914728682173
s7201_r8_n750_a125,joint_forward_feedback,7201,8,0.75,0.125,0.9142857142857143
s7201_r8_n750_a375,feedback_only,7201,8,0.75,0.375,0.9875968992248063
s7201_r8_n750_a375,joint_forward_feedback,7201,8,0.75,0.375,0.9037593984962405
s7202_r1_n000_a125,feedback_only,7202,1,0.0,0.125,0.49011248352845005
s7202_r1_n000_a125,joint_forward_feedback,7202,1,0.0,0.125,0.4686825823015366
s7202_r1_n000_a375,feedback_only,7202,1,0.0,0.375,0.9457364341085271
s7202_r1_n000_a375,joint_forward_feedback,7202,1,0.0,0.375,0.9954887218045112
s7202_r1_n750_a125,feedback_only,7202,1,0.75,0.125,-1.0
s7202_r1_n750_a125,joint_forward_feedback,7202,1,0.75,0.125,-0.9864661654135337
s7202_r1_n750_a375,feedback_only,7202,1,0.75,0.375,-1.0
s7202_r1_n750_a375,joint_forward_feedback,7202,1,0.75,0.375,-0.9954887218045112
s7202_r2_n000_a125,feedback_only,7202,2,0.0,0.125,0.992248062015504
s7202_r2_n000_a125,joint_forward_feedback,7202,2,0.0,0.125,0.9458646616541352
s7202_r2_n000_a375,feedback_only,7202,2,0.0,0.375,0.9627906976744188
s7202_r2_n000_a375,joint_forward_feedback,7202,2,0.0,0.375,0.9518796992481202
s7202_r2_n750_a125,feedback_only,7202,2,0.75,0.125,0.5705426356589148
s7202_r2_n750_a125,joint_forward_feedback,7202,2,0.75,0.125,0.5954887218045113
s7202_r2_n750_a375,feedback_only,7202,2,0.75,0.375,0.4992248062015504
s7202_r2_n750_a375,joint_forward_feedback,7202,2,0.75,0.375,0.4947368421052631
s7202_r4_n000_a125,feedback_only,7202,4,0.0,0.125,0.9767441860465117
s7202_r4_n000_a125,joint_forward_feedback,7202,4,0.0,0.125,0.9263157894736842
s7202_r4_n000_a375,feedback_only,7202,4,0.0,0.375,0.9596899224806201
s7202_r4_n000_a375,joint_forward_feedback,7202,4,0.0,0.375,0.9383458646616539
s7202_r4_n750_a125,feedback_only,7202,4,0.75,0.125,0.9596899224806201
s7202_r4_n750_a125,joint_forward_feedback,7202,4,0.75,0.125,0.9127819548872179
s7202_r4_n750_a375,feedback_only,7202,4,0.75,0.375,0.8294573643410853
s7202_r4_n750_a375,joint_forward_feedback,7202,4,0.75,0.375,0.8962406015037594
s7202_r8_n000_a125,feedback_only,7202,8,0.0,0.125,0.970542635658915
s7202_r8_n000_a125,joint_forward_feedback,7202,8,0.0,0.125,0.9458646616541352
s7202_r8_n000_a375,feedback_only,7202,8,0.0,0.375,0.9844961240310078
s7202_r8_n000_a375,joint_forward_feedback,7202,8,0.0,0.375,0.9473684210526315
s7202_r8_n750_a125,feedback_only,7202,8,0.75,0.125,0.9658914728682173
s7202_r8_n750_a125,joint_forward_feedback,7202,8,0.75,0.125,0.9473684210526315
s7202_r8_n750_a375,feedback_only,7202,8,0.75,0.375,0.9782945736434111
s7202_r8_n750_a375,joint_forward_feedback,7202,8,0.75,0.375,0.9503759398496241
s7203_r1_n000_a125,feedback_only,7203,1,0.0,0.125,0.5612403100775194
s7203_r1_n000_a125,joint_forward_feedback,7203,1,0.0,0.125,-0.4090225563909774
s7203_r1_n000_a375,feedback_only,7203,1,0.0,0.375,0.9023255813953489
s7203_r1_n000_a375,joint_forward_feedback,7203,1,0.0,0.375,0.9834586466165413
s7203_r1_n750_a125,feedback_only,7203,1,0.75,0.125,-1.0
s7203_r1_n750_a125,joint_forward_feedback,7203,1,0.75,0.125,-0.9819548872180449
