path	bytes	sha256
README.md	7772	deca1c60da60098ebc009b5afd18e2fe9be683ff819324c4c49a43375182fcef
additional_paired_policy_contrasts.csv	1016	5a014f7ad5fd68d7ed596548cdee3a1d04b145faf6f5a049cc5e0efb225167e6
calibration/confirmatory/seed_7200.csv	243818	58b0fef7204798b23b0d87bdcc512e17ea78c407d7555413f00aa3b4bb01561a
calibration/confirmatory/seed_7200_update_means.npz	356468	383018a5309841430549e32f501c423e0d547e177c4d6197427cd50bf3294f58
calibration/confirmatory/seed_7201.csv	243610	37daecd13cee5de8cb697fb12b3fa05fc6fc78df0e305474c5ca1540ea6babb2
calibration/confirmatory/seed_7201_update_means.npz	356551	c3131b1d57df41b9e0ca97bbb225a80c4a9b5d00a53b2e9f62f05c4a87c69fdb
calibration/confirmatory/seed_7202.csv	241079	1d5e2a293147a9a4b98338fa1ba027eccef7d2a43d050a2ede6da34d4373c3fb
calibration/confirmatory/seed_7202_update_means.npz	356463	0d7e7393fab72877f91876c7949669c92d0dc1184d298fc208898f46b79ac711
calibration/confirmatory/seed_7203.csv	243836	9d78d2f050310f6636169744524d4c6ee615a996650e290368a8e37b37c08a64
calibration/confirmatory/seed_7203_update_means.npz	356607	8bfe1d9d726b51bb179b166cd170cb93e31779e31c445906430ca642841984af
calibration/confirmatory/seed_7204.csv	244590	48731d503904bc938579a4c9e6323a579c032e8ee838fd4e7163373b670b0467
calibration/confirmatory/seed_7204_update_means.npz	356381	97b32e129035f426b7cfe2ddcc6b37d0540aa530b4a18b76827a21365d604c1e
calibration/confirmatory/seed_7205.csv	244016	cfb15b6bd0a93dff5d600ba2dd7f2d7f6f92d007c7339621ecb56419125a2045
calibration/confirmatory/seed_7205_update_means.npz	356582	f34645e11b13949349851d53e12321e523bb35649f1ba1728276c8c53d82f351
calibration/confirmatory/seed_7206.csv	243611	74e35d87cd0340fbe7e6e99f700f1d7027c81b271c9b6f8a337b47d0ea6d12ea
calibration/confirmatory/seed_7206_update_means.npz	356450	d3bc49261b6c631d22c6c686cfb2359e175b486f6388c651f120a9cd9748372e
calibration/confirmatory/seed_7207.csv	242991	557d955e22e151e5794426d5565e01d1789272ea9e5e7991ea581c8ca2d9df8f
calibration/confirmatory/seed_7207_update_means.npz	356359	371b17445560f99f6c89abd144ba9af5202f736c0b93895be1e0aff4efda7c8f
calibration/confirmatory/seed_7208.csv	244733	9217ca32f5e81e58be7bc6ebee28d9f03dd1b484861602e9088e95d5181c71d8
calibration/confirmatory/seed_7208_update_means.npz	356285	a188159500269525dd033292c67f25f433d1e86bf48e6557fb7eebd1f9f3c92c
calibration/confirmatory/seed_7209.csv	243233	b27c404620ccb382f8818a92cd0a2a1b8e49888a6dae23dce2a4020984330ef7
calibration/confirmatory/seed_7209_update_means.npz	356373	fc77bc045fbd991704ad77e1e33d4ec4d87e73acd9f080dbf49bf656f336abe4
calibration/confirmatory/seed_7210.csv	243283	09f5a20003e70e9af6160cc92307d9282ebe25867fdd7b36a9be445044461388
calibration/confirmatory/seed_7210_update_means.npz	356789	05fcc8ec28e9e7044fd60736eafc3119ff086048e4a5bc9fb51801378b4b9b49
calibration/confirmatory/seed_7211.csv	242924	01517bd5e992c96e3708a0142e04c5a4ed8984dbf534dfbb42bcf2883cf01f61
