arm,candidate_id,equivalent_forward_and_projector_class,resource_cost
feedback_only,balanced_contiguous_k1,1,0.1737418407321983
feedback_only,balanced_contiguous_k2,2,0.2987418407321983
feedback_only,balanced_contiguous_k4,3,0.5487418407321983
feedback_only,balanced_contiguous_k8,4,1.0487418407321982
feedback_only,balanced_interleaved_k1,1,0.19088469787505546
feedback_only,balanced_interleaved_k2,5,0.31588469787505546
feedback_only,balanced_interleaved_k4,6,0.5658846978750555
feedback_only,balanced_interleaved_k8,4,1.0658846978750554
feedback_only,balanced_permutation_a_k1,1,0.18899250811836066
feedback_only,balanced_permutation_a_k2,7,0.31399250811836066
feedback_only,balanced_permutation_a_k4,8,0.5639925081183607
feedback_only,balanced_permutation_a_k8,4,1.0639925081183608
feedback_only,balanced_permutation_b_k1,1,0.18840039778945986
feedback_only,balanced_permutation_b_k2,9,0.31340039778945983
feedback_only,balanced_permutation_b_k4,10,0.5634003977894598
feedback_only,balanced_permutation_b_k8,4,1.06340039778946
feedback_only,comb_contiguous_k1,1,0.225
feedback_only,comb_contiguous_k2,11,0.35
feedback_only,comb_contiguous_k4,12,0.6
feedback_only,comb_contiguous_k8,4,1.1
joint_forward_feedback,balanced_contiguous_k1,1,0.1737418407321983
joint_forward_feedback,balanced_contiguous_k2,2,0.2987418407321983
joint_forward_feedback,balanced_contiguous_k4,3,0.5487418407321983
joint_forward_feedback,balanced_contiguous_k8,4,1.0487418407321982
joint_forward_feedback,balanced_interleaved_k1,5,0.19088469787505546
joint_forward_feedback,balanced_interleaved_k2,6,0.31588469787505546
joint_forward_feedback,balanced_interleaved_k4,7,0.5658846978750555
joint_forward_feedback,balanced_interleaved_k8,8,1.0658846978750554
joint_forward_feedback,balanced_permutation_a_k1,9,0.18899250811836066
joint_forward_feedback,balanced_permutation_a_k2,10,0.31399250811836066
joint_forward_feedback,balanced_permutation_a_k4,11,0.5639925081183607
joint_forward_feedback,balanced_permutation_a_k8,12,1.0639925081183608
joint_forward_feedback,balanced_permutation_b_k1,13,0.18840039778945986
joint_forward_feedback,balanced_permutation_b_k2,14,0.31340039778945983
joint_forward_feedback,balanced_permutation_b_k4,15,0.5634003977894598
joint_forward_feedback,balanced_permutation_b_k8,16,1.06340039778946
joint_forward_feedback,comb_contiguous_k1,17,0.225
joint_forward_feedback,comb_contiguous_k2,18,0.35
joint_forward_feedback,comb_contiguous_k4,19,0.6
joint_forward_feedback,comb_contiguous_k8,20,1.1
