task_id,split,seed,rank,noise_sd,angle_pi,arm,candidate_id,tree_id,shape,budget_k,resource_cost,channel_cost,cable_cost,parameter_count,decoder_coefficients,encoder_coefficients,utility_actual_step,utility_optimized_step,gradient_alignment,update_mean_square,minibatch_covariance_trace,single_trial_second_moment,actual_update_second_moment,global_calibration_curvature,initial_calibration_loss,exact_expected_calibration_decrease,expected_calibration_decrease_minus_bound,actual_training_first_step_test_decrease,actual_training_first_step_calibration_decrease
s7200_r1_n000_a125,confirmatory,7200,1,0.0,0.125,feedback_only,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,0.2666910368188067,0.3592728800185747,1.0108214539898044,1.010821453989804,0.2544161691355393,9.152138866327062,1.2652376231253433,1.1238862895029509,0.5434605513296564,0.2827460510179064,0.0160550141990997,0.215946959215126,0.2288100060150706
s7200_r1_n000_a125,confirmatory,7200,1,0.0,0.125,feedback_only,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,0.2689892569533108,0.3623689277016506,1.019532246244613,1.0195322462446132,0.256608610131777,9.231007770461478,1.2761408563763903,1.1238862895029509,0.5434605513296564,0.2845651477085421,0.0155758907552312,0.2174876252200499,0.2304433995242182
s7200_r1_n000_a125,confirmatory,7200,1,0.0,0.125,feedback_only,balanced_contiguous_k4,balanced_contiguous,balanced,4,0.5487418407321983,0.5,0.487418407321983,64,64,32,0.2812165465880343,0.3788409232148443,1.065876536005363,1.0658765360053633,0.268273119838905,9.650616370850326,1.3341496558442685,1.1238862895029509,0.5434605513296564,0.2940659412665017,0.0128493946784674,0.2255924648180178,0.2390363740969781
s7200_r1_n000_a125,confirmatory,7200,1,0.0,0.125,feedback_only,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,0.312447984810229,0.4209143610440786,1.1842509972190722,1.1842509972190722,0.2980670827851836,10.722397646344948,1.482318080004256,1.1238862895029509,0.5434605513296564,0.3169775515031473,0.0045295666929182,0.245591017637161,0.2602419571113169
s7200_r1_n000_a125,confirmatory,7200,1,0.0,0.125,feedback_only,balanced_interleaved_k1,balanced_interleaved,balanced,1,0.1908846978750554,0.125,0.6588469787505544,64,64,8,0.2666910368188067,0.3592728800185747,1.0108214539898044,1.010821453989804,0.2544161691355393,9.152138866327062,1.2652376231253433,1.1238862895029509,0.5434605513296564,0.2827460510179064,0.0160550141990997,0.215946959215126,0.2288100060150706
s7200_r1_n000_a125,confirmatory,7200,1,0.0,0.125,feedback_only,balanced_interleaved_k2,balanced_interleaved,balanced,2,0.3158846978750554,0.25,0.6588469787505544,64,64,16,0.2770478462474925,0.3732250577731482,1.0500761859458403,1.0500761859458403,0.2642962903827462,9.50755747819372,1.3143724763285864,1.1238862895029509,0.5434605513296564,0.2908603512963815,0.0138125050488889,0.2228466521372653,0.2361251242309799
s7200_r1_n000_a125,confirmatory,7200,1,0.0,0.125,feedback_only,balanced_interleaved_k4,balanced_interleaved,balanced,4,0.5658846978750555,0.5,0.6588469787505544,64,64,32,0.2799902325375469,0.3771888940128836,1.0612285187103387,1.0612285187103387,0.2671032487903552,9.608532480001706,1.328331767500694,1.1238862895029509,0.5434605513296564,0.2931265512163678,0.0131363186788208,0.2247865935040713,0.2381819415942577
s7200_r1_n000_a125,confirmatory,7200,1,0.0,0.125,feedback_only,balanced_interleaved_k8,balanced_interleaved,balanced,8,1.0658846978750554,1.0,0.6588469787505544,64,64,64,0.312447984810229,0.4209143610440786,1.1842509972190722,1.1842509972190722,0.2980670827851836,10.722397646344948,1.482318080004256,1.1238862895029509,0.5434605513296564,0.3169775515031473,0.0045295666929182,0.245591017637161,0.2602419571113169
s7200_r1_n000_a125,confirmatory,7200,1,0.0,0.125,feedback_only,balanced_permutation_a_k1,balanced_permutation_a,balanced,1,0.1889925081183606,0.125,0.6399250811836067,64,64,8,0.2666910368188067,0.3592728800185747,1.0108214539898044,1.010821453989804,0.2544161691355393,9.152138866327062,1.2652376231253433,1.1238862895029509,0.5434605513296564,0.2827460510179064,0.0160550141990997,0.215946959215126,0.2288100060150706
s7200_r1_n000_a125,confirmatory,7200,1,0.0,0.125,feedback_only,balanced_permutation_a_k2,balanced_permutation_a,balanced,2,0.3139925081183606,0.25,0.6399250811836067,64,64,16,0.2683087713314424,0.3614522113691627,1.0169530464562695,1.01695304645627,0.2559594449137304,9.207655283695646,1.2729124913700005,1.1238862895029509,0.5434605513296564,0.2840276264850867,0.0157188551536443,0.2170320159614057,0.2299603666194651
