JobID	JobName	Partition	Account	AllocCPUS	ElapsedRaw	TotalCPU	State	ExitCode	Start	End	NodeList
44624492_12.batch	batch		kempner_dev	1	10	00:02.383	COMPLETED	0:0	2026-09-05T12:08:59	2026-09-05T12:09:09	holy7c24504
44624492_12.extern	extern		kempner_dev	1	10	00:00:00	COMPLETED	0:0	2026-09-05T12:08:59	2026-09-05T12:09:09	holy7c24504
44624492_13	tree_select_calib	shared	kempner_dev	1	10	00:02.380	COMPLETED	0:0	2026-09-05T12:08:59	2026-09-05T12:09:09	holy7c24504
44624492_13.batch	batch		kempner_dev	1	10	00:02.380	COMPLETED	0:0	2026-09-05T12:08:59	2026-09-05T12:09:09	holy7c24504
44624492_13.extern	extern		kempner_dev	1	13	00:00:00	COMPLETED	0:0	2026-09-05T12:08:59	2026-09-05T12:09:12	holy7c24504
44624492_14	tree_select_calib	shared	kempner_dev	1	8	00:02.326	COMPLETED	0:0	2026-09-05T12:08:59	2026-09-05T12:09:07	holy7c24403
44624492_14.batch	batch		kempner_dev	1	8	00:02.326	COMPLETED	0:0	2026-09-05T12:08:59	2026-09-05T12:09:07	holy7c24403
44624492_14.extern	extern		kempner_dev	1	10	00:00:00	COMPLETED	0:0	2026-09-05T12:08:59	2026-09-05T12:09:09	holy7c24403
44624492_15	tree_select_calib	shared	kempner_dev	1	11	00:02.417	COMPLETED	0:0	2026-09-05T12:09:04	2026-09-05T12:09:15	holy7c24503
44624492_15.batch	batch		kempner_dev	1	11	00:02.417	COMPLETED	0:0	2026-09-05T12:09:04	2026-09-05T12:09:15	holy7c24503
44624492_15.extern	extern		kempner_dev	1	15	00:00:00	COMPLETED	0:0	2026-09-05T12:09:04	2026-09-05T12:09:19	holy7c24503
44624492_16	tree_select_calib	shared	kempner_dev	1	11	00:02.409	COMPLETED	0:0	2026-09-05T12:09:04	2026-09-05T12:09:15	holy7c24503
44624492_16.batch	batch		kempner_dev	1	11	00:02.409	COMPLETED	0:0	2026-09-05T12:09:04	2026-09-05T12:09:15	holy7c24503
44624492_16.extern	extern		kempner_dev	1	14	00:00:00	COMPLETED	0:0	2026-09-05T12:09:04	2026-09-05T12:09:18	holy7c24503
44624492_17	tree_select_calib	shared	kempner_dev	1	12	00:02.400	COMPLETED	0:0	2026-09-05T12:09:07	2026-09-05T12:09:19	holy7c24402
44624492_17.batch	batch		kempner_dev	1	12	00:02.400	COMPLETED	0:0	2026-09-05T12:09:07	2026-09-05T12:09:19	holy7c24402
44624492_17.extern	extern		kempner_dev	1	12	00:00:00	COMPLETED	0:0	2026-09-05T12:09:07	2026-09-05T12:09:19	holy7c24402
44624492_18	tree_select_calib	shared	kempner_dev	1	20	00:02.541	COMPLETED	0:0	2026-09-05T12:09:07	2026-09-05T12:09:27	holy7c24401
44624492_18.batch	batch		kempner_dev	1	20	00:02.541	COMPLETED	0:0	2026-09-05T12:09:07	2026-09-05T12:09:27	holy7c24401
44624492_18.extern	extern		kempner_dev	1	20	00:00:00	COMPLETED	0:0	2026-09-05T12:09:07	2026-09-05T12:09:27	holy7c24401
44624492_19	tree_select_calib	shared	kempner_dev	1	9	00:02.234	COMPLETED	0:0	2026-09-05T12:09:10	2026-09-05T12:09:19	holy7c24304
44624492_19.batch	batch		kempner_dev	1	9	00:02.234	COMPLETED	0:0	2026-09-05T12:09:10	2026-09-05T12:09:19	holy7c24304
44624492_19.extern	extern		kempner_dev	1	9	00:00:00	COMPLETED	0:0	2026-09-05T12:09:10	2026-09-05T12:09:19	holy7c24304
44624492_20	tree_select_calib	shared	kempner_dev	1	9	00:02.252	COMPLETED	0:0	2026-09-05T12:09:10	2026-09-05T12:09:19	holy7c24304
44624492_20.batch	batch		kempner_dev	1	9	00:02.252	COMPLETED	0:0	2026-09-05T12:09:10	2026-09-05T12:09:19	holy7c24304
44624492_20.extern	extern		kempner_dev	1	9	00:00:00	COMPLETED	0:0	2026-09-05T12:09:10	2026-09-05T12:09:19	holy7c24304
44624492_21	tree_select_calib	shared	kempner_dev	1	9	00:02.246	COMPLETED	0:0	2026-09-05T12:09:10	2026-09-05T12:09:19	holy7c24304
44624492_21.batch	batch		kempner_dev	1	9	00:02.246	COMPLETED	0:0	2026-09-05T12:09:10	2026-09-05T12:09:19	holy7c24304
44624492_21.extern	extern		kempner_dev	1	9	00:00:00	COMPLETED	0:0	2026-09-05T12:09:10	2026-09-05T12:09:19	holy7c24304
44624492_22	tree_select_calib	shared	kempner_dev	1	9	00:02.254	COMPLETED	0:0	2026-09-05T12:09:10	2026-09-05T12:09:19	holy7c24304
44624492_22.batch	batch		kempner_dev	1	9	00:02.254	COMPLETED	0:0	2026-09-05T12:09:10	2026-09-05T12:09:19	holy7c24304
44624492_22.extern	extern		kempner_dev	1	9	00:00:00	COMPLETED	0:0	2026-09-05T12:09:10	2026-09-05T12:09:19	holy7c24304
44624492_23	tree_select_calib	shared	kempner_dev	1	6	00:02.185	COMPLETED	0:0	2026-09-05T12:09:15	2026-09-05T12:09:21	holy7c24304
44624492_23.batch	batch		kempner_dev	1	6	00:02.185	COMPLETED	0:0	2026-09-05T12:09:15	2026-09-05T12:09:21	holy7c24304
44624492_23.extern	extern		kempner_dev	1	6	00:00:00	COMPLETED	0:0	2026-09-05T12:09:15	2026-09-05T12:09:21	holy7c24304
44624492_24	tree_select_calib	shared	kempner_dev	1	8	00:02.327	COMPLETED	0:0	2026-09-05T12:09:16	2026-09-05T12:09:24	holy7c24504
44624492_24.batch	batch		kempner_dev	1	8	00:02.327	COMPLETED	0:0	2026-09-05T12:09:16	2026-09-05T12:09:24	holy7c24504
44624492_24.extern	extern		kempner_dev	1	8	00:00:00	COMPLETED	0:0	2026-09-05T12:09:16	2026-09-05T12:09:24	holy7c24504
44624676_0	tree_select_confirm	shared	kempner_dev	1	16	00:07.906	COMPLETED	0:0	2026-09-05T12:12:13	2026-09-05T12:12:29	holy7c24604
44624676_0.batch	batch		kempner_dev	1	16	00:07.906	COMPLETED	0:0	2026-09-05T12:12:13	2026-09-05T12:12:29	holy7c24604
44624676_0.extern	extern		kempner_dev	1	19	00:00:00	COMPLETED	0:0	2026-09-05T12:12:13	2026-09-05T12:12:32	holy7c24604
44624676_1	tree_select_confirm	shared	kempner_dev	1	19	00:07.985	COMPLETED	0:0	2026-09-05T12:12:13	2026-09-05T12:12:32	holy7c24604
44624676_1.batch	batch		kempner_dev	1	19	00:07.985	COMPLETED	0:0	2026-09-05T12:12:13	2026-09-05T12:12:32	holy7c24604
44624676_1.extern	extern		kempner_dev	1	19	00:00:00	COMPLETED	0:0	2026-09-05T12:12:13	2026-09-05T12:12:32	holy7c24604
44624676_2	tree_select_confirm	shared	kempner_dev	1	19	00:07.976	COMPLETED	0:0	2026-09-05T12:12:13	2026-09-05T12:12:32	holy7c24604
44624676_2.batch	batch		kempner_dev	1	19	00:07.976	COMPLETED	0:0	2026-09-05T12:12:13	2026-09-05T12:12:32	holy7c24604
44624676_2.extern	extern		kempner_dev	1	19	00:00:00	COMPLETED	0:0	2026-09-05T12:12:13	2026-09-05T12:12:32	holy7c24604
44624676_3	tree_select_confirm	shared	kempner_dev	1	16	00:07.871	COMPLETED	0:0	2026-09-05T12:12:13	2026-09-05T12:12:29	holy7c24603
44624676_3.batch	batch		kempner_dev	1	16	00:07.871	COMPLETED	0:0	2026-09-05T12:12:13	2026-09-05T12:12:29	holy7c24603
44624676_3.extern	extern		kempner_dev	1	19	00:00:00	COMPLETED	0:0	2026-09-05T12:12:13	2026-09-05T12:12:32	holy7c24603
44624676_4	tree_select_confirm	shared	kempner_dev	1	16	00:07.840	COMPLETED	0:0	2026-09-05T12:12:13	2026-09-05T12:12:29	holy7c24603
44624676_4.batch	batch		kempner_dev	1	16	00:07.840	COMPLETED	0:0	2026-09-05T12:12:13	2026-09-05T12:12:29	holy7c24603
44624676_4.extern	extern		kempner_dev	1	19	00:00:00	COMPLETED	0:0	2026-09-05T12:12:13	2026-09-05T12:12:32	holy7c24603
44624676_5	tree_select_confirm	shared	kempner_dev	1	19	00:07.975	COMPLETED	0:0	2026-09-05T12:12:13	2026-09-05T12:12:32	holy7c24504
44624676_5.batch	batch		kempner_dev	1	19	00:07.975	COMPLETED	0:0	2026-09-05T12:12:13	2026-09-05T12:12:32	holy7c24504
44624676_5.extern	extern		kempner_dev	1	19	00:00:00	COMPLETED	0:0	2026-09-05T12:12:13	2026-09-05T12:12:32	holy7c24504
44624676_6	tree_select_confirm	shared	kempner_dev	1	19	00:07.814	COMPLETED	0:0	2026-09-05T12:12:13	2026-09-05T12:12:32	holy7c24504
44624676_6.batch	batch		kempner_dev	1	19	00:07.814	COMPLETED	0:0	2026-09-05T12:12:13	2026-09-05T12:12:32	holy7c24504
44624676_6.extern	extern		kempner_dev	1	19	00:00:00	COMPLETED	0:0	2026-09-05T12:12:13	2026-09-05T12:12:32	holy7c24504
44624676_7	tree_select_confirm	shared	kempner_dev	1	16	00:07.896	COMPLETED	0:0	2026-09-05T12:12:13	2026-09-05T12:12:29	holy7c24503
44624676_7.batch	batch		kempner_dev	1	16	00:07.896	COMPLETED	0:0	2026-09-05T12:12:13	2026-09-05T12:12:29	holy7c24503
44624676_7.extern	extern		kempner_dev	1	19	00:00:00	COMPLETED	0:0	2026-09-05T12:12:13	2026-09-05T12:12:32	holy7c24503
44624676_8	tree_select_confirm	shared	kempner_dev	1	16	00:07.909	COMPLETED	0:0	2026-09-05T12:12:13	2026-09-05T12:12:29	holy7c24503
44624676_8.batch	batch		kempner_dev	1	16	00:07.909	COMPLETED	0:0	2026-09-05T12:12:13	2026-09-05T12:12:29	holy7c24503
44624676_8.extern	extern		kempner_dev	1	16	00:00:00	COMPLETED	0:0	2026-09-05T12:12:13	2026-09-05T12:12:29	holy7c24503
44624676_9	tree_select_confirm	shared	kempner_dev	1	15	00:07.942	COMPLETED	0:0	2026-09-05T12:12:24	2026-09-05T12:12:39	holy7c24501
44624676_9.batch	batch		kempner_dev	1	15	00:07.942	COMPLETED	0:0	2026-09-05T12:12:24	2026-09-05T12:12:39	holy7c24501
44624676_9.extern	extern		kempner_dev	1	17	00:00:00	COMPLETED	0:0	2026-09-05T12:12:24	2026-09-05T12:12:41	holy7c24501
44624676_10	tree_select_confirm	shared	kempner_dev	1	16	00:07.919	COMPLETED	0:0	2026-09-05T12:12:24	2026-09-05T12:12:40	holy7c24501
44624676_10.batch	batch		kempner_dev	1	16	00:07.919	COMPLETED	0:0	2026-09-05T12:12:24	2026-09-05T12:12:40	holy7c24501
44624676_10.extern	extern		kempner_dev	1	17	00:00:00	COMPLETED	0:0	2026-09-05T12:12:24	2026-09-05T12:12:41	holy7c24501
44624676_11	tree_select_confirm	shared	kempner_dev	1	16	00:07.764	COMPLETED	0:0	2026-09-05T12:12:24	2026-09-05T12:12:40	holy7c24403
44624676_11.batch	batch		kempner_dev	1	16	00:07.764	COMPLETED	0:0	2026-09-05T12:12:24	2026-09-05T12:12:40	holy7c24403
44624676_11.extern	extern		kempner_dev	1	17	00:00:00	COMPLETED	0:0	2026-09-05T12:12:24	2026-09-05T12:12:41	holy7c24403
44624676_12	tree_select_confirm	shared	kempner_dev	1	12	00:07.816	COMPLETED	0:0	2026-09-05T12:12:29	2026-09-05T12:12:41	holy7c24403
44624676_12.batch	batch		kempner_dev	1	12	00:07.816	COMPLETED	0:0	2026-09-05T12:12:29	2026-09-05T12:12:41	holy7c24403
