task_id,arm,seed,rank,noise_sd,angle_pi,endpoint,spearman_rho
s7200_r1_n000_a125,feedback_only,7200,1,0.0,0.125,exact_expected_calibration_decrease,1.0
s7200_r1_n000_a125,feedback_only,7200,1,0.0,0.125,actual_training_first_step_test_decrease,1.0
s7200_r1_n000_a125,joint_forward_feedback,7200,1,0.0,0.125,exact_expected_calibration_decrease,0.9774436090225563
s7200_r1_n000_a125,joint_forward_feedback,7200,1,0.0,0.125,actual_training_first_step_test_decrease,0.9774436090225563
s7200_r1_n000_a375,feedback_only,7200,1,0.0,0.375,exact_expected_calibration_decrease,1.0
s7200_r1_n000_a375,feedback_only,7200,1,0.0,0.375,actual_training_first_step_test_decrease,1.0
s7200_r1_n000_a375,joint_forward_feedback,7200,1,0.0,0.375,exact_expected_calibration_decrease,0.9984962406015038
s7200_r1_n000_a375,joint_forward_feedback,7200,1,0.0,0.375,actual_training_first_step_test_decrease,0.9984962406015038
s7200_r1_n750_a125,feedback_only,7200,1,0.75,0.125,exact_expected_calibration_decrease,1.0
s7200_r1_n750_a125,feedback_only,7200,1,0.75,0.125,actual_training_first_step_test_decrease,1.0
s7200_r1_n750_a125,joint_forward_feedback,7200,1,0.75,0.125,exact_expected_calibration_decrease,0.9759398496240601
s7200_r1_n750_a125,joint_forward_feedback,7200,1,0.75,0.125,actual_training_first_step_test_decrease,0.9759398496240601
s7200_r1_n750_a375,feedback_only,7200,1,0.75,0.375,exact_expected_calibration_decrease,1.0
s7200_r1_n750_a375,feedback_only,7200,1,0.75,0.375,actual_training_first_step_test_decrease,1.0
s7200_r1_n750_a375,joint_forward_feedback,7200,1,0.75,0.375,exact_expected_calibration_decrease,0.9954887218045112
s7200_r1_n750_a375,joint_forward_feedback,7200,1,0.75,0.375,actual_training_first_step_test_decrease,0.9954887218045112
s7200_r2_n000_a125,feedback_only,7200,2,0.0,0.125,exact_expected_calibration_decrease,0.9984496124031008
s7200_r2_n000_a125,feedback_only,7200,2,0.0,0.125,actual_training_first_step_test_decrease,0.9937984496124034
s7200_r2_n000_a125,joint_forward_feedback,7200,2,0.0,0.125,exact_expected_calibration_decrease,1.0
s7200_r2_n000_a125,joint_forward_feedback,7200,2,0.0,0.125,actual_training_first_step_test_decrease,0.9879699248120299
s7200_r2_n000_a375,feedback_only,7200,2,0.0,0.375,exact_expected_calibration_decrease,1.0
s7200_r2_n000_a375,feedback_only,7200,2,0.0,0.375,actual_training_first_step_test_decrease,1.0
s7200_r2_n000_a375,joint_forward_feedback,7200,2,0.0,0.375,exact_expected_calibration_decrease,0.9984962406015038
s7200_r2_n000_a375,joint_forward_feedback,7200,2,0.0,0.375,actual_training_first_step_test_decrease,1.0
s7200_r2_n750_a125,feedback_only,7200,2,0.75,0.125,exact_expected_calibration_decrease,0.9984496124031008
s7200_r2_n750_a125,feedback_only,7200,2,0.75,0.125,actual_training_first_step_test_decrease,0.9968992248062016
s7200_r2_n750_a125,joint_forward_feedback,7200,2,0.75,0.125,exact_expected_calibration_decrease,0.9954887218045112
s7200_r2_n750_a125,joint_forward_feedback,7200,2,0.75,0.125,actual_training_first_step_test_decrease,0.9864661654135337
s7200_r2_n750_a375,feedback_only,7200,2,0.75,0.375,exact_expected_calibration_decrease,1.0
s7200_r2_n750_a375,feedback_only,7200,2,0.75,0.375,actual_training_first_step_test_decrease,0.9984496124031008
s7200_r2_n750_a375,joint_forward_feedback,7200,2,0.75,0.375,exact_expected_calibration_decrease,0.9969924812030074
s7200_r2_n750_a375,joint_forward_feedback,7200,2,0.75,0.375,actual_training_first_step_test_decrease,0.9969924812030074
s7200_r4_n000_a125,feedback_only,7200,4,0.0,0.125,exact_expected_calibration_decrease,1.0
s7200_r4_n000_a125,feedback_only,7200,4,0.0,0.125,actual_training_first_step_test_decrease,0.992248062015504
s7200_r4_n000_a125,joint_forward_feedback,7200,4,0.0,0.125,exact_expected_calibration_decrease,1.0
s7200_r4_n000_a125,joint_forward_feedback,7200,4,0.0,0.125,actual_training_first_step_test_decrease,0.9624060150375938
s7200_r4_n000_a375,feedback_only,7200,4,0.0,0.375,exact_expected_calibration_decrease,1.0
s7200_r4_n000_a375,feedback_only,7200,4,0.0,0.375,actual_training_first_step_test_decrease,0.9813953488372094
s7200_r4_n000_a375,joint_forward_feedback,7200,4,0.0,0.375,exact_expected_calibration_decrease,0.9984962406015038
s7200_r4_n000_a375,joint_forward_feedback,7200,4,0.0,0.375,actual_training_first_step_test_decrease,0.9669172932330825
s7200_r4_n750_a125,feedback_only,7200,4,0.75,0.125,exact_expected_calibration_decrease,1.0
s7200_r4_n750_a125,feedback_only,7200,4,0.75,0.125,actual_training_first_step_test_decrease,0.992248062015504
s7200_r4_n750_a125,joint_forward_feedback,7200,4,0.75,0.125,exact_expected_calibration_decrease,0.9969924812030074
s7200_r4_n750_a125,joint_forward_feedback,7200,4,0.75,0.125,actual_training_first_step_test_decrease,0.9654135338345864
s7200_r4_n750_a375,feedback_only,7200,4,0.75,0.375,exact_expected_calibration_decrease,0.9984496124031008
s7200_r4_n750_a375,feedback_only,7200,4,0.75,0.375,actual_training_first_step_test_decrease,0.9937984496124034
s7200_r4_n750_a375,joint_forward_feedback,7200,4,0.75,0.375,exact_expected_calibration_decrease,1.0
s7200_r4_n750_a375,joint_forward_feedback,7200,4,0.75,0.375,actual_training_first_step_test_decrease,0.9774436090225563
s7200_r8_n000_a125,feedback_only,7200,8,0.0,0.125,exact_expected_calibration_decrease,1.0
s7200_r8_n000_a125,feedback_only,7200,8,0.0,0.125,actual_training_first_step_test_decrease,0.9844961240310078
s7200_r8_n000_a125,joint_forward_feedback,7200,8,0.0,0.125,exact_expected_calibration_decrease,0.9969924812030074
s7200_r8_n000_a125,joint_forward_feedback,7200,8,0.0,0.125,actual_training_first_step_test_decrease,0.9503759398496241
s7200_r8_n000_a375,feedback_only,7200,8,0.0,0.375,exact_expected_calibration_decrease,1.0
s7200_r8_n000_a375,feedback_only,7200,8,0.0,0.375,actual_training_first_step_test_decrease,0.9813953488372094
