arm,rank,angle_pi,noise_sd,oracle_budget_k,oracle_tree_id,n_tasks
feedback_only,1,0.125,0.0,1,balanced_contiguous,20
feedback_only,1,0.125,0.75,1,balanced_contiguous,20
feedback_only,1,0.375,0.0,1,balanced_contiguous,20
feedback_only,1,0.375,0.75,1,balanced_contiguous,20
feedback_only,2,0.125,0.0,2,balanced_contiguous,20
feedback_only,2,0.125,0.75,2,balanced_contiguous,10
feedback_only,2,0.125,0.75,2,balanced_interleaved,3
feedback_only,2,0.125,0.75,2,balanced_permutation_a,2
feedback_only,2,0.125,0.75,2,balanced_permutation_b,1
feedback_only,2,0.125,0.75,2,comb_contiguous,4
feedback_only,2,0.375,0.0,2,balanced_contiguous,20
feedback_only,2,0.375,0.75,2,balanced_contiguous,18
feedback_only,2,0.375,0.75,2,balanced_permutation_a,1
feedback_only,2,0.375,0.75,2,comb_contiguous,1
feedback_only,4,0.125,0.0,4,balanced_contiguous,20
feedback_only,4,0.125,0.75,4,balanced_contiguous,20
feedback_only,4,0.375,0.0,4,balanced_contiguous,20
feedback_only,4,0.375,0.75,4,balanced_contiguous,20
feedback_only,8,0.125,0.0,8,balanced_contiguous,20
feedback_only,8,0.125,0.75,8,balanced_contiguous,20
feedback_only,8,0.375,0.0,8,balanced_contiguous,20
feedback_only,8,0.375,0.75,8,balanced_contiguous,20
joint_forward_feedback,1,0.125,0.0,1,balanced_contiguous,20
joint_forward_feedback,1,0.125,0.75,1,balanced_contiguous,20
joint_forward_feedback,1,0.375,0.0,1,balanced_contiguous,20
joint_forward_feedback,1,0.375,0.75,1,balanced_contiguous,20
joint_forward_feedback,2,0.125,0.0,2,balanced_contiguous,20
joint_forward_feedback,2,0.125,0.75,2,balanced_contiguous,18
joint_forward_feedback,2,0.125,0.75,2,balanced_interleaved,1
joint_forward_feedback,2,0.125,0.75,2,comb_contiguous,1
joint_forward_feedback,2,0.375,0.0,2,balanced_contiguous,20
joint_forward_feedback,2,0.375,0.75,2,balanced_contiguous,20
joint_forward_feedback,4,0.125,0.0,4,balanced_contiguous,20
joint_forward_feedback,4,0.125,0.75,4,balanced_contiguous,20
joint_forward_feedback,4,0.375,0.0,4,balanced_contiguous,15
joint_forward_feedback,4,0.375,0.0,4,balanced_interleaved,1
joint_forward_feedback,4,0.375,0.0,4,balanced_permutation_a,2
joint_forward_feedback,4,0.375,0.0,4,balanced_permutation_b,1
joint_forward_feedback,4,0.375,0.0,4,comb_contiguous,1
joint_forward_feedback,4,0.375,0.75,4,balanced_contiguous,16
joint_forward_feedback,4,0.375,0.75,4,balanced_interleaved,1
joint_forward_feedback,4,0.375,0.75,4,balanced_permutation_a,2
joint_forward_feedback,4,0.375,0.75,4,balanced_permutation_b,1
joint_forward_feedback,8,0.125,0.0,8,balanced_contiguous,17
joint_forward_feedback,8,0.125,0.0,8,balanced_permutation_b,3
joint_forward_feedback,8,0.125,0.75,8,balanced_contiguous,19
joint_forward_feedback,8,0.125,0.75,8,balanced_permutation_b,1
joint_forward_feedback,8,0.375,0.0,8,balanced_contiguous,18
joint_forward_feedback,8,0.375,0.0,8,balanced_permutation_b,2
joint_forward_feedback,8,0.375,0.75,8,balanced_contiguous,20
