arm,policy,seed,regret,test_loss,penalized_test_loss
feedback_only,development_best,7200,0.04502259227019977,0.14799834105742643,0.23189768831600227
feedback_only,development_best,7201,0.0437070303855841,0.14848773304801482,0.23238708030659064
feedback_only,development_best,7202,0.045668245501604636,0.15017846651975872,0.23407781377833453
feedback_only,development_best,7203,0.04451868272640477,0.1485679421120054,0.23246728937058125
feedback_only,development_best,7204,0.04616737150378547,0.15239487373099322,0.23629422098956904
feedback_only,development_best,7205,0.04436077009054227,0.14971933463455,0.23361868189312585
feedback_only,development_best,7206,0.04632662709079947,0.15579498620373006,0.23969433346230587
feedback_only,development_best,7207,0.04361802698189473,0.14633874658313856,0.23023809384171437
feedback_only,development_best,7208,0.044521518632885546,0.14851429081320433,0.23241363807178014
feedback_only,development_best,7209,0.04530537109467581,0.15061620595815844,0.23451555321673428
feedback_only,development_best,7210,0.04520468736343265,0.14888453878751945,0.23278388604609526
feedback_only,development_best,7211,0.04432971307795205,0.14862591002690367,0.23252525728547951
feedback_only,development_best,7212,0.043382794746093,0.1478750786737045,0.23177442593228031
feedback_only,development_best,7213,0.045295437395790644,0.1503014190523615,0.23420076631093734
feedback_only,development_best,7214,0.0440799530097787,0.14740705615203162,0.23130640341060746
feedback_only,development_best,7215,0.043992431878992634,0.1458248249293055,0.22972417218788133
feedback_only,development_best,7216,0.04529331861352765,0.15138489111695738,0.23528423837553317
feedback_only,development_best,7217,0.045273050897330414,0.15321999028157254,0.23711933754014838
feedback_only,development_best,7218,0.04684885288109505,0.15275725447000513,0.23665660172858097
feedback_only,development_best,7219,0.046054366299124724,0.14915121583173105,0.2330505630903069
feedback_only,maximum_budget,7200,0.04502259227019977,0.14799834105742643,0.23189768831600227
feedback_only,maximum_budget,7201,0.0437070303855841,0.14848773304801482,0.23238708030659064
feedback_only,maximum_budget,7202,0.045668245501604636,0.15017846651975872,0.23407781377833453
feedback_only,maximum_budget,7203,0.04451868272640477,0.1485679421120054,0.23246728937058125
feedback_only,maximum_budget,7204,0.04616737150378547,0.15239487373099322,0.23629422098956904
feedback_only,maximum_budget,7205,0.04436077009054227,0.14971933463455,0.23361868189312585
feedback_only,maximum_budget,7206,0.04632662709079947,0.15579498620373006,0.23969433346230587
feedback_only,maximum_budget,7207,0.04361802698189473,0.14633874658313856,0.23023809384171437
feedback_only,maximum_budget,7208,0.044521518632885546,0.14851429081320433,0.23241363807178014
feedback_only,maximum_budget,7209,0.04530537109467581,0.15061620595815844,0.23451555321673428
feedback_only,maximum_budget,7210,0.04520468736343265,0.14888453878751945,0.23278388604609526
feedback_only,maximum_budget,7211,0.04432971307795205,0.14862591002690367,0.23252525728547951
feedback_only,maximum_budget,7212,0.043382794746093,0.1478750786737045,0.23177442593228031
feedback_only,maximum_budget,7213,0.045295437395790644,0.1503014190523615,0.23420076631093734
feedback_only,maximum_budget,7214,0.0440799530097787,0.14740705615203162,0.23130640341060746
feedback_only,maximum_budget,7215,0.043992431878992634,0.1458248249293055,0.22972417218788133
feedback_only,maximum_budget,7216,0.04529331861352765,0.15138489111695738,0.23528423837553317
feedback_only,maximum_budget,7217,0.045273050897330414,0.15321999028157254,0.23711933754014838
feedback_only,maximum_budget,7218,0.04684885288109505,0.15275725447000513,0.23665660172858097
feedback_only,maximum_budget,7219,0.046054366299124724,0.14915121583173105,0.2330505630903069
feedback_only,moment_selector,7200,0.04890419899771344,0.17893426996993325,0.23577929504351594
feedback_only,moment_selector,7201,0.09758095616793516,0.23684907723768786,0.2862610060889417
feedback_only,moment_selector,7202,0.050734547277527325,0.18024476829568137,0.23914411555425721
feedback_only,moment_selector,7203,0.0859406130905498,0.22436487247615045,0.2738892197347263
feedback_only,moment_selector,7204,0.06616579509573639,0.19722186875151557,0.25629264458151996
feedback_only,moment_selector,7205,0.08866140549268538,0.22626282717955026,0.277919317295269
feedback_only,moment_selector,7206,0.08298210142689467,0.2196324463978241,0.27634980779840107
feedback_only,moment_selector,7207,0.04742508822790132,0.17497437925771658,0.23404515508772097
feedback_only,moment_selector,7208,0.09482810083427737,0.232228015871739,0.28272022027317195
feedback_only,moment_selector,7209,0.09949482024327394,0.23554307351407855,0.2887050023653324
