task_id,arm,oracle_candidate_id,oracle_budget_k,oracle_tree_id,oracle_penalized_loss
s7200_r1_n000_a125,feedback_only,balanced_contiguous_k1,1,balanced_contiguous,0.0138993472585758
s7200_r1_n000_a125,joint_forward_feedback,balanced_contiguous_k1,1,balanced_contiguous,0.0138993472585758
s7200_r1_n000_a375,feedback_only,balanced_contiguous_k1,1,balanced_contiguous,0.0138993472596059
s7200_r1_n000_a375,joint_forward_feedback,balanced_contiguous_k1,1,balanced_contiguous,0.0138997667731702
s7200_r1_n750_a125,feedback_only,balanced_contiguous_k1,1,balanced_contiguous,0.2932933634535026
s7200_r1_n750_a125,joint_forward_feedback,balanced_contiguous_k1,1,balanced_contiguous,0.2869208593544969
s7200_r1_n750_a375,feedback_only,balanced_contiguous_k1,1,balanced_contiguous,0.2836109957466761
s7200_r1_n750_a375,joint_forward_feedback,balanced_contiguous_k1,1,balanced_contiguous,0.282975600255023
s7200_r2_n000_a125,feedback_only,balanced_contiguous_k2,2,balanced_contiguous,0.0238993472585758
s7200_r2_n000_a125,joint_forward_feedback,balanced_contiguous_k2,2,balanced_contiguous,0.0238993472585759
s7200_r2_n000_a375,feedback_only,balanced_contiguous_k2,2,balanced_contiguous,0.0238994678489213
s7200_r2_n000_a375,joint_forward_feedback,balanced_contiguous_k2,2,balanced_contiguous,0.0240475065831891
s7200_r2_n750_a125,feedback_only,balanced_permutation_a_k2,2,balanced_permutation_a,0.3232658117869695
s7200_r2_n750_a125,joint_forward_feedback,balanced_contiguous_k2,2,balanced_contiguous,0.320625343237337
s7200_r2_n750_a375,feedback_only,balanced_contiguous_k2,2,balanced_contiguous,0.3166442516969958
s7200_r2_n750_a375,joint_forward_feedback,balanced_contiguous_k2,2,balanced_contiguous,0.3154833136382882
s7200_r4_n000_a125,feedback_only,balanced_contiguous_k4,4,balanced_contiguous,0.0438993472585773
s7200_r4_n000_a125,joint_forward_feedback,balanced_contiguous_k4,4,balanced_contiguous,0.0438993729510321
s7200_r4_n000_a375,feedback_only,balanced_contiguous_k4,4,balanced_contiguous,0.0441972817383009
s7200_r4_n000_a375,joint_forward_feedback,balanced_permutation_b_k4,4,balanced_permutation_b,0.0465764650089178
s7200_r4_n750_a125,feedback_only,balanced_contiguous_k4,4,balanced_contiguous,0.3493814726603401
s7200_r4_n750_a125,joint_forward_feedback,balanced_contiguous_k4,4,balanced_contiguous,0.342719239176931
s7200_r4_n750_a375,feedback_only,balanced_contiguous_k4,4,balanced_contiguous,0.3422297604367861
s7200_r4_n750_a375,joint_forward_feedback,balanced_permutation_b_k4,4,balanced_permutation_b,0.341091724857838
s7200_r8_n000_a125,feedback_only,balanced_contiguous_k8,8,balanced_contiguous,0.0838993512130555
s7200_r8_n000_a125,joint_forward_feedback,balanced_contiguous_k8,8,balanced_contiguous,0.0847179787347468
s7200_r8_n000_a375,feedback_only,balanced_contiguous_k8,8,balanced_contiguous,0.0838993530279
