task_id,split,seed,rank,noise_sd,angle_pi,arm,candidate_id,tree_id,shape,budget_k,resource_cost,channel_cost,cable_cost,parameter_count,decoder_coefficients,encoder_coefficients,utility_actual_step,utility_optimized_step,gradient_alignment,update_mean_square,minibatch_covariance_trace,single_trial_second_moment,actual_update_second_moment,global_calibration_curvature,initial_calibration_loss,reference_credit_effective_rank,reference_capture,transported_credit_effective_rank,predicted_penalized_loss,policy,utility_to_loss_scale
s7200_r1_n000_a125,confirmatory,7200,1,0.0,0.125,feedback_only,balanced_permutation_b_k4,balanced_permutation_b,balanced,4,0.5634003977894598,0.5,0.6340039778945984,64,64,32,0.3099303121368608,0.4175226778323191,1.1747084284746503,1.1747084284746507,0.2956652898927932,10.635997705044034,1.470373718367444,1.1238862895029509,0.5434605513296564,1,0.991942106220024,1.0,0.005045240227377075,moment_selector,1.8826404519857887
s7200_r1_n000_a125,confirmatory,7200,1,0.0,0.125,feedback_only,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,0.312447984810229,0.4209143610440786,1.1842509972190722,1.1842509972190722,0.2980670827851836,10.722397646344948,1.482318080004256,1.1238862895029509,0.5434605513296564,1,1.0,1.0,0.03913268324305387,development_best,1.8826404519857887
s7200_r1_n000_a125,confirmatory,7200,1,0.0,0.125,feedback_only,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,0.312447984810229,0.4209143610440786,1.1842509972190722,1.1842509972190722,0.2980670827851836,10.722397646344948,1.482318080004256,1.1238862895029509,0.5434605513296564,1,1.0,1.0,0.03913268324305387,maximum_budget,1.8826404519857887
s7200_r1_n000_a125,confirmatory,7200,1,0.0,0.125,feedback_only,balanced_permutation_a_k2,balanced_permutation_a,balanced,2,0.3139925081183606,0.25,0.6399250811836067,64,64,16,0.2683087713314424,0.3614522113691627,1.0169530464562695,1.01695304645627,0.2559594449137304,9.207655283695646,1.2729124913700005,1.1238862895029509,0.5434605513296564,1,0.858731002840055,1.0,0.06345100544794705,rank_only,1.8826404519857887
s7200_r1_n000_a125,confirmatory,7200,1,0.0,0.125,feedback_only,balanced_permutation_b_k4,balanced_permutation_b,balanced,4,0.5634003977894598,0.5,0.6340039778945984,64,64,32,0.3099303121368608,0.4175226778323191,1.1747084284746503,1.1747084284746507,0.2956652898927932,10.635997705044034,1.470373718367444,1.1238862895029509,0.5434605513296564,1,0.991942106220024,1.0,0.005045240227377075,sampled_random,1.8826404519857887
s7200_r1_n000_a375,confirmatory,7200,1,0.0,0.375,feedback_only,balanced_permutation_b_k4,balanced_permutation_b,balanced,4,0.5634003977894598,0.5,0.6340039778945984,64,64,32,0.2543016409497554,0.3384169976242193,0.9697034278207192,0.9697034278207194,0.2664526957618197,9.496189692198952,1.2361561235825391,1.123886289502951,0.5032271496974963,1,0.9530351533244652,1.0,0.06954062526227783,moment_selector,1.8826404519857887
s7200_r1_n000_a375,confirmatory,7200,1,0.0,0.375,feedback_only,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,0.2668334321799955,0.355093929582473,1.017489674371517,1.017489674371517,0.279583281720884,9.964154689439804,1.297072956092401,1.123886289502951,0.5032271496974963,1,1.0,1.0,0.08477508359180609,development_best,1.8826404519857887
s7200_r1_n000_a375,confirmatory,7200,1,0.0,0.375,feedback_only,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,0.2668334321799955,0.355093929582473,1.017489674371517,1.017489674371517,0.279583281720884,9.964154689439804,1.297072956092401,1.123886289502951,0.5032271496974963,1,1.0,1.0,0.08477508359180609,maximum_budget,1.8826404519857887
s7200_r1_n000_a375,confirmatory,7200,1,0.0,0.375,feedback_only,balanced_permutation_a_k2,balanced_permutation_a,balanced,2,0.3139925081183606,0.25,0.6399250811836067,64,64,16,0.0471291734674745,0.0627180907123008,0.1797130403527239,0.1797130403527241,0.0493811021924005,1.7599083105095414,0.2290941425451246,1.123886289502951,0.5032271496974963,1,0.1766239450672844,1.0,0.43961926190844225,rank_only,1.8826404519857887
s7200_r1_n000_a375,confirmatory,7200,1,0.0,0.375,feedback_only,comb_contiguous_k4,comb_contiguous,comb,4,0.6,0.5,1.0,64,64,32,0.1460451303602277,0.1943524797935186,0.5568995268686363,0.5568995268686363,0.1530234667068378,5.453650461487446,0.7099229935754741,1.123886289502951,0.5032271496974963,1,0.5473269566225548,1.0,0.27627667946579376,sampled_random,1.8826404519857887
