somata,streams,task,forward,rule,rate,n,test_nmse,ood_1,ood_2,ood_3,bound_runs,at_training_cap
1,2,mixture,current,broadcast,0.03,3,0.20934399129022105,0.20309634653320666,,,0,0
1,2,mixture,current,exact,0.03,3,0.20701268816445104,0.20098406674222957,,,0,0
1,2,mixture,current,resistance,0.03,3,0.21454918159297123,0.20792632345680803,,,0,0
1,2,mixture,current,swapped,0.03,3,0.20160726793794415,0.19656582255394076,,,0,1
1,2,mixture,current,uniform_rms,0.03,3,0.20670623867242335,0.2008265255124231,,,0,0
1,2,mixture,shunt,broadcast,0.03,3,0.10858589199230041,0.10676409164487903,,,0,0
1,2,mixture,shunt,exact,0.03,3,0.10620515826130801,0.10437153394430433,,,0,0
1,2,mixture,shunt,resistance,0.03,3,0.1064788619953075,0.10464188668504415,,,0,0
1,2,mixture,shunt,swapped,0.03,3,0.1352720194265339,0.13091791224759483,,,0,1
1,2,mixture,shunt,uniform_rms,0.03,3,0.12524335436649772,0.12275787533432884,,,0,0
1,2,mixture,tonic,broadcast,0.03,3,0.20962946303709476,0.2033721202325911,,,0,0
1,2,mixture,tonic,exact,0.03,3,0.20715782627363746,0.20115275029565913,,,0,0
1,2,mixture,tonic,resistance,0.03,3,0.21498325912640637,0.2083043882247729,,,0,0
1,2,mixture,tonic,swapped,0.03,3,0.19101610758759047,0.18542307384447795,,,0,1
1,2,mixture,tonic,uniform_rms,0.03,3,0.20688714912930173,0.2010116046352554,,,0,0
1,2,selection,current,broadcast,0.03,3,0.06287357206407249,0.06235250855107936,0.0937217413206292,0.4306529925457691,2,0
1,2,selection,current,exact,0.03,3,0.0625318021393312,0.061930471307534464,0.08471436459042714,0.36124885283256997,3,0
1,2,selection,current,resistance,0.03,3,0.06290790479384577,0.06247651792637423,0.10094612921119249,0.4658594930154651,3,0
1,2,selection,current,swapped,0.03,3,0.06520250218197125,0.064292758093722,0.10076240081686623,0.4179492746723395,0,1
1,2,selection,current,uniform_rms,0.03,3,0.06279302382788884,0.062270831770600325,0.09134840725766813,0.4140864136131433,2,0
1,2,selection,shunt,broadcast,0.03,3,0.06334310040444022,0.06244079137655126,0.06277200038383424,0.06300184786625922,0,1
1,2,selection,shunt,exact,0.03,3,0.062447303654888354,0.06162293985178414,0.06189085215709073,0.06199302329932412,0,1
1,2,selection,shunt,resistance,0.03,3,0.06246107693719175,0.061744422408070924,0.06199992770059492,0.062091651894603216,0,1
1,2,selection,shunt,swapped,0.03,3,0.10971470332569488,0.10686047852306296,0.11216955417154212,0.12668231015731846,0,1
1,2,selection,shunt,uniform_rms,0.03,3,0.0633480152448117,0.062443976389639444,0.06277534694659569,0.06300122531461731,0,1
1,2,selection,tonic,broadcast,0.03,3,0.06286447415025864,0.062317259025477995,0.09386980426695367,0.43169992643032234,2,0
1,2,selection,tonic,exact,0.03,3,0.06255443014173749,0.06193122159095924,0.08494831034054379,0.36251980890612207,3,0
1,2,selection,tonic,resistance,0.03,3,0.06292633470013838,0.06248873242959647,0.10189718374417979,0.4697575337340642,3,0
1,2,selection,tonic,swapped,0.03,3,0.06490449175645653,0.06397501785248767,0.09980979634421178,0.44002019018759014,0,1
