seed,variant,forward,trained_rule,delivered_rule,block,source_context,recipient_context,n_source,n_recipient,cosine,delivered_norm,exact_norm,dot,defined
2026092200,interaction,shunt,broadcast,exact,terminal,0,0,496,496,1.0000000000000002,0.009262677941346642,0.009262677941346642,8.579720264510968e-05,True
2026092200,interaction,shunt,broadcast,exact,proximal,0,0,496,496,1.0,0.003863942754216008,0.003863942754216008,1.4930053607858391e-05,True
2026092200,interaction,shunt,broadcast,exact,soma,0,0,496,496,1.0,0.002492101087686409,0.002492101087686409,6.210567831247783e-06,True
2026092200,interaction,shunt,broadcast,exact,readout,0,0,496,496,1.0000000000000002,0.014754627884442748,0.014754627884442748,0.0002176990440083755,True
2026092200,interaction,shunt,broadcast,broadcast,terminal,0,0,496,496,0.27374696203983095,0.05496726386872603,0.009262677941346642,0.00013937664035903438,True
2026092200,interaction,shunt,broadcast,broadcast,proximal,0,0,496,496,0.634241734998105,0.007032039105744927,0.003863942754216008,1.723323369019779e-05,True
2026092200,interaction,shunt,broadcast,broadcast,soma,0,0,496,496,1.0,0.002492101087686409,0.002492101087686409,6.210567831247783e-06,True
2026092200,interaction,shunt,broadcast,broadcast,readout,0,0,496,496,1.0000000000000002,0.014754627884442748,0.014754627884442748,0.0002176990440083755,True
2026092200,interaction,shunt,broadcast,resistance,terminal,0,0,496,496,0.5981856163225329,0.02411502377472538,0.009262677941346642,0.00013361654092842432,True
2026092200,interaction,shunt,broadcast,resistance,proximal,0,0,496,496,0.634241734998105,0.007032039105744927,0.003863942754216008,1.723323369019779e-05,True
2026092200,interaction,shunt,broadcast,resistance,soma,0,0,496,496,1.0,0.002492101087686409,0.002492101087686409,6.210567831247783e-06,True
2026092200,interaction,shunt,broadcast,resistance,readout,0,0,496,496,1.0000000000000002,0.014754627884442748,0.014754627884442748,0.0002176990440083755,True
2026092200,interaction,shunt,broadcast,swapped,terminal,0,0,496,496,0.01586008141979001,0.03357529522439983,0.009262677941346642,4.932440064007456e-06,True
2026092200,interaction,shunt,broadcast,swapped,proximal,0,0,496,496,0.634241734998105,0.007032039105744927,0.003863942754216008,1.723323369019779e-05,True
2026092200,interaction,shunt,broadcast,swapped,soma,0,0,496,496,1.0,0.002492101087686409,0.002492101087686409,6.210567831247783e-06,True
2026092200,interaction,shunt,broadcast,swapped,readout,0,0,496,496,1.0000000000000002,0.014754627884442748,0.014754627884442748,0.0002176990440083755,True
2026092200,interaction,shunt,broadcast,uniform_rms,terminal,0,0,496,496,0.2744853948635599,0.027622854174941012,0.009262677941346642,7.023027286726754e-05,True
2026092200,interaction,shunt,broadcast,uniform_rms,proximal,0,0,496,496,0.634241734998105,0.007032039105744927,0.003863942754216008,1.723323369019779e-05,True
2026092200,interaction,shunt,broadcast,uniform_rms,soma,0,0,496,496,1.0,0.002492101087686409,0.002492101087686409,6.210567831247783e-06,True
