noise,step,common_rate,metric,mean,ci_low,ci_high,positive,n
fixed_absolute,1024,False,population_nmse,0.8751268171353532,0.7894312841610629,0.9512305837269645,20,20
fixed_absolute,1024,False,test_nmse,0.8692679072555693,0.7854662195181623,0.9415518667096551,20,20
fixed_absolute,4096,False,population_nmse,0.9363579668358591,0.8749935833671721,0.9867843517340088,20,20
fixed_absolute,4096,False,test_nmse,0.932198924486678,0.8710142381922955,0.9826697754633905,20,20
fixed_absolute,8192,False,population_nmse,0.9460365722042587,0.886974507498059,0.9980939194558867,20,20
fixed_absolute,8192,False,test_nmse,0.944030924064915,0.8847406334945055,0.9964978570420644,20,20
fixed_absolute,16384,False,population_nmse,0.9628066512905518,0.897927936662901,1.0200789907042753,20,20
fixed_absolute,16384,False,test_nmse,0.9590488955045448,0.8978868278665224,1.0151339911047226,20,20
noise_free,1024,False,population_nmse,0.8686266365111102,0.7809802525522893,0.9441482284287076,20,20
noise_free,1024,False,test_nmse,0.8619655733690841,0.7788067986108073,0.9342525942658891,20,20
noise_free,4096,False,population_nmse,0.9407787745861798,0.8747109291961367,0.9886625960045059,20,20
noise_free,4096,False,test_nmse,0.9366042131400562,0.8722135226946999,0.9840242881684265,20,20
noise_free,8192,False,population_nmse,0.9525104451018234,0.894518922495143,0.9971054947187251,20,20
noise_free,8192,False,test_nmse,0.9490949458931948,0.8935231165169715,0.9943043796446681,20,20
noise_free,16384,False,population_nmse,1.0302231331696876,0.934967371662158,1.1198738373351265,20,20
noise_free,16384,False,test_nmse,1.0273709038500083,0.9334293954926823,1.1154340616627936,20,20
relative_matched,1024,False,population_nmse,0.8740159480587375,0.7858763784708439,0.9502206651747365,20,20
relative_matched,1024,False,test_nmse,0.8677398678123966,0.7829031276618237,0.9424917119933564,20,20
relative_matched,4096,False,population_nmse,0.9386546874836382,0.8790079749830036,0.987215975387723,20,20
relative_matched,4096,False,test_nmse,0.934296697563006,0.8732088118689384,0.9821109910629461,20,20
relative_matched,8192,False,population_nmse,0.9437645712285827,0.8836066356351786,0.9945001451522524,20,20
relative_matched,8192,False,test_nmse,0.9404621640707024,0.8798377572794757,0.9904406664637064,20,20
relative_matched,16384,False,population_nmse,1.007216093261483,0.9302431017156504,1.0837900793280446,20,20
relative_matched,16384,False,test_nmse,0.9990718250831374,0.9243229382376822,1.0718742411903326,20,20
fixed_absolute,1024,True,population_nmse,0.9133304756684119,0.8397023993455811,0.9733057244924819,20,20
fixed_absolute,1024,True,test_nmse,0.9090830799301634,0.8358611200757656,0.9670308667557619,20,20
fixed_absolute,4096,True,population_nmse,0.9375225629719084,0.8833099602052574,0.9784133649180088,20,20
fixed_absolute,4096,True,test_nmse,0.9323497146579985,0.878094635303662,0.9730595219142587,20,20
fixed_absolute,8192,True,population_nmse,0.915673535977772,0.860048993567199,0.96201901978748,20,20
fixed_absolute,8192,True,test_nmse,0.9118417912815303,0.8569798662459366,0.9605657619703085,20,20
fixed_absolute,16384,True,population_nmse,0.9108850876191671,0.8462395023914298,0.9645617898064386,20,20
fixed_absolute,16384,True,test_nmse,0.906831435544533,0.8410391500476245,0.9609193747003787,20,20
noise_free,1024,True,population_nmse,0.9131173180922472,0.8376796133302628,0.9729190492136631,20,20
noise_free,1024,True,test_nmse,0.9088112924869313,0.8359098071307038,0.9662253685834465,20,20
noise_free,4096,True,population_nmse,0.94779277568773,0.8916703856528675,0.9849801195574496,20,20
noise_free,4096,True,test_nmse,0.9410549845503763,0.8858069812126403,0.9796339958549409,20,20
noise_free,8192,True,population_nmse,0.9253355559038134,0.8728558965675431,0.9652342153805569,20,20
noise_free,8192,True,test_nmse,0.921071622277496,0.8699842907810706,0.9628263835673244,20,20
noise_free,16384,True,population_nmse,0.916111099760557,0.8393196870569092,0.9708835717540613,20,20
noise_free,16384,True,test_nmse,0.9112087265754252,0.8353065014276169,0.9661140138949383,20,20
relative_matched,1024,True,population_nmse,0.9136011334724147,0.8388964105785978,0.9733914111207507,20,20
relative_matched,1024,True,test_nmse,0.9093655076003382,0.837319631528727,0.9684061166188316,20,20
relative_matched,4096,True,population_nmse,0.9411556251870822,0.8848118295060573,0.9808956644092396,20,20
relative_matched,4096,True,test_nmse,0.9353842741966183,0.880542191351295,0.976202495865029,20,20
relative_matched,8192,True,population_nmse,0.9182202284687457,0.8663028804558528,0.963557903263137,20,20
relative_matched,8192,True,test_nmse,0.9143497541059533,0.8606932454636415,0.9595835575997288,20,20
relative_matched,16384,True,population_nmse,0.9113983881927178,0.8430275901296688,0.9659304341988069,20,20
relative_matched,16384,True,test_nmse,0.9074903349199479,0.838123846382534,0.9628854744167686,20,20
