seed,task,step,noise,rule,rate,selected_rate,common_rate,sigma,variance,noise_floor,clips,bounds,population_nmse,validation_nmse,test_nmse
2026092100,matching,0,fixed_absolute,exact,0.003,True,True,0.15,1.0,0.0225,0,0,0.918027941604824,0.9702182545282908,0.9483907321446652
2026092100,matching,0,fixed_absolute,unit_broadcast,0.003,True,True,0.15,1.0,0.0225,0,0,0.918027941604824,0.9702182545282908,0.9483907321446652
2026092100,matching,0,fixed_absolute,calibrated_broadcast,0.003,False,True,0.15,1.0,0.0225,0,0,0.918027941604824,0.9702182545282908,0.9483907321446652
2026092100,matching,0,fixed_absolute,calibrated_broadcast,0.01,True,False,0.15,1.0,0.0225,0,0,0.918027941604824,0.9702182545282908,0.9483907321446652
2026092100,matching,0,fixed_absolute,sign_broadcast,0.003,False,True,0.15,1.0,0.0225,0,0,0.918027941604824,0.9702182545282908,0.9483907321446652
2026092100,matching,0,fixed_absolute,sign_broadcast,0.01,True,False,0.15,1.0,0.0225,0,0,0.918027941604824,0.9702182545282908,0.9483907321446652
2026092100,matching,0,noise_free,exact,0.003,True,True,0.0,1.0,0.0,0,0,0.918027941604824,0.946230894549309,0.926646582904555
2026092100,matching,0,noise_free,unit_broadcast,0.003,True,True,0.0,1.0,0.0,0,0,0.918027941604824,0.946230894549309,0.926646582904555
2026092100,matching,0,noise_free,calibrated_broadcast,0.003,False,True,0.0,1.0,0.0,0,0,0.918027941604824,0.946230894549309,0.926646582904555
2026092100,matching,0,noise_free,calibrated_broadcast,0.01,True,False,0.0,1.0,0.0,0,0,0.918027941604824,0.946230894549309,0.926646582904555
2026092100,matching,0,noise_free,sign_broadcast,0.003,False,True,0.0,1.0,0.0,0,0,0.918027941604824,0.946230894549309,0.926646582904555
2026092100,matching,0,noise_free,sign_broadcast,0.01,True,False,0.0,1.0,0.0,0,0,0.918027941604824,0.946230894549309,0.926646582904555
2026092100,matching,0,relative_matched,exact,0.003,True,True,0.15,1.0,0.0225,0,0,0.918027941604824,0.9702182545282908,0.9483907321446652
2026092100,matching,0,relative_matched,unit_broadcast,0.003,True,True,0.15,1.0,0.0225,0,0,0.918027941604824,0.9702182545282908,0.9483907321446652
2026092100,matching,0,relative_matched,calibrated_broadcast,0.003,False,True,0.15,1.0,0.0225,0,0,0.918027941604824,0.9702182545282908,0.9483907321446652
2026092100,matching,0,relative_matched,calibrated_broadcast,0.01,True,False,0.15,1.0,0.0225,0,0,0.918027941604824,0.9702182545282908,0.9483907321446652
2026092100,matching,0,relative_matched,sign_broadcast,0.003,False,True,0.15,1.0,0.0225,0,0,0.918027941604824,0.9702182545282908,0.9483907321446652
2026092100,matching,0,relative_matched,sign_broadcast,0.01,True,False,0.15,1.0,0.0225,0,0,0.918027941604824,0.9702182545282908,0.9483907321446652
2026092100,matching,1,fixed_absolute,exact,0.003,True,True,0.15,1.0,0.0225,0,0,0.9128255895539734,0.964931764875364,0.9433597439453874
2026092100,matching,1,fixed_absolute,unit_broadcast,0.003,True,True,0.15,1.0,0.0225,0,0,0.9176334957422896,0.969867395595137,0.9478919644359204
2026092100,matching,1,fixed_absolute,calibrated_broadcast,0.003,False,True,0.15,1.0,0.0225,0,0,0.9130828693817344,0.9653884574121852,0.9437076344739652
2026092100,matching,1,fixed_absolute,calibrated_broadcast,0.01,True,False,0.15,1.0,0.0225,0,0,0.9017823581951978,0.9543407609022042,0.9329913631100032
2026092100,matching,1,fixed_absolute,sign_broadcast,0.003,False,True,0.15,1.0,0.0225,0,0,0.9130828677823392,0.9653884558466234,0.9437076329671108
2026092100,matching,1,fixed_absolute,sign_broadcast,0.01,True,False,0.15,1.0,0.0225,0,0,0.9017823529239756,0.95434075577891,0.9329913581558812
2026092100,matching,1,noise_free,exact,0.003,True,True,0.0,1.0,0.0,0,0,0.9128255895303632,0.9410076552610016,0.9215918830739024
2026092100,matching,1,noise_free,unit_broadcast,0.003,True,True,0.0,1.0,0.0,0,0,0.9176334957223332,0.9458523372594304,0.9261377562376047
2026092100,matching,1,noise_free,calibrated_broadcast,0.003,False,True,0.0,1.0,0.0,0,0,0.9130828695150052,0.9414703859793117,0.921935548152908
2026092100,matching,1,noise_free,calibrated_broadcast,0.01,True,False,0.0,1.0,0.0,0,0,0.9017823586777312,0.9305817370622032,0.911153986451584
2026092100,matching,1,noise_free,sign_broadcast,0.003,False,True,0.0,1.0,0.0,0,0,0.913082867802666,0.9414703842553054,0.9219355464842662
2026092100,matching,1,noise_free,sign_broadcast,0.01,True,False,0.0,1.0,0.0,0,0,0.9017823529968494,0.9305817313624004,0.9111539809190224
2026092100,matching,1,relative_matched,exact,0.003,True,True,0.15,1.0,0.0225,0,0,0.9128255895539734,0.964931764875364,0.9433597439453874
2026092100,matching,1,relative_matched,unit_broadcast,0.003,True,True,0.15,1.0,0.0225,0,0,0.9176334957422896,0.969867395595137,0.9478919644359204
2026092100,matching,1,relative_matched,calibrated_broadcast,0.003,False,True,0.15,1.0,0.0225,0,0,0.9130828693817344,0.9653884574121852,0.9437076344739652
2026092100,matching,1,relative_matched,calibrated_broadcast,0.01,True,False,0.15,1.0,0.0225,0,0,0.9017823581951978,0.9543407609022042,0.9329913631100032
2026092100,matching,1,relative_matched,sign_broadcast,0.003,False,True,0.15,1.0,0.0225,0,0,0.9130828677823392,0.9653884558466234,0.9437076329671108
2026092100,matching,1,relative_matched,sign_broadcast,0.01,True,False,0.15,1.0,0.0225,0,0,0.9017823529239756,0.95434075577891,0.9329913581558812
2026092100,matching,16,fixed_absolute,exact,0.003,True,True,0.15,1.0,0.0225,0,0,0.8441994213908195,0.8928294230546313,0.8771064425186905
2026092100,matching,16,fixed_absolute,unit_broadcast,0.003,True,True,0.15,1.0,0.0225,0,0,0.8965805044590628,0.9482440508522288,0.9273907692865436
2026092100,matching,16,fixed_absolute,calibrated_broadcast,0.003,False,True,0.15,1.0,0.0225,0,0,0.8591229689234694,0.9090578547714696,0.8927583166919257
2026092100,matching,16,fixed_absolute,calibrated_broadcast,0.01,True,False,0.15,1.0,0.0225,0,0,0.7245889564662216,0.7663421291481438,0.7650017166741463
2026092100,matching,16,fixed_absolute,sign_broadcast,0.003,False,True,0.15,1.0,0.0225,0,0,0.8591229631996261,0.9090578493051348,0.8927583114910964
2026092100,matching,16,fixed_absolute,sign_broadcast,0.01,True,False,0.15,1.0,0.0225,0,0,0.7245889343336007,0.7663421065435341,0.7650016959418184
2026092100,matching,16,noise_free,exact,0.003,True,True,0.0,1.0,0.0,0,0,0.8445516460360882,0.8702810008797793,0.8552629840524125
2026092100,matching,16,noise_free,unit_broadcast,0.003,True,True,0.0,1.0,0.0,0,0,0.8972791536664655,0.9251592826987078,0.9059594386984566
2026092100,matching,16,noise_free,calibrated_broadcast,0.003,False,True,0.0,1.0,0.0,0,0,0.8587501870629408,0.8858380945942907,0.8701905343860992
2026092100,matching,16,noise_free,calibrated_broadcast,0.01,True,False,0.0,1.0,0.0,0,0,0.7242324493141434,0.7454039956336977,0.7416784132460663
2026092100,matching,16,noise_free,sign_broadcast,0.003,False,True,0.0,1.0,0.0,0,0,0.8587501805268389,0.885838088321173,0.8701905283026592
2026092100,matching,16,noise_free,sign_broadcast,0.01,True,False,0.0,1.0,0.0,0,0,0.7242324259104532,0.7454039709419777,0.7416783912578464
2026092100,matching,16,relative_matched,exact,0.003,True,True,0.15,1.0,0.0225,0,0,0.8441994213908195,0.8928294230546313,0.8771064425186905
2026092100,matching,16,relative_matched,unit_broadcast,0.003,True,True,0.15,1.0,0.0225,0,0,0.8965805044590628,0.9482440508522288,0.9273907692865436
