seed,variant,forward,rule,rate,test_nmse,validation_nmse,selected_step,bound_steps,clip_steps,ood_1.0,ood_1.5,ood_2.0,ood_2.5,ood_3.0
2026092200,interaction,shunt,broadcast,0.1,0.05868721645466651,0.058069809100762274,1792,605,0,0.058559557702042186,0.05983575937834286,0.06089774687351522,0.06188781694426927,0.06310733548588528
2026092201,interaction,shunt,broadcast,0.1,0.0321876379619491,0.03292797842444189,4096,1114,0,0.0315301504640595,0.032610835395290146,0.033780466868152635,0.034708797654937534,0.035385701383474265
2026092202,interaction,shunt,broadcast,0.1,0.04823694840444897,0.04914122027468849,2432,886,0,0.049032976525823065,0.04924548604415248,0.049585673759931205,0.05016595637199125,0.05111600436838825
2026092203,interaction,shunt,broadcast,0.1,0.04993932934589308,0.04702908267732115,3584,394,0,0.049635786876436175,0.050124793221293235,0.05174838913711041,0.05311230732508949,0.05414506454824099
2026092204,interaction,shunt,broadcast,0.1,0.057598898112971426,0.05134727090982643,2432,1630,0,0.05481632556896347,0.05661210709704593,0.05862563978452937,0.06050576606791643,0.06212873591526932
2026092205,interaction,shunt,broadcast,0.1,0.0448362844761951,0.03867858056530113,2688,819,0,0.040832377845278545,0.04161918450421844,0.043217806053568356,0.04565117099468579,0.04875102166580164
2026092206,interaction,shunt,broadcast,0.1,0.03557060279926773,0.03794993252025566,3968,128,0,0.03705539623095833,0.037139609165955205,0.037277547837150725,0.03747772723540543,0.03771891613957394
2026092207,interaction,shunt,broadcast,0.1,0.05255063586308804,0.05170976067171787,2176,65,0,0.05337863697277145,0.053811028101315175,0.05444215396999813,0.055131584699526164,0.05577800800609152
2026092208,interaction,shunt,broadcast,0.1,0.02596959902952015,0.02589895220382727,2944,36,0,0.02575194150412127,0.026183074937468596,0.02672159369420862,0.027309379948899065,0.0279582938920144
2026092209,interaction,shunt,broadcast,0.1,0.04427562587984144,0.042867336849254735,3456,1116,0,0.04305045277430692,0.04412751470800358,0.0449629233883905,0.045630324748700477,0.04629812668862818
2026092210,interaction,shunt,broadcast,0.1,0.05440056485446636,0.052932169471198706,2816,0,0,0.05623563442305929,0.056794541832198696,0.057443871498363025,0.058185866519425505,0.05902642893023285
2026092211,interaction,shunt,broadcast,0.1,0.05590910642753896,0.05477400217228301,896,1671,0,0.05580528583904097,0.05610730058232947,0.05675130070857071,0.057765511642780355,0.059094595770871734
2026092212,interaction,shunt,broadcast,0.1,0.05121297885976616,0.051354822449748205,2688,785,0,0.05265049564952582,0.05342596784347776,0.05435378192007801,0.055572623121095094,0.05718693837737909
2026092213,interaction,shunt,broadcast,0.1,0.04511209111293295,0.0490621785924432,3840,1321,0,0.04873468730468133,0.05008902590588048,0.05143574831141226,0.05256670173764981,0.0534718576795615
2026092214,interaction,shunt,broadcast,0.1,0.0536259829560321,0.05043944070740381,2688,1760,0,0.05454858598092861,0.05717144123131429,0.06169248413294031,0.06779640566567881,0.07544938218067705
2026092215,interaction,shunt,broadcast,0.1,0.04869191687367753,0.04814416344277968,1024,1438,0,0.04749533711103664,0.04796629950304132,0.04859243144925876,0.04939421712620138,0.05053724080442701
