task,rule,mean,ci_low,ci_high,n,trajectories_hitting_bounds,rate
graded_teacher,exact,1.736406537257933e-05,1.3728480832329449e-05,2.1082237817060674e-05,20,0,0.03
graded_teacher,unit_broadcast,0.002439987893278037,0.001494467761559897,0.0036413425692263315,20,13,0.1
graded_teacher,proportional_gate,1.1441912111533738e-05,8.9447760014659e-06,1.3990924289755976e-05,20,0,0.1
graded_teacher,resistance_gate,1.9633918945183294e-05,1.5645398732246334e-05,2.3800420944417208e-05,20,0,0.03
graded_teacher,swapped_gate,0.09473025724824209,0.07301043120122891,0.11866966591794571,20,11,0.03
sensory_selection,exact,4.4877062808043025e-05,4.1555023450901775e-05,4.824364155674404e-05,20,3,0.1
sensory_selection,unit_broadcast,0.0001948042565822572,0.00017765135263067802,0.00021160907156678735,20,20,0.1
sensory_selection,proportional_gate,3.8826077843655035e-05,3.560763590491227e-05,4.2094920098924785e-05,20,4,0.1
sensory_selection,resistance_gate,3.7405127049728084e-05,3.332974604063319e-05,4.184971303330207e-05,20,5,0.1
sensory_selection,swapped_gate,0.733496922944019,0.6809914232688763,0.7823016889493578,20,14,0.03
graded_sensory_mixture,exact,0.0978343864537597,0.0963641547694119,0.09947233118241135,20,19,0.03
graded_sensory_mixture,unit_broadcast,0.10562025101155954,0.10361209437836837,0.10775349279745494,20,0,0.1
graded_sensory_mixture,proportional_gate,0.12321258049924029,0.12004211160439511,0.1266227560214245,20,20,0.1
graded_sensory_mixture,resistance_gate,0.09786134543812833,0.0963894355443326,0.09950183966797051,20,0,0.03
graded_sensory_mixture,swapped_gate,0.2951148405779901,0.2878511517663512,0.3027582005066645,20,20,0.1
