seed,rule,optimizer,bound,rate,selected_step,test_nmse,validation_nmse,endpoint_validation_nmse,bounds,clips,first_bound_step,selected_bound_fraction,ood_1.0,ood_2.0,ood_3.0
2026100200,exact,adam,9,0.03,2944,6.96269681954128e-05,6.719904704475213e-05,0.001578914453162717,0,0,,0.0,6.863089762557924e-05,0.0007879588706803627,0.0028178544445283562
2026100200,broadcast,adam,9,0.1,3840,0.05219831769521921,0.04788633477647195,0.04987848155299486,1657,0,2207.0,0.00859375,0.054632492514872254,0.055407409550717636,0.05580145827099292
2026100200,resistance,adam,9,0.01,3200,0.0493914921819231,0.04669694729499547,0.04881631478427951,0,0,,0.0,0.051072381302423316,0.05394463194234051,0.05912936613662522
2026100200,derivative,adam,9,0.03,3968,5.500050018569224e-05,5.5493048787309e-05,0.00040044611233878063,0,0,,0.0,5.6819528059665004e-05,0.0004308851306083537,0.0016395584186787028
2026100200,shuffled_derivative,adam,9,0.1,1408,0.04405616272101077,0.039181973907101326,0.05481522972745751,3162,0,867.0,0.00078125,0.04592472464329249,0.04586762977586992,0.04613799217923889
2026100200,full_chain,adam,9,0.03,2944,6.96269681954206e-05,6.719904704475873e-05,0.0015789144531240089,0,0,,0.0,6.86308976255882e-05,0.0007879588706803796,0.002817854444528381
2026100200,exact,sgd,9,0.1,4096,0.1858353306552185,0.17972798907843227,0.17972798907843227,0,0,,0.0,0.18949933077018433,0.24334524735135032,0.26733058072107546
2026100200,broadcast,sgd,9,0.1,4096,0.10652343617418936,0.10152408577534125,0.10152408577534125,0,0,,0.0,0.1091077425910181,0.13197412660603428,0.14756822074892403
2026100200,resistance,sgd,9,0.1,4096,0.07845978383888128,0.0759149769976549,0.0759149769976549,0,0,,0.0,0.08175969688434148,0.09370507435698182,0.09872880276833425
2026100200,derivative,sgd,9,0.1,4096,0.07725857928847273,0.07445846320959591,0.07445846320959591,0,0,,0.0,0.08047398933321016,0.09274393707579441,0.0979313554888437
2026100200,shuffled_derivative,sgd,9,0.1,4096,0.07857890464302367,0.07592967279112726,0.07592967279112726,0,0,,0.0,0.0818670852875984,0.09407645222475872,0.09923954358364624
2026100200,full_chain,sgd,9,0.1,4096,0.1858353306552186,0.17972798907843235,0.17972798907843235,0,0,,0.0,0.18949933077018438,0.24334524735135038,0.26733058072107546
2026100200,exact,adam,12,0.03,2944,6.96269681954128e-05,6.719904704475213e-05,0.001578914453162717,0,0,,0.0,6.863089762557924e-05,0.0007879588706803627,0.0028178544445283562
2026100200,resistance,adam,12,0.01,3200,0.0493914921819231,0.04669694729499547,0.04881631478427951,0,0,,0.0,0.051072381302423316,0.05394463194234051,0.05912936613662522
2026100200,derivative,adam,12,0.03,3968,5.500050018569224e-05,5.5493048787309e-05,0.00040044611233878063,0,0,,0.0,5.6819528059665004e-05,0.0004308851306083537,0.0016395584186787028
2026100200,shuffled_derivative,adam,12,0.1,1408,0.04405611796326976,0.03918193816200033,0.05511292755276459,1545,0,2239.0,0.0,0.04592465451659156,0.045867731519611744,0.046138009064450834
2026100201,exact,adam,9,0.03,2560,5.6898506404020425e-05,5.501981358826111e-05,0.00017051625078060047,0,0,,0.0,5.5957725251091936e-05,0.0006519323822064359,0.0017894239344704286
2026100201,broadcast,adam,9,0.1,1664,0.056511338229128016,0.060332252411051675,0.06303516294028715,1122,0,2573.0,0.0,0.056368174811930405,0.05825122552721071,0.05991854559752933
2026100201,resistance,adam,9,0.01,2688,0.04911059046057787,0.052250072153507125,0.05424134370657527,0,0,,0.0,0.04871573652571823,0.05022304471368935,0.052806061413370284
2026100201,derivative,adam,9,0.03,3712,3.7046720188405e-05,3.749572508825024e-05,0.00023721741905392645,0,0,,0.0,3.495279107840025e-05,0.0003213006506517954,0.0010196330717514167
2026100201,shuffled_derivative,adam,9,0.1,1024,0.04769945550737681,0.050784161391404695,0.06313314675414851,2745,0,1033.0,0.0,0.046562286691956147,0.04653560040187889,0.04652962737608846
2026100201,full_chain,adam,9,0.03,2560,5.689850640402425e-05,5.5019813588264924e-05,0.00017051625078326623,0,0,,0.0,5.595772525109602e-05,0.000651932382206434,0.001789423934470427
