variant,forward,metric,left,right,primary,positive,signflip_p,mean,ci_low,ci_high,n,holm_p
interaction,shunt,test_nmse,broadcast,resistance,False,10,,-0.0039687231343915556,-0.007943937781132372,-0.00040074880752953557,20,
interaction,shunt,test_nmse,uniform_rms,resistance,False,10,,-0.002163259491869057,-0.005722085144836232,0.0008457069284121737,20,
interaction,shunt,test_nmse,swapped,resistance,False,18,,0.005266790181031652,0.002704009029838942,0.0076514741482025285,20,
interaction,shunt,test_nmse,exact,resistance,False,0,,-0.051040532629892846,-0.05159092137890768,-0.05047393229038799,20,
interaction,shunt,ood_3.0,broadcast,resistance,False,8,,-0.003232848419557899,-0.007661633395783977,0.0011606854607026265,20,
interaction,shunt,ood_3.0,uniform_rms,resistance,False,11,,-0.0002490654174198166,-0.004591216644444291,0.003907272250465576,20,
interaction,shunt,ood_3.0,swapped,resistance,False,20,,0.0738175729982458,0.0429084310948426,0.11113501160384012,20,
interaction,shunt,ood_3.0,exact,resistance,False,0,,-0.05270574050261724,-0.053804623723203944,-0.051619446666470205,20,
separable,current,test_nmse,broadcast,resistance,False,19,,0.00016452477339322472,0.00011178943906165167,0.00022487243312992107,20,
separable,current,test_nmse,uniform_rms,resistance,False,19,,0.0001402332672503942,9.791067526366211e-05,0.00018387556086937824,20,
separable,current,test_nmse,swapped,resistance,False,20,,0.0004394285050477851,0.0002977061056036792,0.0006008216910951945,20,
separable,current,test_nmse,exact,resistance,False,16,,0.00018409674218612253,9.861107105493729e-05,0.0002864999318991302,20,
separable,current,ood_3.0,broadcast,resistance,False,20,,0.28948224316746124,0.24236544698107554,0.3395142255815666,20,
separable,current,ood_3.0,uniform_rms,resistance,False,20,,0.2451833677857263,0.2036344681411292,0.2909605979642118,20,
separable,current,ood_3.0,swapped,resistance,False,20,,0.3639475040279177,0.2725774894388125,0.4521794434329609,20,
separable,current,ood_3.0,exact,resistance,False,16,,0.08066618587630868,0.034048412326421515,0.12384190699876091,20,
separable,shunt,test_nmse,broadcast,resistance,False,19,,6.257395742800878e-05,4.4978058516953045e-05,8.003027242472582e-05,20,
separable,shunt,test_nmse,uniform_rms,resistance,False,17,,5.9877485509695946e-05,4.184374909461608e-05,7.75475300000701e-05,20,
separable,shunt,test_nmse,swapped,resistance,False,20,,0.0008994245335258152,0.0007510628588979764,0.001050381277394529,20,
separable,shunt,test_nmse,exact,resistance,False,10,,1.3350522009250427e-06,-1.8063222401488715e-05,2.152453419862972e-05,20,
separable,shunt,ood_3.0,broadcast,resistance,True,20,1.9073486328125e-06,0.010384732549047843,0.008643279502207722,0.01243711421173831,20,3.814697265625e-06
separable,shunt,ood_3.0,uniform_rms,resistance,True,20,1.9073486328125e-06,0.009594926095287488,0.008163798985225287,0.01120455173563776,20,3.814697265625e-06
separable,shunt,ood_3.0,swapped,resistance,False,20,,0.06004514603283945,0.037482765740746236,0.08763494584972947,20,
separable,shunt,ood_3.0,exact,resistance,False,10,,-2.152742035567123e-06,-2.7121858173159346e-05,2.35364097463498e-05,20,
separable,tonic,test_nmse,broadcast,resistance,False,17,,0.00018238584098378039,0.00010507193727624544,0.0002718679465513335,20,
separable,tonic,test_nmse,uniform_rms,resistance,False,17,,0.00014991132797699072,9.178484171795632e-05,0.00021122962702284492,20,
separable,tonic,test_nmse,swapped,resistance,False,20,,0.0002154777426035294,0.00017333561508060902,0.00025995454388138184,20,
separable,tonic,test_nmse,exact,resistance,False,19,,0.00020237039193005306,0.0001139345882794841,0.00031676559945193665,20,
separable,tonic,ood_3.0,broadcast,resistance,False,19,,0.2150078546870247,0.1715391678652629,0.2576216206062771,20,
separable,tonic,ood_3.0,uniform_rms,resistance,False,19,,0.17469348221297032,0.12501804731423422,0.22468570410910768,20,
separable,tonic,ood_3.0,swapped,resistance,False,20,,0.6488528095158317,0.5988216781531478,0.6942685346826167,20,
separable,tonic,ood_3.0,exact,resistance,False,12,,0.0014998732796230097,-0.036243719341219685,0.039840838916907616,20,
