seed,task,rule,rate,selected_step,validation_nmse,test_nmse,bound_steps,clipped_steps,fixed_development_rate
2026091800,graded_teacher,exact,0.01,4032,5.182690733675962e-05,5.474873540942352e-05,0,0,False
2026091800,graded_teacher,unit_broadcast,0.01,512,0.019620689880915983,0.018125991477260493,0,0,False
2026091800,graded_teacher,proportional_gate,0.01,4032,4.5267449808859876e-05,4.6871465526551e-05,0,0,False
2026091800,graded_teacher,resistance_gate,0.01,4032,6.0636732053485586e-05,6.404736764788262e-05,0,0,False
2026091800,graded_teacher,swapped_gate,0.01,320,0.13312629682456859,0.11808998388113527,0,0,False
2026091800,graded_teacher,exact,0.03,3392,1.636618646792411e-05,1.7636379685591028e-05,0,0,True
2026091800,graded_teacher,unit_broadcast,0.03,192,0.010963678422076188,0.01016742940173533,0,0,False
2026091800,graded_teacher,proportional_gate,0.03,3520,2.0919033173808048e-05,2.105697860694403e-05,0,0,False
2026091800,graded_teacher,resistance_gate,0.03,3520,1.9741150653327974e-05,1.9939057333082858e-05,0,0,True
2026091800,graded_teacher,swapped_gate,0.03,64,0.12571910879429682,0.10739240361391421,0,0,True
2026091800,graded_teacher,exact,0.1,3584,1.9334590381297382e-05,2.0593080458155408e-05,0,3,False
2026091800,graded_teacher,unit_broadcast,0.1,192,0.0030445592514439443,0.0028741763863097645,496,5,True
2026091800,graded_teacher,proportional_gate,0.1,2368,1.2825095782863237e-05,1.3450056396968489e-05,0,3,True
2026091800,graded_teacher,resistance_gate,0.1,3968,9.354912872504826e-06,8.807000005948643e-06,0,3,False
2026091800,graded_teacher,swapped_gate,0.1,64,0.05061529549064482,0.04467067048746546,1759,116,False
2026091800,sensory_selection,exact,0.01,3840,0.0003092580037075332,0.0003210152101592749,0,0,False
2026091800,sensory_selection,unit_broadcast,0.01,4096,0.0007996637261756117,0.0008349389264549114,0,0,False
2026091800,sensory_selection,proportional_gate,0.01,3840,0.0002999607805799675,0.0003100196577738416,0,0,False
2026091800,sensory_selection,resistance_gate,0.01,3840,0.0003109257105375822,0.00032206866053250056,0,0,False
2026091800,sensory_selection,swapped_gate,0.01,2496,0.6309364382196745,0.6285790924736346,0,0,False
2026091800,sensory_selection,exact,0.03,4032,9.512942424915336e-05,0.00010047768713580451,0,0,False
2026091800,sensory_selection,unit_broadcast,0.03,4032,0.00043699112047509487,0.0004644509634799539,311,0,False
2026091800,sensory_selection,proportional_gate,0.03,4032,9.065387662483537e-05,9.443293844044693e-05,0,0,False
2026091800,sensory_selection,resistance_gate,0.03,4032,9.207702946982211e-05,9.58829455453805e-05,0,0,False
2026091800,sensory_selection,swapped_gate,0.03,1536,0.63227364537741,0.6294424412435992,0,0,True
2026091800,sensory_selection,exact,0.1,3072,4.979497649633326e-05,5.182199779596803e-05,0,0,True
2026091800,sensory_selection,unit_broadcast,0.1,4032,0.00017869033035754388,0.00017712807429412744,1769,0,True
2026091800,sensory_selection,proportional_gate,0.1,3648,3.8215739019593824e-05,4.136040820514867e-05,0,0,True
2026091800,sensory_selection,resistance_gate,0.1,3648,3.1499167691132455e-05,3.3170094859681304e-05,0,0,True
2026091800,sensory_selection,swapped_gate,0.1,1856,0.5625093557322669,0.5617272218645895,1048,0,False
2026091800,graded_sensory_mixture,exact,0.01,3712,0.09674465369132779,0.09497220056908337,0,0,False
2026091800,graded_sensory_mixture,unit_broadcast,0.01,576,0.11231779908020066,0.10940572736454111,0,0,False
2026091800,graded_sensory_mixture,proportional_gate,0.01,2432,0.1184187774731765,0.12055201899088429,0,0,False
2026091800,graded_sensory_mixture,resistance_gate,0.01,3712,0.09695884788777587,0.09515649065536538,0,0,False
2026091800,graded_sensory_mixture,swapped_gate,0.01,3584,0.30462068155059546,0.3048109507930227,0,0,False
2026091800,graded_sensory_mixture,exact,0.03,3136,0.09656639239797356,0.09478829711268452,844,0,True
2026091800,graded_sensory_mixture,unit_broadcast,0.03,192,0.10931030149216839,0.10624917052315658,0,0,False
2026091800,graded_sensory_mixture,proportional_gate,0.03,1152,0.11525378861563637,0.11754179874577407,0,0,False
2026091800,graded_sensory_mixture,resistance_gate,0.03,3136,0.09660826826157122,0.09482625708930109,0,0,True
2026091800,graded_sensory_mixture,swapped_gate,0.03,2752,0.2914527472151635,0.28898128838512344,388,0,False
2026091800,graded_sensory_mixture,exact,0.1,704,0.09652516265334027,0.09551514537757691,2571,0,False
2026091800,graded_sensory_mixture,unit_broadcast,0.1,128,0.10639904157244537,0.10123726476973166,0,0,True
2026091800,graded_sensory_mixture,proportional_gate,0.1,1728,0.11509450902384347,0.11732757003468025,2167,0,True
2026091800,graded_sensory_mixture,resistance_gate,0.1,704,0.09661068416010062,0.09551234132474523,0,0,False
2026091800,graded_sensory_mixture,swapped_gate,0.1,2752,0.2845507140982691,0.2778536625591549,2484,0,True
2026091801,graded_teacher,exact,0.01,3712,4.496718996105692e-06,4.934276925270144e-06,0,0,False
2026091801,graded_teacher,unit_broadcast,0.01,320,0.015964273628821985,0.01531941343568392,0,0,False
2026091801,graded_teacher,proportional_gate,0.01,3968,4.2730223620751e-06,4.294092404989404e-06,0,0,False
2026091801,graded_teacher,resistance_gate,0.01,4096,4.592410141425049e-06,5.1239486591453235e-06,0,0,False
2026091801,graded_teacher,swapped_gate,0.01,192,0.05891758155249467,0.060677609171381694,0,0,False
2026091801,graded_teacher,exact,0.03,3776,2.3733868622945934e-06,2.458536936367075e-06,0,0,True
2026091801,graded_teacher,unit_broadcast,0.03,128,0.007484965754256799,0.007298441667420121,618,0,False
2026091801,graded_teacher,proportional_gate,0.03,3136,1.26546013100625e-06,1.4394936947884936e-06,0,0,False
2026091801,graded_teacher,resistance_gate,0.03,3328,2.063196493487225e-06,2.363889520016166e-06,0,0,True
2026091801,graded_teacher,swapped_gate,0.03,2048,0.05408144110010739,0.048867373250565053,320,10,True
2026091801,graded_teacher,exact,0.1,4096,3.718882959458309e-06,4.013747775771501e-06,0,6,False
2026091801,graded_teacher,unit_broadcast,0.1,2112,5.7414276867724815e-05,5.8239202004388974e-05,0,8,True
2026091801,graded_teacher,proportional_gate,0.1,2880,3.227603936237389e-06,3.2525718804158505e-06,0,6,True
2026091801,graded_teacher,resistance_gate,0.1,3136,4.125971888914115e-06,4.426659554437525e-06,0,6,False
2026091801,graded_teacher,swapped_gate,0.1,2496,0.01530399996062549,0.016231952154967554,69,14,False
2026091801,sensory_selection,exact,0.01,3904,0.00016090262638653575,0.00016750066344461902,0,0,False
2026091801,sensory_selection,unit_broadcast,0.01,4096,0.00044179602379781116,0.00047855274839279466,0,0,False
2026091801,sensory_selection,proportional_gate,0.01,4096,0.00018017430635774553,0.0001961077291883663,0,0,False
2026091801,sensory_selection,resistance_gate,0.01,4096,0.00018168880671144775,0.00019771721382420176,0,0,False
