variant,forward,trained_rule,delivered_rule,block,relation,mean,ci_low,ci_high,n
interaction,shunt,broadcast,broadcast,proximal,cross,0.00035018840581952266,-0.022252684808612935,0.025027374293123874,20
interaction,shunt,broadcast,broadcast,proximal,within,0.6876099037738406,0.6536448431252168,0.7215997382247488,20
interaction,shunt,broadcast,broadcast,readout,cross,0.06955259408688765,-0.08167732214697163,0.23977449690931268,20
interaction,shunt,broadcast,broadcast,readout,within,1.0,1.0,1.0,20
interaction,shunt,broadcast,broadcast,soma,cross,-0.0039112032018392305,-0.07127098953800408,0.06323610076582185,20
interaction,shunt,broadcast,broadcast,soma,within,1.0,1.0,1.0,20
interaction,shunt,broadcast,broadcast,terminal,cross,0.013801661668184511,-0.006931339693921867,0.0365243619709301,20
interaction,shunt,broadcast,broadcast,terminal,within,0.32867240956352517,0.31041606992426773,0.34755361535212664,20
interaction,shunt,broadcast,exact,proximal,cross,0.004754208549213973,-0.033154877312101615,0.04687889131151544,20
interaction,shunt,broadcast,exact,proximal,within,1.0,1.0,1.0,20
interaction,shunt,broadcast,exact,readout,cross,0.06955259408688765,-0.08161668378760333,0.2464454299310811,20
interaction,shunt,broadcast,exact,readout,within,1.0,1.0,1.0,20
interaction,shunt,broadcast,exact,soma,cross,-0.0039112032018392305,-0.07087130345236639,0.06309991626810421,20
interaction,shunt,broadcast,exact,soma,within,1.0,1.0,1.0,20
interaction,shunt,broadcast,exact,terminal,cross,0.0026394879082794857,-0.00024634652653136375,0.005754790338767235,20
interaction,shunt,broadcast,exact,terminal,within,1.0,1.0,1.0,20
interaction,shunt,broadcast,resistance,proximal,cross,0.00035018840581952266,-0.02254308352211646,0.025870607039713795,20
interaction,shunt,broadcast,resistance,proximal,within,0.6876099037738406,0.6549434662733807,0.7210469506898316,20
interaction,shunt,broadcast,resistance,readout,cross,0.06955259408688765,-0.08309907667683608,0.23417472968265615,20
interaction,shunt,broadcast,resistance,readout,within,1.0,1.0,1.0,20
interaction,shunt,broadcast,resistance,soma,cross,-0.0039112032018392305,-0.06920426523661469,0.061092020042845176,20
interaction,shunt,broadcast,resistance,soma,within,1.0,1.0,1.0,20
interaction,shunt,broadcast,resistance,terminal,cross,0.001552066273565251,-0.00025138609333681097,0.0034992568526898454,20
interaction,shunt,broadcast,resistance,terminal,within,0.5208510469005602,0.49232265427368527,0.55072428035645,20
interaction,shunt,broadcast,swapped,proximal,cross,0.00035018840581952266,-0.022274281878795692,0.025385906690190335,20
interaction,shunt,broadcast,swapped,proximal,within,0.6876099037738406,0.6543995998182466,0.7215429000024708,20
interaction,shunt,broadcast,swapped,readout,cross,0.06955259408688765,-0.08176443727567385,0.24061662332954908,20
interaction,shunt,broadcast,swapped,readout,within,1.0,1.0,1.0,20
interaction,shunt,broadcast,swapped,soma,cross,-0.0039112032018392305,-0.07159395986925855,0.06282221724726961,20
interaction,shunt,broadcast,swapped,soma,within,1.0,1.0,1.0,20
interaction,shunt,broadcast,swapped,terminal,cross,0.008676383690954652,-0.007109813224912461,0.02639569962803865,20
