panel,record,branches,conflict_probability,condition,n_seeds,mean_test_accuracy,ci95_low_test_accuracy,ci95_high_test_accuracy,mean_initial_signed_utility,ci95_low_initial_signed_utility,ci95_high_initial_signed_utility,predicted_boundary,trained_mean_curve_chance_crossing,first_at_or_below_chance_accuracy_dose,mean_context_switch_forgetting,ci95_low_context_switch_forgetting,ci95_high_context_switch_forgetting,contrast,mean_difference,ci95_low,ci95_high,positive_pairs,ties,wilcoxon_p_two_sided
C,measured initial signed utility,2.0,0.0,neuron_shared_k1,20.0,,,,0.9955064058,0.9934071199,0.99727174,1.0,,,,,,,,,,,,
C,measured initial signed utility,2.0,0.25,neuron_shared_k1,20.0,,,,0.7462348163,0.7432538253,0.7492740057,0.75,,,,,,,,,,,,
C,measured initial signed utility,2.0,0.5,neuron_shared_k1,20.0,,,,0.5003253818,0.4965739599,0.5042753774,0.5,,,,,,,,,,,,
C,measured initial signed utility,2.0,0.5714285714,neuron_shared_k1,20.0,,,,0.4288491204,0.4246047193,0.4331462226,0.42857142859999997,,,,,,,,,,,,
C,measured initial signed utility,2.0,0.6,neuron_shared_k1,20.0,,,,0.4005492911,0.3964038378,0.4048408966,0.4,,,,,,,,,,,,
C,measured initial signed utility,2.0,0.6666666667,neuron_shared_k1,20.0,,,,0.3343137994,0.3297353305,0.338968805,0.33333333330000003,,,,,,,,,,,,
C,measured initial signed utility,2.0,0.75,neuron_shared_k1,20.0,,,,0.2503013752,0.2455933016,0.2553435527,0.25,,,,,,,,,,,,
C,measured initial signed utility,2.0,1.0,neuron_shared_k1,20.0,,,,-0.001060837902,-0.006782060388,0.004453249609,0.0,,,,,,,,,,,,
C,measured initial signed utility,4.0,0.0,neuron_shared_k1,20.0,,,,0.990075025,0.9873437776,0.9925058947,1.0,,,,,,,,,,,,
C,measured initial signed utility,4.0,0.25,neuron_shared_k1,20.0,,,,0.6206575155,0.6170359688,0.6243593688,0.625,,,,,,,,,,,,
C,measured initial signed utility,4.0,0.5,neuron_shared_k1,20.0,,,,0.2520234607,0.2470126518,0.2566177198,0.25,,,,,,,,,,,,
C,measured initial signed utility,4.0,0.5714285714,neuron_shared_k1,20.0,,,,0.1463196352,0.1412170567,0.1508334706,0.14285714289999996,,,,,,,,,,,,
C,measured initial signed utility,4.0,0.6,neuron_shared_k1,20.0,,,,0.1031454861,0.09810746468,0.1077610151,0.10000000000000009,,,,,,,,,,,,
C,measured initial signed utility,4.0,0.6666666667,neuron_shared_k1,20.0,,,,0.003246244209,-0.001858868646,0.00782758554,-5.000000413701855e-11,,,,,,,,,,,,
C,measured initial signed utility,4.0,0.75,neuron_shared_k1,20.0,,,,-0.1198349606,-0.1249619938,-0.1149593842,-0.125,,,,,,,,,,,,
C,measured initial signed utility,4.0,1.0,neuron_shared_k1,20.0,,,,-0.4889140099,-0.4945911648,-0.4833069693,-0.5,,,,,,,,,,,,
C,measured initial signed utility,8.0,0.0,neuron_shared_k1,20.0,,,,0.9849287599,0.9821828993,0.9871390969,1.0,,,,,,,,,,,,
C,measured initial signed utility,8.0,0.25,neuron_shared_k1,20.0,,,,0.5539894193,0.5511804833,0.5568645841,0.5625,,,,,,,,,,,,
C,measured initial signed utility,8.0,0.5,neuron_shared_k1,20.0,,,,0.1250724804,0.1207562122,0.1290899002,0.125,,,,,,,,,,,,
C,measured initial signed utility,8.0,0.5714285714,neuron_shared_k1,20.0,,,,0.002402060826,-0.002252415127,0.006878749896,5.000000413701855e-11,,,,,,,,,,,,
C,measured initial signed utility,8.0,0.6,neuron_shared_k1,20.0,,,,-0.04655365944,-0.05181822091,-0.04154070309,-0.050000000000000044,,,,,,,,,,,,
C,measured initial signed utility,8.0,0.6666666667,neuron_shared_k1,20.0,,,,-0.160665831,-0.1660402502,-0.1555641848,-0.16666666672499986,,,,,,,,,,,,
C,measured initial signed utility,8.0,0.75,neuron_shared_k1,20.0,,,,-0.3038801477,-0.3099114836,-0.2982471926,-0.3125,,,,,,,,,,,,
C,measured initial signed utility,8.0,1.0,neuron_shared_k1,20.0,,,,-0.7324737817,-0.7397036295,-0.7250620225,-0.75,,,,,,,,,,,,
D,analytic and trained crossing,2.0,,,20.0,,,,,,,1.0,0.9643919261,,,,,,,,,,,
D,analytic and trained crossing,4.0,,,20.0,,,,,,,0.6666666667,0.6682972661,,,,,,,,,,,
D,analytic and trained crossing,8.0,,,20.0,,,,,,,0.5714285714,0.5733555299,,,,,,,,,,,
D,seed 11000 crossing,2.0,,,,,,,,,,,,1.0,,,,,,,,,,
D,seed 11001 crossing,2.0,,,,,,,,,,,,1.0,,,,,,,,,,
D,seed 11002 crossing,2.0,,,,,,,,,,,,1.0,,,,,,,,,,
D,seed 11003 crossing,2.0,,,,,,,,,,,,1.0,,,,,,,,,,
D,seed 11004 crossing,2.0,,,,,,,,,,,,1.0,,,,,,,,,,
D,seed 11005 crossing,2.0,,,,,,,,,,,,,,,,,,,,,,
D,seed 11006 crossing,2.0,,,,,,,,,,,,,,,,,,,,,,
D,seed 11007 crossing,2.0,,,,,,,,,,,,1.0,,,,,,,,,,
D,seed 11008 crossing,2.0,,,,,,,,,,,,1.0,,,,,,,,,,
D,seed 11009 crossing,2.0,,,,,,,,,,,,1.0,,,,,,,,,,
D,seed 11010 crossing,2.0,,,,,,,,,,,,,,,,,,,,,,
D,seed 11011 crossing,2.0,,,,,,,,,,,,1.0,,,,,,,,,,
D,seed 11012 crossing,2.0,,,,,,,,,,,,,,,,,,,,,,
D,seed 11013 crossing,2.0,,,,,,,,,,,,,,,,,,,,,,
D,seed 11014 crossing,2.0,,,,,,,,,,,,1.0,,,,,,,,,,
D,seed 11015 crossing,2.0,,,,,,,,,,,,1.0,,,,,,,,,,
D,seed 11016 crossing,2.0,,,,,,,,,,,,1.0,,,,,,,,,,
D,seed 11017 crossing,2.0,,,,,,,,,,,,1.0,,,,,,,,,,
D,seed 11018 crossing,2.0,,,,,,,,,,,,1.0,,,,,,,,,,
D,seed 11019 crossing,2.0,,,,,,,,,,,,1.0,,,,,,,,,,
D,seed 11000 crossing,4.0,,,,,,,,,,,,0.75,,,,,,,,,,
D,seed 11001 crossing,4.0,,,,,,,,,,,,0.6666666667,,,,,,,,,,
D,seed 11002 crossing,4.0,,,,,,,,,,,,0.75,,,,,,,,,,
D,seed 11003 crossing,4.0,,,,,,,,,,,,0.6666666667,,,,,,,,,,
D,seed 11004 crossing,4.0,,,,,,,,,,,,0.75,,,,,,,,,,
D,seed 11005 crossing,4.0,,,,,,,,,,,,0.6666666667,,,,,,,,,,
D,seed 11006 crossing,4.0,,,,,,,,,,,,0.75,,,,,,,,,,
D,seed 11007 crossing,4.0,,,,,,,,,,,,0.6666666667,,,,,,,,,,
D,seed 11008 crossing,4.0,,,,,,,,,,,,0.75,,,,,,,,,,
D,seed 11009 crossing,4.0,,,,,,,,,,,,0.75,,,,,,,,,,
D,seed 11010 crossing,4.0,,,,,,,,,,,,0.6666666667,,,,,,,,,,
D,seed 11011 crossing,4.0,,,,,,,,,,,,0.75,,,,,,,,,,
D,seed 11012 crossing,4.0,,,,,,,,,,,,0.6666666667,,,,,,,,,,
D,seed 11013 crossing,4.0,,,,,,,,,,,,0.6666666667,,,,,,,,,,
D,seed 11014 crossing,4.0,,,,,,,,,,,,0.6666666667,,,,,,,,,,
D,seed 11015 crossing,4.0,,,,,,,,,,,,0.75,,,,,,,,,,
D,seed 11016 crossing,4.0,,,,,,,,,,,,0.75,,,,,,,,,,
D,seed 11017 crossing,4.0,,,,,,,,,,,,0.6666666667,,,,,,,,,,
D,seed 11018 crossing,4.0,,,,,,,,,,,,0.75,,,,,,,,,,
D,seed 11019 crossing,4.0,,,,,,,,,,,,0.6666666667,,,,,,,,,,
D,seed 11000 crossing,8.0,,,,,,,,,,,,0.6,,,,,,,,,,
D,seed 11001 crossing,8.0,,,,,,,,,,,,0.5714285714,,,,,,,,,,
D,seed 11002 crossing,8.0,,,,,,,,,,,,0.6,,,,,,,,,,
D,seed 11003 crossing,8.0,,,,,,,,,,,,0.6,,,,,,,,,,
D,seed 11004 crossing,8.0,,,,,,,,,,,,0.5714285714,,,,,,,,,,
D,seed 11005 crossing,8.0,,,,,,,,,,,,0.5714285714,,,,,,,,,,
D,seed 11006 crossing,8.0,,,,,,,,,,,,0.6,,,,,,,,,,
D,seed 11007 crossing,8.0,,,,,,,,,,,,0.5714285714,,,,,,,,,,
D,seed 11008 crossing,8.0,,,,,,,,,,,,0.5714285714,,,,,,,,,,
D,seed 11009 crossing,8.0,,,,,,,,,,,,0.5714285714,,,,,,,,,,
D,seed 11010 crossing,8.0,,,,,,,,,,,,0.6,,,,,,,,,,
D,seed 11011 crossing,8.0,,,,,,,,,,,,0.5714285714,,,,,,,,,,
D,seed 11012 crossing,8.0,,,,,,,,,,,,0.6,,,,,,,,,,
D,seed 11013 crossing,8.0,,,,,,,,,,,,0.6,,,,,,,,,,
D,seed 11014 crossing,8.0,,,,,,,,,,,,0.6,,,,,,,,,,
D,seed 11015 crossing,8.0,,,,,,,,,,,,0.6,,,,,,,,,,
D,seed 11016 crossing,8.0,,,,,,,,,,,,0.6,,,,,,,,,,
D,seed 11017 crossing,8.0,,,,,,,,,,,,0.6,,,,,,,,,,
D,seed 11018 crossing,8.0,,,,,,,,,,,,0.6,,,,,,,,,,
D,seed 11019 crossing,8.0,,,,,,,,,,,,0.6,,,,,,,,,,
E,context-switch forgetting,,,neuron_shared_k1,10.0,,,,,,,,,,0.556640625,0.5383789062,0.5762695313,,,,,,,
E,context-switch forgetting,,,depth_shared_k1,10.0,,,,,,,,,,0.556640625,0.5383789062,0.5764648437,,,,,,,
E,context-switch forgetting,,,correct_subtree_k2,10.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,
E,context-switch forgetting,,,within_neuron_deranged_k2,10.0,,,,,,,,,,0.0005859375,-0.00107421875,0.00244140625,,,,,,,
E,context-switch forgetting,,,random_dense_rank2,10.0,,,,,,,,,,-0.0013671875,-0.00302734375,0.0001953125,,,,,,,
E,context-switch forgetting,,,exact_transport,10.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,
E,context-switch forgetting,,,backpropagation,10.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,
E,context-switch forgetting,,,gated_point_emulation,10.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,
E,paired contrast,,,,10.0,,,,,,,,,,,,,correct - deranged,-0.0005859375,-0.00234375,0.001171875,4.0,0.0,0.771484375
E,paired contrast,,,,10.0,,,,,,,,,,,,,correct - neuron shared,-0.556640625,-0.5766601562,-0.5383789062,0.0,0.0,0.001953125
E,paired contrast,,,,10.0,,,,,,,,,,,,,correct - depth shared,-0.556640625,-0.5767602539,-0.53828125,0.0,0.0,0.001953125
E,paired contrast,,,,10.0,,,,,,,,,,,,,correct - random rank-2,0.0013671875,-0.0001953125,0.00302734375,5.0,1.0,0.1953125
E,paired contrast,,,,10.0,,,,,,,,,,,,,correct - gated point,0.0,0.0,0.0,0.0,10.0,1.0
E,paired contrast,,,,10.0,,,,,,,,,,,,,exact - backpropagation,0.0,0.0,0.0,0.0,10.0,1.0
F,held-out accuracy,2.0,0.0,correct_path,20.0,0.79990004,0.7957500457,0.8045500398,,,,,,,,,,,,,,,,
F,held-out accuracy,2.0,0.25,correct_path,20.0,0.79990004,0.7957000375,0.8046000361,,,,,,,,,,,,,,,,
F,held-out accuracy,2.0,0.5,correct_path,20.0,0.79990004,0.7957250386,0.8046250403,,,,,,,,,,,,,,,,
F,held-out accuracy,2.0,0.5714285714,correct_path,20.0,0.79990004,0.7957250476,0.804575035,,,,,,,,,,,,,,,,
F,held-out accuracy,2.0,0.6,correct_path,20.0,0.79990004,0.7956994098,0.804575038,,,,,,,,,,,,,,,,
F,held-out accuracy,2.0,0.6666666667,correct_path,20.0,0.79990004,0.7956750423,0.8046250373,,,,,,,,,,,,,,,,
F,held-out accuracy,2.0,0.75,correct_path,20.0,0.79990004,0.7956500381,0.8047000408,,,,,,,,,,,,,,,,
F,held-out accuracy,2.0,1.0,correct_path,20.0,0.79990004,0.7957000434,0.804575035,,,,,,,,,,,,,,,,
F,held-out accuracy,2.0,0.0,neuron_shared_k1,20.0,0.7990750372,0.7947000325,0.803875041,,,,,,,,,,,,,,,,
F,held-out accuracy,2.0,0.25,neuron_shared_k1,20.0,0.7994000375,0.7950000375,0.8041500301,,,,,,,,,,,,,,,,
F,held-out accuracy,2.0,0.5,neuron_shared_k1,20.0,0.7977250367,0.7931500315,0.8029000372,,,,,,,,,,,,,,,,
F,held-out accuracy,2.0,0.5714285714,neuron_shared_k1,20.0,0.7974250346,0.7933000355,0.8021756609,,,,,,,,,,,,,,,,
F,held-out accuracy,2.0,0.6,neuron_shared_k1,20.0,0.7971500367,0.7925750345,0.8024000347,,,,,,,,,,,,,,,,
F,held-out accuracy,2.0,0.6666666667,neuron_shared_k1,20.0,0.797200045,0.7927250385,0.8023750484,,,,,,,,,,,,,,,,
F,held-out accuracy,2.0,0.75,neuron_shared_k1,20.0,0.795625034,0.7910250276,0.8007000358,,,,,,,,,,,,,,,,
