panel,task,feedback,record,seed,difference,mean_difference,ci95_low,ci95_high,n_seeds
D,mnist,backprop,paired seed difference,42.0,0.005299985408782959,,,,
D,mnist,backprop,paired seed difference,43.0,0.006399989128113015,,,,
D,mnist,backprop,paired seed difference,44.0,0.00634998083114624,,,,
D,mnist,backprop,paired seed difference,45.0,0.00609996914863592,,,,
D,mnist,backprop,paired seed difference,46.0,0.005799978971481212,,,,
D,mnist,backprop,paired seed difference,47.0,0.00475001335144043,,,,
D,mnist,backprop,paired seed difference,48.0,0.006549984216690008,,,,
D,mnist,backprop,paired seed difference,49.0,0.0066500008106231134,,,,
D,mnist,backprop,paired seed difference,50.0,0.006599992513656561,,,,
D,mnist,backprop,paired seed difference,51.0,0.0038999915122985285,,,,
D,mnist,backprop,summary,,,0.0058399885892867,0.0052499920129775,0.0063249827176332,10.0
D,mnist,per_soma,paired seed difference,42.0,0.015149980783462469,,,,
D,mnist,per_soma,paired seed difference,43.0,0.005950003862380926,,,,
D,mnist,per_soma,paired seed difference,44.0,0.011799991130828857,,,,
D,mnist,per_soma,paired seed difference,45.0,0.0068499743938446045,,,,
D,mnist,per_soma,paired seed difference,46.0,0.014250010251998957,,,,
D,mnist,per_soma,paired seed difference,47.0,0.015600025653839111,,,,
D,mnist,per_soma,paired seed difference,48.0,0.023799985647201594,,,,
D,mnist,per_soma,paired seed difference,49.0,0.014200001955032293,,,,
D,mnist,per_soma,paired seed difference,50.0,0.022900015115737915,,,,
D,mnist,per_soma,paired seed difference,51.0,0.011200010776519942,,,,
D,mnist,per_soma,summary,,,0.0141699999570846,0.010885000154376,0.0177799972146749,10.0
D,mnist,per_soma_shared,paired seed difference,42.0,0.005499988794326838,,,,
D,mnist,per_soma_shared,paired seed difference,43.0,0.005999982357025091,,,,
D,mnist,per_soma_shared,paired seed difference,44.0,0.005399972200393621,,,,
D,mnist,per_soma_shared,paired seed difference,45.0,0.00784999132156372,,,,
D,mnist,per_soma_shared,paired seed difference,46.0,0.0058499872684478205,,,,
D,mnist,per_soma_shared,paired seed difference,47.0,0.004350006580352783,,,,
D,mnist,per_soma_shared,paired seed difference,48.0,0.004399985074996948,,,,
D,mnist,per_soma_shared,paired seed difference,49.0,0.005850017070770264,,,,
D,mnist,per_soma_shared,paired seed difference,50.0,0.0033999979496002752,,,,
D,mnist,per_soma_shared,paired seed difference,51.0,0.00464999675750738,,,,
D,mnist,per_soma_shared,summary,,,0.0053249925374984,0.0046350031346082,0.0060749888420104,10.0
D,mnist,path_transport,paired seed difference,42.0,0.0052500069141388495,,,,
D,mnist,path_transport,paired seed difference,43.0,0.006399989128113015,,,,
D,mnist,path_transport,paired seed difference,44.0,0.00634998083114624,,,,
D,mnist,path_transport,paired seed difference,45.0,0.00609996914863592,,,,
D,mnist,path_transport,paired seed difference,46.0,0.0056999921798706055,,,,
D,mnist,path_transport,paired seed difference,47.0,0.00475001335144043,,,,
D,mnist,path_transport,paired seed difference,48.0,0.006549984216690008,,,,
D,mnist,path_transport,paired seed difference,49.0,0.0066500008106231134,,,,
D,mnist,path_transport,paired seed difference,50.0,0.006599992513656561,,,,
D,mnist,path_transport,paired seed difference,51.0,0.0038000047206876997,,,,
D,mnist,path_transport,summary,,,0.0058149933815002,0.0052149981260299,0.0063199907541274,10.0
