optimizer,bound,rule,metric,bound_runs,mean,ci_low,ci_high,n
adam,9,broadcast,test_nmse,20,0.0494899697622322,0.04608322079131058,0.05271181006012556,20
adam,9,broadcast,ood_1.0,20,0.0493924130752099,0.04580198565995137,0.05280060666473331,20
adam,9,broadcast,ood_2.0,20,0.05081990230638411,0.046832899420365365,0.054542854202854145,20
adam,9,broadcast,ood_3.0,20,0.05327324503263399,0.04851673667678873,0.058277292706023304,20
adam,9,derivative,test_nmse,0,6.019669474275975e-05,5.0265426417143024e-05,7.045617809654447e-05,20
adam,9,derivative,ood_1.0,0,6.06688383734331e-05,5.038952138976774e-05,7.132996589490295e-05,20
adam,9,derivative,ood_2.0,0,0.0005381362907404009,0.00041101054129101875,0.0006871055172132525,20
adam,9,derivative,ood_3.0,0,0.0016876498031898088,0.0013129058526426052,0.002101492681941172,20
adam,9,exact,test_nmse,0,4.492906471948563e-05,3.885931069939309e-05,5.14051051711184e-05,20
adam,9,exact,ood_1.0,0,4.4440357372260766e-05,3.832014670357084e-05,5.084275448303869e-05,20
adam,9,exact,ood_2.0,0,0.0006357605322609767,0.0005481557974242953,0.0007252446936780335,20
adam,9,exact,ood_3.0,0,0.002619932818906941,0.0021549862777702528,0.003122502038260214,20
adam,9,full_chain,test_nmse,0,4.492906472019032e-05,3.888669083194011e-05,5.1347986958568564e-05,20
adam,9,full_chain,ood_1.0,0,4.444035737296129e-05,3.825633507841863e-05,5.080289710042916e-05,20
adam,9,full_chain,ood_2.0,0,0.000635760532263149,0.0005487606305281958,0.0007253355467156409,20
adam,9,full_chain,ood_3.0,0,0.0026199328189125013,0.002167374233675958,0.0031247135152249364,20
adam,9,resistance,test_nmse,0,0.05039451961707599,0.049991309570711163,0.05080695593910273,20
adam,9,resistance,ood_1.0,0,0.05024375832213408,0.04972394347359038,0.050815636760658305,20
adam,9,resistance,ood_2.0,0,0.052221480860986304,0.051620239607156955,0.052862112077565596,20
adam,9,resistance,ood_3.0,0,0.055218924882832775,0.05434637863242203,0.05605988127707642,20
adam,9,shuffled_derivative,test_nmse,20,0.043585364159386256,0.04182268750173213,0.04531729254603319,20
adam,9,shuffled_derivative,ood_1.0,20,0.043282352069047354,0.04153139429933803,0.04502907239106907,20
adam,9,shuffled_derivative,ood_2.0,20,0.04374651117981691,0.04216126618374983,0.04541932705408779,20
adam,9,shuffled_derivative,ood_3.0,20,0.044881964076693134,0.04337855114975878,0.0464564412702745,20
adam,12,derivative,test_nmse,0,6.019669474275975e-05,5.031808808297103e-05,7.070718838815796e-05,20
adam,12,derivative,ood_1.0,0,6.06688383734331e-05,5.047034437355102e-05,7.142304410265353e-05,20
adam,12,derivative,ood_2.0,0,0.0005381362907404009,0.0004103162426162398,0.0006838136409200635,20
adam,12,derivative,ood_3.0,0,0.0016876498031898088,0.0013136381674792343,0.002108515648803615,20
adam,12,exact,test_nmse,0,4.492906471948563e-05,3.881252678048774e-05,5.129974811730833e-05,20
adam,12,exact,ood_1.0,0,4.4440357372260766e-05,3.844223718280031e-05,5.0859061899227804e-05,20
adam,12,exact,ood_2.0,0,0.0006357605322609767,0.000548304022954707,0.0007241131094647552,20
adam,12,exact,ood_3.0,0,0.002619932818906941,0.0021470709620315742,0.0031387018333987353,20
adam,12,resistance,test_nmse,0,0.05039451961707599,0.04999895175244412,0.05081064362685548,20
adam,12,resistance,ood_1.0,0,0.05024375832213408,0.049718798911123095,0.05081776595747513,20
adam,12,resistance,ood_2.0,0,0.052221480860986304,0.05163443747891741,0.05283364369735751,20
adam,12,resistance,ood_3.0,0,0.055218924882832775,0.05435808021054801,0.05605149337766444,20
adam,12,shuffled_derivative,test_nmse,19,0.043602463128148396,0.041857568674288165,0.04533144461784651,20
adam,12,shuffled_derivative,ood_1.0,19,0.04329667008609113,0.04153609873156522,0.04505341539798997,20
adam,12,shuffled_derivative,ood_2.0,19,0.04372579479565812,0.04211222968549892,0.045432997074513974,20
adam,12,shuffled_derivative,ood_3.0,19,0.044806725101570424,0.04328335103628157,0.046429329011246745,20
sgd,9,broadcast,test_nmse,0,0.1030973830926295,0.10059766022251228,0.10566442986250736,20
sgd,9,broadcast,ood_1.0,0,0.10247992145702031,0.1001497076004677,0.10477502831954762,20
sgd,9,broadcast,ood_2.0,0,0.12023594458331932,0.11754591231305767,0.12291802621028,20
sgd,9,broadcast,ood_3.0,0,0.13306139430002975,0.12991720038079949,0.13631153256010187,20
sgd,9,derivative,test_nmse,0,0.07550071470818558,0.07450171718252971,0.0763842210135601,20
sgd,9,derivative,ood_1.0,0,0.07533549951859361,0.07439477687811578,0.07631499747544077,20
sgd,9,derivative,ood_2.0,0,0.08547888176305095,0.08412194664064926,0.08689686531099522,20
sgd,9,derivative,ood_3.0,0,0.08978675962114493,0.08825115874106057,0.09135629604308092,20
sgd,9,exact,test_nmse,0,0.1503482946107783,0.1441833154204955,0.1570209648256779,20
sgd,9,exact,ood_1.0,0,0.15051983650386133,0.1439529893410431,0.15750401624593036,20
sgd,9,exact,ood_2.0,0,0.19278073340373184,0.18409604317984254,0.2024499745902427,20
sgd,9,exact,ood_3.0,0,0.2114769775960287,0.20161743465978593,0.22240295900368656,20
sgd,9,full_chain,test_nmse,0,0.15034829461077834,0.14406855584390318,0.1571673471308086,20
sgd,9,full_chain,ood_1.0,0,0.1505198365038613,0.14396888497570418,0.15747667161084886,20
sgd,9,full_chain,ood_2.0,0,0.19278073340373186,0.18375646943847085,0.20260040005058974,20
sgd,9,full_chain,ood_3.0,0,0.2114769775960287,0.20165745279369995,0.22211801988803287,20
sgd,9,resistance,test_nmse,0,0.07667857541310838,0.0757480830009806,0.07754553935330281,20
sgd,9,resistance,ood_1.0,0,0.07651976985636552,0.07559489039044696,0.07750959411755448,20
sgd,9,resistance,ood_2.0,0,0.08642320425802798,0.0850971474479858,0.08777230709025906,20
