variant,forward,trained_rule,delivered_rule,block,relation,seed,cosine,defined
interaction,shunt,broadcast,broadcast,proximal,within,2026092206,0.7307296337790491,4
interaction,shunt,broadcast,broadcast,proximal,within,2026092207,0.5923594139048941,4
interaction,shunt,broadcast,broadcast,proximal,within,2026092208,0.7723085473142338,4
interaction,shunt,broadcast,broadcast,proximal,within,2026092209,0.7355356084373843,4
interaction,shunt,broadcast,broadcast,proximal,within,2026092210,0.7115759311019016,4
interaction,shunt,broadcast,broadcast,proximal,within,2026092211,0.6358544468272008,4
interaction,shunt,broadcast,broadcast,proximal,within,2026092212,0.6507088314436371,4
interaction,shunt,broadcast,broadcast,proximal,within,2026092213,0.7203388261288091,4
interaction,shunt,broadcast,broadcast,proximal,within,2026092214,0.7401445186823978,4
interaction,shunt,broadcast,broadcast,proximal,within,2026092215,0.6694750595121219,4
interaction,shunt,broadcast,broadcast,proximal,within,2026092216,0.8185933904335345,4
interaction,shunt,broadcast,broadcast,proximal,within,2026092217,0.5777597665408559,4
interaction,shunt,broadcast,broadcast,proximal,within,2026092218,0.7369310079765882,4
interaction,shunt,broadcast,broadcast,proximal,within,2026092219,0.8447796688758403,4
interaction,shunt,broadcast,broadcast,readout,cross,2026092200,0.829919432309025,12
interaction,shunt,broadcast,broadcast,readout,cross,2026092201,-0.1137151911827924,12
interaction,shunt,broadcast,broadcast,readout,cross,2026092202,-0.06362763247539482,12
interaction,shunt,broadcast,broadcast,readout,cross,2026092203,0.15022855227896384,12
interaction,shunt,broadcast,broadcast,readout,cross,2026092204,-0.023433493232088303,12
interaction,shunt,broadcast,broadcast,readout,cross,2026092205,-0.2708213859951781,12
interaction,shunt,broadcast,broadcast,readout,cross,2026092206,0.748186030492526,12
interaction,shunt,broadcast,broadcast,readout,cross,2026092207,-0.25659958419667667,12
interaction,shunt,broadcast,broadcast,readout,cross,2026092208,-0.2826212579568275,12
interaction,shunt,broadcast,broadcast,readout,cross,2026092209,-0.008128599152490756,12
interaction,shunt,broadcast,broadcast,readout,cross,2026092210,-0.03493089885054503,12
interaction,shunt,broadcast,broadcast,readout,cross,2026092211,-0.004496372219189526,12
interaction,shunt,broadcast,broadcast,readout,cross,2026092212,0.8390873111807601,12
interaction,shunt,broadcast,broadcast,readout,cross,2026092213,-0.28670509423581825,12
interaction,shunt,broadcast,broadcast,readout,cross,2026092214,0.6714059904472438,12
interaction,shunt,broadcast,broadcast,readout,cross,2026092215,-0.022371991344035762,12
interaction,shunt,broadcast,broadcast,readout,cross,2026092216,-0.20926720910566318,12
interaction,shunt,broadcast,broadcast,readout,cross,2026092217,-0.08164189351352398,12
interaction,shunt,broadcast,broadcast,readout,cross,2026092218,-0.21154499391228085,12
interaction,shunt,broadcast,broadcast,readout,cross,2026092219,0.0221301624017395,12
interaction,shunt,broadcast,broadcast,readout,within,2026092200,1.0,4
interaction,shunt,broadcast,broadcast,readout,within,2026092201,1.0,4
interaction,shunt,broadcast,broadcast,readout,within,2026092202,1.0,4
interaction,shunt,broadcast,broadcast,readout,within,2026092203,1.0,4
interaction,shunt,broadcast,broadcast,readout,within,2026092204,1.0,4
interaction,shunt,broadcast,broadcast,readout,within,2026092205,1.0,4
interaction,shunt,broadcast,broadcast,readout,within,2026092206,1.0,4
interaction,shunt,broadcast,broadcast,readout,within,2026092207,1.0,4
interaction,shunt,broadcast,broadcast,readout,within,2026092208,0.9999999999999999,4
interaction,shunt,broadcast,broadcast,readout,within,2026092209,1.0,4
interaction,shunt,broadcast,broadcast,readout,within,2026092210,0.9999999999999998,4
interaction,shunt,broadcast,broadcast,readout,within,2026092211,0.9999999999999998,4
interaction,shunt,broadcast,broadcast,readout,within,2026092212,1.0,4
interaction,shunt,broadcast,broadcast,readout,within,2026092213,0.9999999999999999,4
interaction,shunt,broadcast,broadcast,readout,within,2026092214,1.0,4
interaction,shunt,broadcast,broadcast,readout,within,2026092215,1.0,4
interaction,shunt,broadcast,broadcast,readout,within,2026092216,1.0,4
interaction,shunt,broadcast,broadcast,readout,within,2026092217,0.9999999999999999,4
interaction,shunt,broadcast,broadcast,readout,within,2026092218,1.0000000000000002,4
interaction,shunt,broadcast,broadcast,readout,within,2026092219,1.0,4
interaction,shunt,broadcast,broadcast,soma,cross,2026092200,-0.18600789616607882,12
interaction,shunt,broadcast,broadcast,soma,cross,2026092201,-0.04246461741648592,12
interaction,shunt,broadcast,broadcast,soma,cross,2026092202,0.07173101702278549,12
interaction,shunt,broadcast,broadcast,soma,cross,2026092203,-0.12392798217393615,12
interaction,shunt,broadcast,broadcast,soma,cross,2026092204,-0.04091908130695623,12
interaction,shunt,broadcast,broadcast,soma,cross,2026092205,0.16555862681872116,12
interaction,shunt,broadcast,broadcast,soma,cross,2026092206,-0.20651002804136429,12
interaction,shunt,broadcast,broadcast,soma,cross,2026092207,0.10963646425230712,12
interaction,shunt,broadcast,broadcast,soma,cross,2026092208,0.31226484722541037,12
interaction,shunt,broadcast,broadcast,soma,cross,2026092209,-0.08384871836504319,12
interaction,shunt,broadcast,broadcast,soma,cross,2026092210,0.14631579974156364,12
interaction,shunt,broadcast,broadcast,soma,cross,2026092211,-0.07839774016639535,12
interaction,shunt,broadcast,broadcast,soma,cross,2026092212,-0.2762299656817008,12
interaction,shunt,broadcast,broadcast,soma,cross,2026092213,0.18157736372535704,12
interaction,shunt,broadcast,broadcast,soma,cross,2026092214,-0.20298762980276594,12
interaction,shunt,broadcast,broadcast,soma,cross,2026092215,0.1342992984987709,12
