panel,record,endpoint,comparison,unit,n_targets,mean,ci95_low,ci95_high,positive_targets,target_root_id,effect,session,scan_idx,reliability,lambda_value,lambda,n_replicates,n_positive_detections,power,power_ci95_low,power_ci95_high,mean_target_effect,target_effect_sd_across_datasets,mean_effect_mc_se,n_two_sided_rejections,two_sided_rejection_rate,two_sided_ci95_low,two_sided_ci95_high,drawn,scan,partner_index,measured_split_half_spearman,clipped_measured_spearman,pearson_signal_fraction,simulated_mean_split_half_spearman,simulated_se,n_simulated,pre_pt_root_id,repeat_reliability,input_row,route_column,site_segment_id,route_segment_id,value,n_sites,n_routes,coverage,sites_per_route,one_site_routes
B,target_mean,structure_function_partial_r,selected_scans,partial rank correlation,7.0,-0.0694614452169,-0.250817828682,0.105545551658,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,target_value,structure_function_partial_r,selected_scans,partial rank correlation,,,,,,864691135810666525,0.102070778129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,target_value,structure_function_partial_r,selected_scans,partial rank correlation,,,,,,864691135060651419,-0.176672832676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,target_value,structure_function_partial_r,selected_scans,partial rank correlation,,,,,,864691135277186789,0.0760758072721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,target_value,structure_function_partial_r,selected_scans,partial rank correlation,,,,,,864691135739661169,-0.417165261286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,target_value,structure_function_partial_r,selected_scans,partial rank correlation,,,,,,864691135196576298,-0.358036738295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,target_value,structure_function_partial_r,selected_scans,partial rank correlation,,,,,,864691135324623260,-0.0143239844701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,target_value,structure_function_partial_r,selected_scans,partial rank correlation,,,,,,864691135409937097,0.301822114807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,scan_value,shared_path_partial_r,,,,,,,,864691135810666525,-0.145141678,4.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,scan_value,shared_path_partial_r,,,,,,,,864691135810666525,0.1163157542,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,scan_value,shared_path_partial_r,,,,,,,,864691135810666525,0.1020707781,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,scan_value,shared_path_partial_r,,,,,,,,864691135810666525,0.2886838561,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,scan_value,shared_path_partial_r,,,,,,,,864691135060651419,0.1558365383,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,scan_value,shared_path_partial_r,,,,,,,,864691135060651419,-0.01711146525,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,scan_value,shared_path_partial_r,,,,,,,,864691135060651419,-0.1766728327,9.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,scan_value,shared_path_partial_r,,,,,,,,864691135277186789,0.06470783573,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,scan_value,shared_path_partial_r,,,,,,,,864691135277186789,0.07607580727,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,scan_value,shared_path_partial_r,,,,,,,,864691135739661169,-0.4171652613,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,scan_value,shared_path_partial_r,,,,,,,,864691135196576298,-0.3580367383,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,scan_value,shared_path_partial_r,,,,,,,,864691135324623260,-0.01432398447,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,scan_value,shared_path_partial_r,,,,,,,,864691135409937097,0.3018221148,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_mean,shared_path_partial_r,scan_complete,,7.0,-0.04849701761886205,-0.22373056261648766,0.11828959552287029,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_value,shared_path_partial_r,scan_complete,,,,,,,864691135060651419,-0.0126492532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_value,shared_path_partial_r,scan_complete,,,,,,,864691135196576298,-0.3580367383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_value,shared_path_partial_r,scan_complete,,,,,,,864691135277186789,0.0703918215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_value,shared_path_partial_r,scan_complete,,,,,,,864691135324623260,-0.01432398447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_value,shared_path_partial_r,scan_complete,,,,,,,864691135409937097,0.3018221148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_value,shared_path_partial_r,scan_complete,,,,,,,864691135739661169,-0.4171652613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_value,shared_path_partial_r,scan_complete,,,,,,,864691135810666525,0.0904821776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_mean,shared_path_spearman_r,scan_complete,,7.0,-0.024520633376814573,-0.21422908414853892,0.14663073250473316,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_value,shared_path_spearman_r,scan_complete,,,,,,,864691135060651419,-0.08841630182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_value,shared_path_spearman_r,scan_complete,,,,,,,864691135196576298,-0.2966978755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_value,shared_path_spearman_r,scan_complete,,,,,,,864691135277186789,0.1093762899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_value,shared_path_spearman_r,scan_complete,,,,,,,864691135324623260,0.2022599587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_value,shared_path_spearman_r,scan_complete,,,,,,,864691135409937097,0.2523344908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_value,shared_path_spearman_r,scan_complete,,,,,,,864691135739661169,-0.4539206495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_value,shared_path_spearman_r,scan_complete,,,,,,,864691135810666525,0.1034196538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_mean,negative_tree_distance_spearman_r,scan_complete,,7.0,-0.017467355157629434,-0.12974366689062516,0.10157870142979739,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_value,negative_tree_distance_spearman_r,scan_complete,,,,,,,864691135060651419,-0.1833422705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_value,negative_tree_distance_spearman_r,scan_complete,,,,,,,864691135196576298,-0.02448613621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_value,negative_tree_distance_spearman_r,scan_complete,,,,,,,864691135277186789,0.1140127039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_value,negative_tree_distance_spearman_r,scan_complete,,,,,,,864691135324623260,0.2507750798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_value,negative_tree_distance_spearman_r,scan_complete,,,,,,,864691135409937097,0.06872586873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_value,negative_tree_distance_spearman_r,scan_complete,,,,,,,864691135739661169,-0.1484299659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_value,negative_tree_distance_spearman_r,scan_complete,,,,,,,864691135810666525,-0.1995267659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_mean,same_major_branch_delta,scan_complete,,7.0,-0.002740132626662263,-0.08334458508704276,0.06994787383577945,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_value,same_major_branch_delta,scan_complete,,,,,,,864691135060651419,-0.03678052101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_value,same_major_branch_delta,scan_complete,,,,,,,864691135196576298,-0.1590500249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_value,same_major_branch_delta,scan_complete,,,,,,,864691135277186789,0.07256188495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_value,same_major_branch_delta,scan_complete,,,,,,,864691135324623260,0.05664109867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_value,same_major_branch_delta,scan_complete,,,,,,,864691135409937097,0.1366755203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_value,same_major_branch_delta,scan_complete,,,,,,,864691135739661169,-0.1405286151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,target_value,same_major_branch_delta,scan_complete,,,,,,,864691135810666525,0.05129972862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,measured,0.0,0.0,4000.0,99.0,0.02475,0.0203720933368736,0.0300398575099876,0.0018083004638001,0.0799797888272912,0.0012645914973676,198.0,0.0495,0.043199593091043,0.056664865312978,,,,,,,,,,,,,,,,,,,,,
D,detection_probability,,,,,,,,,,,,,perfect,0.0,0.0,4000.0,118.0,0.0295,0.0246909618332872,0.0352118743023218,0.0019211787308552,0.0803206222027421,0.0012699805462127,219.0,0.05475,0.0481177288309395,0.0622366554185396,,,,,,,,,,,,,,,,,,,,,
