panel,record,rule,severity,mean,ci_low,ci_high,n,forward,metric,seed,value,comparison,rate_scope,optimizer,bound
I,seed outcome,exact,,,,,,shunt,ood_3.0,2026092203.0,0.0001506335737798,,,,
I,seed outcome,exact,,,,,,shunt,ood_3.0,2026092204.0,0.0001130357561771,,,,
I,seed outcome,exact,,,,,,shunt,ood_3.0,2026092205.0,0.0001622882576439,,,,
I,seed outcome,exact,,,,,,shunt,ood_3.0,2026092206.0,9.04219797871846e-05,,,,
I,seed outcome,exact,,,,,,shunt,ood_3.0,2026092207.0,0.0001327464905457,,,,
I,seed outcome,exact,,,,,,shunt,ood_3.0,2026092208.0,9.269077101725828e-05,,,,
I,seed outcome,exact,,,,,,shunt,ood_3.0,2026092209.0,7.443311358655528e-05,,,,
I,seed outcome,exact,,,,,,shunt,ood_3.0,2026092210.0,0.0001254156142471,,,,
I,seed outcome,exact,,,,,,shunt,ood_3.0,2026092211.0,0.0001312437774164,,,,
I,seed outcome,exact,,,,,,shunt,ood_3.0,2026092212.0,0.0001984157516407,,,,
I,seed outcome,exact,,,,,,shunt,ood_3.0,2026092213.0,9.971020648896147e-05,,,,
I,seed outcome,exact,,,,,,shunt,ood_3.0,2026092214.0,8.43810626980572e-05,,,,
I,seed outcome,exact,,,,,,shunt,ood_3.0,2026092215.0,0.000148103157469,,,,
I,seed outcome,exact,,,,,,shunt,ood_3.0,2026092216.0,0.0001379582771872,,,,
I,seed outcome,exact,,,,,,shunt,ood_3.0,2026092217.0,0.0001156894285966,,,,
I,seed outcome,exact,,,,,,shunt,ood_3.0,2026092218.0,0.0001531698907762,,,,
I,seed outcome,exact,,,,,,shunt,ood_3.0,2026092219.0,0.0001127628355505,,,,
I,mean and bootstrap interval,broadcast,,0.01050601153527379,0.0087532106990197,0.012519980061403934,20.0,shunt,ood_3.0,,,,,,
I,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092200.0,0.0152486095705045,,,,
I,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092201.0,0.0100488159064166,,,,
I,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092202.0,0.0055978438760745,,,,
I,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092203.0,0.0061612877598202,,,,
