metric,left,right,positive,mean,ci_low,ci_high,n
test_nmse,resistance,derivative,20,0.05082356083812232,0.05034159045629092,0.051291230968499954,20
test_nmse,shuffled_derivative,derivative,20,0.047628644841225934,0.047084981372150864,0.04815910814179373,20
test_nmse,broadcast,derivative,20,0.04939938622878956,0.04722419168509136,0.05140649330107404,20
test_nmse,exact,derivative,6,-1.5267630023271398e-05,-2.750953532758388e-05,-4.110870592843369e-06,20
ood_3.0,resistance,derivative,20,0.05239328518039562,0.05149357283532982,0.053276187410325235,20
ood_3.0,shuffled_derivative,derivative,20,0.05094568765207187,0.05002232273784477,0.051843025118701945,20
ood_3.0,broadcast,derivative,20,0.07616267492155979,0.06879559941913464,0.08440688536678852,20
ood_3.0,exact,derivative,17,0.0009322830157171199,0.0004901480406464848,0.0013835247974974276,20
