seed,variant,forward,rule,rate,step,validation_nmse
2026092200,interaction,shunt,broadcast,0.1,0,2.394220272084955
2026092200,interaction,shunt,broadcast,0.1,128,0.09648383454468873
2026092200,interaction,shunt,broadcast,0.1,256,0.06925994684626022
2026092200,interaction,shunt,broadcast,0.1,384,0.0700083662776021
2026092200,interaction,shunt,broadcast,0.1,512,0.06317119255120053
2026092200,interaction,shunt,broadcast,0.1,640,0.06481154364196823
2026092200,interaction,shunt,broadcast,0.1,768,0.06368453571921641
2026092200,interaction,shunt,broadcast,0.1,896,0.06369283905379751
2026092200,interaction,shunt,broadcast,0.1,1024,0.06137713731942944
2026092200,interaction,shunt,broadcast,0.1,1152,0.06820512977363735
2026092200,interaction,shunt,broadcast,0.1,1280,0.06323064328697114
2026092200,interaction,shunt,broadcast,0.1,1408,0.062382086258061416
2026092200,interaction,shunt,broadcast,0.1,1536,0.06481796959373497
2026092200,interaction,shunt,broadcast,0.1,1664,0.06397162478394648
2026092200,interaction,shunt,broadcast,0.1,1792,0.058069809100762274
2026092200,interaction,shunt,broadcast,0.1,1920,0.060273166472114975
2026092200,interaction,shunt,broadcast,0.1,2048,0.06828932115729515
2026092200,interaction,shunt,broadcast,0.1,2176,0.06133246740937821
2026092200,interaction,shunt,broadcast,0.1,2304,0.0661268232634492
2026092200,interaction,shunt,broadcast,0.1,2432,0.05996911567726304
2026092200,interaction,shunt,broadcast,0.1,2560,0.0625536380368547
2026092200,interaction,shunt,broadcast,0.1,2688,0.061380582612112974
2026092200,interaction,shunt,broadcast,0.1,2816,0.0685003003361878
2026092200,interaction,shunt,broadcast,0.1,2944,0.06292245027896352
2026092200,interaction,shunt,broadcast,0.1,3072,0.07715206669187272
2026092200,interaction,shunt,broadcast,0.1,3200,0.07177932118081326
2026092200,interaction,shunt,broadcast,0.1,3328,0.07126127746752826
2026092200,interaction,shunt,broadcast,0.1,3456,0.06274803987581377
2026092200,interaction,shunt,broadcast,0.1,3584,0.07708633555301697
2026092200,interaction,shunt,broadcast,0.1,3712,0.0762069667224038
2026092200,interaction,shunt,broadcast,0.1,3840,0.062013260268534716
2026092200,interaction,shunt,broadcast,0.1,3968,0.06296956173312053
2026092200,interaction,shunt,broadcast,0.1,4096,0.06435583958596872
2026092200,interaction,shunt,exact,0.03,0,2.394220272084955
2026092200,interaction,shunt,exact,0.03,128,0.08839361744744596
2026092200,interaction,shunt,exact,0.03,256,0.06209903553460622
2026092200,interaction,shunt,exact,0.03,384,0.05535528079117886
2026092200,interaction,shunt,exact,0.03,512,0.04943611528623385
2026092200,interaction,shunt,exact,0.03,640,0.04759518933383372
2026092200,interaction,shunt,exact,0.03,768,0.040375810022394945
2026092200,interaction,shunt,exact,0.03,896,0.03735366462621658
2026092200,interaction,shunt,exact,0.03,1024,0.027940839775684987
2026092200,interaction,shunt,exact,0.03,1152,0.02452569042027607
2026092200,interaction,shunt,exact,0.03,1280,0.017569292403762243
2026092200,interaction,shunt,exact,0.03,1408,0.014100797107035207
