left,right,mean,ci_low,ci_high,positive,n
resistance,derivative,1.797232204482883e-05,1.4319127891642575e-05,2.160846346340707e-05,20,20
shuffled_derivative,derivative,1.4324661662569143e-05,1.095606916740559e-05,1.74670896613933e-05,18,20
broadcast,derivative,8.349789701539632e-05,7.038575555300248e-05,9.841115308364713e-05,20,20
exact,derivative,-2.4266588042077466e-05,-3.1540240505925125e-05,-1.7607512372941566e-05,0,20
