model,epoch,heldout_loss,heldout_accuracy,gradient_cosine_own_state,seed,calibration_samples,cue_noise_sd,cue_delay_trials,method,coefficient_group_accuracy,coefficient_target_mse,maximum_route_norm_error
53,0,0.698647863409,0.4423828125,-0.940912431673,52001,64,0.5,1,learned_local_cue,0.2548828125,0.239805446347,2.22044604925e-16
54,0,0.698647863409,0.4423828125,-0.957431729479,52001,64,0.5,1,frozen_profile,0.25,0.1875,0
55,0,0.698647863409,0.4423828125,-0.959278079996,52001,64,0.5,1,mismatched_encoder,0.24462890625,0.241293765906,2.22044604925e-16
56,0,0.698647863409,0.4423828125,0.977567376075,52001,64,0.5,4,oracle_context,1,0,0
57,0,0.698647863409,0.4423828125,-0.930562736113,52001,64,0.5,4,learned_local_cue,0.2470703125,0.23942796135,2.22044604925e-16
58,0,0.698647863409,0.4423828125,-0.957431729479,52001,64,0.5,4,frozen_profile,0.25,0.1875,0
59,0,0.698647863409,0.4423828125,-0.947760442898,52001,64,0.5,4,mismatched_encoder,0.24951171875,0.241732106218,2.22044604925e-16
60,0,0.698647863409,0.4423828125,0.977567376075,52001,256,0.5,0,oracle_context,1,0,0
61,0,0.698647863409,0.4423828125,-0.618379152618,52001,256,0.5,0,learned_local_cue,0.65380859375,0.115341095528,2.22044604925e-16
62,0,0.698647863409,0.4423828125,-0.957431729479,52001,256,0.5,0,frozen_profile,0.25,0.1875,0
63,0,0.698647863409,0.4423828125,-0.929047908946,52001,256,0.5,0,mismatched_encoder,0.11669921875,0.318780301832,2.22044604925e-16
64,0,0.698647863409,0.4423828125,0.977567376075,52001,256,0.5,1,oracle_context,1,0,0
65,0,0.698647863409,0.4423828125,-0.92015863946,52001,256,0.5,1,learned_local_cue,0.25244140625,0.267598340389,2.22044604925e-16
66,0,0.698647863409,0.4423828125,-0.957431729479,52001,256,0.5,1,frozen_profile,0.25,0.1875,0
67,0,0.698647863409,0.4423828125,-0.950548628329,52001,256,0.5,1,mismatched_encoder,0.24072265625,0.271059673468,2.22044604925e-16
68,0,0.698647863409,0.4423828125,0.977567376075,52001,256,0.5,4,oracle_context,1,0,0
69,0,0.698647863409,0.4423828125,-0.92296531171,52001,256,0.5,4,learned_local_cue,0.2451171875,0.267021674295,2.22044604925e-16
70,0,0.698647863409,0.4423828125,-0.957431729479,52001,256,0.5,4,frozen_profile,0.25,0.1875,0
71,0,0.698647863409,0.4423828125,-0.935220114766,52001,256,0.5,4,mismatched_encoder,0.25244140625,0.270051234575,2.22044604925e-16
72,0,0.698647863409,0.4423828125,0.977567376075,52001,16,1,0,oracle_context,1,0,0
73,0,0.698647863409,0.4423828125,-0.93064351816,52001,16,1,0,learned_local_cue,0.3154296875,0.215797209715,2.22044604925e-16
74,0,0.698647863409,0.4423828125,-0.957431729479,52001,16,1,0,frozen_profile,0.25,0.1875,0
75,0,0.698647863409,0.4423828125,-0.935271443078,52001,16,1,0,mismatched_encoder,0.24365234375,0.236360736804,2.22044604925e-16
76,0,0.698647863409,0.4423828125,0.977567376075,52001,16,1,1,oracle_context,1,0,0
77,0,0.698647863409,0.4423828125,-0.951489537233,52001,16,1,1,learned_local_cue,0.2470703125,0.236609783958,2.22044604925e-16
78,0,0.698647863409,0.4423828125,-0.957431729479,52001,16,1,1,frozen_profile,0.25,0.1875,0
79,0,0.698647863409,0.4423828125,-0.941286298985,52001,16,1,1,mismatched_encoder,0.24462890625,0.238199818795,2.22044604925e-16
80,0,0.698647863409,0.4423828125,0.977567376075,52001,16,1,4,oracle_context,1,0,0
81,0,0.698647863409,0.4423828125,-0.937880085599,52001,16,1,4,learned_local_cue,0.236328125,0.237156135497,2.22044604925e-16
