seed,task,phase,common_rate,optimizer,rate,rule,selected_rate,best_step,validation_nmse,test_nmse,path_rank_one_capture,path_effective_rank,path_unit_oracle_capture,path_calibrated_oracle_capture,credit_rank_one_capture,credit_effective_rank,credit_unit_oracle_capture,credit_calibrated_oracle_capture,eligibility_calibrated_oracle_capture,loss_eligibility_calibrated_oracle_capture
1120,gated_conflict,extension,True,adam,0.03,exact,True,16384,2.2091995876852707e-06,2.1868260749368793e-06,0.8945746428163932,1.2324707267523605,0.5009438144300336,0.8929623229936348,0.8943183581663239,1.2330852529625127,0.5009697615917553,0.8928745671517885,0.9741648635705744,0.9951727646731213
1120,gated_conflict,extension,True,adam,0.03,unit_broadcast,True,16384,1.8510051263648434e-05,1.8303582217896654e-05,0.8970912852186662,1.2264476404751459,0.4954245512929955,0.895382366381544,0.9036338471496448,1.2108874790414463,0.49518938774152776,0.8969774679136476,0.9729026102974255,0.9918966578320049
1120,gated_conflict,extension,True,adam,0.03,calibrated_broadcast,True,16384,2.2892715323716094e-05,2.1930542265423023e-05,0.8976808118707558,1.225039729362753,0.4953011708660637,0.8961383219774626,0.9108139816970092,1.1939781638015108,0.4949646092101885,0.899044947042399,0.9724823843486016,0.9889904323602416
1120,gated_conflict,extension,True,sgd,0.3,exact,True,16384,0.00019316203043742876,0.00017956007082513633,0.8954324316145269,1.2304154527151765,0.5159426932663675,0.8932621678749932,0.900283936964097,1.2188366914761377,0.5153904173372728,0.8958503802388548,0.9720105178309854,0.9777709817840179
1120,gated_conflict,extension,True,sgd,0.3,unit_broadcast,True,16384,0.0009151798614004534,0.0008525716941776045,0.9026956521899914,1.2131099679356003,0.5050976936226232,0.9011161328879346,0.9072246247029696,1.2024089687557908,0.5050199746048661,0.9023209546934117,0.967796818651975,0.9848419303549645
1120,gated_conflict,extension,True,sgd,0.3,calibrated_broadcast,True,16384,0.00022876943833408705,0.00021481209333851556,0.8971047319646557,1.226415514113105,0.5059002592438291,0.8956174486764426,0.8971269743307131,1.2263623749569548,0.5058975220467398,0.8956260503004176,0.9720095951593869,0.98782421689151
1120,ungated_independent,extension,True,adam,0.03,exact,True,16384,4.229072211525111e-06,3.7543971258853477e-06,1.0000000000000013,0.9999999999999974,0.6155275863999458,0.9991964782897378,1.0,1.0,0.6155275863999462,0.999196478289738,0.9996214935169311,0.9996794714755398
1120,ungated_independent,extension,True,adam,0.03,unit_broadcast,True,16384,1.2531566685924538e-07,1.1731982518958581e-07,0.999999999999998,1.000000000000004,0.6148949096612204,0.9991286515205441,1.0000000000000002,0.9999999999999996,0.6148949096612205,0.9991286515205438,0.9995978414935774,0.9997201108431487
1120,ungated_independent,extension,True,adam,0.03,calibrated_broadcast,True,16384,4.6801557767132954e-07,4.2573275714554475e-07,1.0000000000000002,0.9999999999999993,0.6151013833636827,0.9991746619499596,1.0,1.0,0.6151013833636827,0.9991746619499596,0.9996098405634953,0.9997860310987552
1120,ungated_independent,extension,True,sgd,0.3,exact,True,16384,0.0002756531184465729,0.0002592918691428614,0.9999999999999997,1.0000000000000007,0.6325756255280981,0.9982738898317269,1.0000000000000002,0.9999999999999997,0.6325756255280984,0.9982738898317267,0.999365135524753,0.9992981171218611
1120,ungated_independent,extension,True,sgd,0.3,unit_broadcast,True,16384,6.698036024632196e-05,5.849301566249762e-05,0.9999999999999968,1.0000000000000064,0.6258203658575846,0.9994140332192406,0.9999999999999998,1.0000000000000004,0.6258203658575845,0.9994140332192414,0.9998368299211898,0.9998619271258856
1120,ungated_independent,extension,True,sgd,0.3,calibrated_broadcast,True,16384,0.00017437642060683223,0.00016245280850948424,1.0000000000000022,0.9999999999999953,0.629888115338391,0.9987887517464945,1.0000000000000002,0.9999999999999997,0.6298881153383912,0.9987887517464948,0.9995158236836131,0.9994589163405012
