seed,task,phase,step,common_rate,optimizer,rate,rule,selected_rate,path_rank_one_capture,path_effective_rank,path_unit_oracle_capture,path_calibrated_oracle_capture,credit_rank_one_capture,credit_effective_rank,credit_unit_oracle_capture,credit_calibrated_oracle_capture,eligibility_calibrated_oracle_capture,loss_eligibility_calibrated_oracle_capture
1119,gated_conflict,extension,4096,True,adam,0.03,exact,True,0.8961920186186875,1.2285974768361654,0.5444190791914103,0.8654489666483529,0.8961616898386555,1.228670028757076,0.5444208957279004,0.8659101492471774,0.9615902733873052,0.970768498315741
1119,gated_conflict,extension,4096,True,adam,0.03,unit_broadcast,True,0.9038983035975082,1.2102615472624285,0.5462458867747984,0.8692091707250347,0.9143986368193205,1.185603275768721,0.5490437112987341,0.8563575679575356,0.9558832328640539,0.9666604044379884
1119,gated_conflict,extension,4096,True,adam,0.03,calibrated_broadcast,True,0.9056718632757188,1.2060699261294732,0.5425642437476946,0.8716952575616722,0.9135274577588651,1.1876344687117706,0.5444564663097751,0.8604298083891461,0.9547074827694295,0.9629957185301241
1119,gated_conflict,extension,4096,True,sgd,0.3,exact,True,0.8881820870457532,1.2478619984085364,0.544997791185201,0.8536544021790257,0.8886126274441161,1.246821309463384,0.5449768225999452,0.8514621219657894,0.968586220122008,0.9789677266395453
1119,gated_conflict,extension,4096,True,sgd,0.3,unit_broadcast,True,0.9017374784417496,1.21538285307222,0.5480500515043393,0.8343513047801636,0.9021568984558308,1.2143875655632113,0.5487634340656272,0.8445161691260071,0.9528190481337149,0.9750464620922644
1119,gated_conflict,extension,4096,True,sgd,0.3,calibrated_broadcast,True,0.8901936091529237,1.2430048268080922,0.5444307862133051,0.8353813056187905,0.8913680618195358,1.240174839433774,0.5448451402685998,0.8451559948226675,0.9648990186337101,0.9880364738012298
1119,gated_conflict,extension,8192,True,adam,0.03,exact,True,0.8871111102798742,1.2504532527217365,0.5372470915084492,0.855786680077006,0.9070914651187788,1.202722595521281,0.5374906478501167,0.8771253102508086,0.9682884404333105,0.9845287478404328
1119,gated_conflict,extension,8192,True,adam,0.03,unit_broadcast,True,0.8899900128713664,1.243495863365884,0.5407029981959058,0.8824294887945553,0.8919452886331135,1.2387855553190126,0.5419924995327388,0.8783387324576665,0.968043221710211,0.986148393665512
1119,gated_conflict,extension,8192,True,adam,0.03,calibrated_broadcast,True,0.8983364182146395,1.2234753538473817,0.5521792525272925,0.8757836341506591,0.9147753343421055,1.184725819129612,0.5571092989119305,0.8620052018458043,0.9589955288718081,0.9796755480258497
1119,gated_conflict,extension,8192,True,sgd,0.3,exact,True,0.8879244256337847,1.2484850881836926,0.5441926332915891,0.855215481943397,0.8915733768735616,1.2396805597321086,0.5442020352550037,0.8475777673644019,0.9687409715529176,0.9765067779767134
1119,gated_conflict,extension,8192,True,sgd,0.3,unit_broadcast,True,0.8989509520254941,1.222010275852289,0.547511171787449,0.8289399568876805,0.8986027738086714,1.2228401956109534,0.5481238540912222,0.8365719220928342,0.9563664229783515,0.977139515537102
1119,gated_conflict,extension,8192,True,sgd,0.3,calibrated_broadcast,True,0.8899260343501406,1.243650194887057,0.5436448149825217,0.83440106892008,0.8898063777437795,1.2439388701336793,0.5438476878797474,0.8401441115732161,0.9654775680019794,0.9869210492521194
1119,gated_conflict,extension,12288,True,adam,0.03,exact,True,0.8842289754580256,1.2574443674703766,0.5376808018112855,0.8554973730027212,0.9196386761522765,1.1734427786199488,0.5378591223707014,0.8823627021422359,0.9701801336328472,0.9907084012518991
1119,gated_conflict,extension,12288,True,adam,0.03,unit_broadcast,True,0.8822486124799908,1.2622628783633734,0.539598902101951,0.872248880810197,0.890584821069212,1.2420616657720365,0.5383496238231257,0.8778279609921696,0.9729391593025764,0.9895626843465278
1119,gated_conflict,extension,12288,True,adam,0.03,calibrated_broadcast,True,0.8835575937947295,1.2590765958068018,0.5387244884409463,0.8752050462471945,0.8902015851193913,1.2429855929321107,0.5376190939467388,0.879579849180064,0.9725010977910071,0.9898900766345073
1119,gated_conflict,extension,12288,True,sgd,0.3,exact,True,0.8875822042501925,1.2493129870113755,0.5436153058707238,0.8553259011167563,0.893268027887455,1.2356059879522527,0.5436734319799964,0.8456667743110428,0.9688931918748811,0.9737785692370994
1119,gated_conflict,extension,12288,True,sgd,0.3,unit_broadcast,True,0.8963158693325958,1.2283012348498437,0.5490129432897141,0.8389682459607019,0.8966016274361915,1.2276179140230778,0.5496533404043566,0.8472200674657491,0.9592340293836517,0.9818281176672932
1119,gated_conflict,extension,12288,True,sgd,0.3,calibrated_broadcast,True,0.8894987315939712,1.244681284216688,0.5433380911658663,0.8355451895732129,0.8892408703408824,1.2453037877397015,0.5434599885363227,0.8397893464640538,0.966032064507784,0.9868071272084872
1119,gated_conflict,extension,16384,True,adam,0.03,exact,True,0.8813243737934862,1.2645157619538898,0.5387555775987022,0.8529185692911239,0.9106428891156019,1.1943790162032195,0.5386405675228253,0.8299728712731117,0.9714623036163937,0.9892014239787071
1119,gated_conflict,extension,16384,True,adam,0.03,unit_broadcast,True,0.880986468453475,1.2653400683225622,0.5414803486658102,0.8677682770822399,0.8846163454924261,1.2565032423039197,0.5407895192207696,0.871906994926341,0.9733147208515066,0.9862001653453899
1119,gated_conflict,extension,16384,True,adam,0.03,calibrated_broadcast,True,0.8812820424486892,1.264619008722641,0.5412483358461199,0.8685970585328513,0.8848185143645537,1.256012251190814,0.5405638152051826,0.8725588509753068,0.9732415120959532,0.9863100006983624
1119,gated_conflict,extension,16384,True,sgd,0.3,exact,True,0.8872133444724102,1.250205739677763,0.543218476710498,0.8543267623875397,0.8957851651414374,1.2295709947034188,0.5432901734212651,0.8422509724661534,0.9690878859227073,0.9733453380153014
1119,gated_conflict,extension,16384,True,sgd,0.3,unit_broadcast,True,0.8944268076981872,1.2328251837221642,0.5495644449803293,0.8453262343095992,0.8946779799527597,1.2322230025855274,0.5500137959291157,0.8518215858182417,0.961590968802274,0.9809646108289403
1119,gated_conflict,extension,16384,True,sgd,0.3,calibrated_broadcast,True,0.8890896618410865,1.2456689183177316,0.5430031297370748,0.8350358429198843,0.8888395293636083,1.2462730839158358,0.5430482094869004,0.8367493937965051,0.966542685599468,0.9864680505413209
1119,ungated_independent,extension,4096,True,adam,0.03,exact,True,0.999999999999997,1.0000000000000062,0.6761770042586775,0.9664600303535464,1.0,1.0,0.6761770042586774,0.9664600303535469,0.9870678306305366,0.9866807313827445
1119,ungated_independent,extension,4096,True,adam,0.03,unit_broadcast,True,0.9999999999999967,1.0000000000000067,0.6749817891470619,0.9642311448950759,1.0,1.0,0.6749817891470616,0.9642311448950758,0.9860658035189319,0.9841773948309646
1119,ungated_independent,extension,4096,True,adam,0.03,calibrated_broadcast,True,1.0000000000000016,0.9999999999999969,0.674889898090422,0.9649304013384578,1.0,1.0,0.6748898980904223,0.9649304013384581,0.9861950697925456,0.9837189813047571
1119,ungated_independent,extension,4096,True,sgd,0.3,exact,True,1.0000000000000029,0.9999999999999944,0.6743760342257781,0.9719776209308548,1.0,1.0,0.6743760342257785,0.9719776209308549,0.9886751203639838,0.9841111319532896
1119,ungated_independent,extension,4096,True,sgd,0.3,unit_broadcast,True,0.9999999999999983,1.0000000000000033,0.6739843516008626,0.9697457219412746,1.0,1.0,0.6739843516008627,0.9697457219412747,0.98809426855854,0.9848163712707506
1119,ungated_independent,extension,4096,True,sgd,0.3,calibrated_broadcast,True,0.9999999999999969,1.0000000000000062,0.6752566552869832,0.9648418782724173,1.0000000000000004,0.9999999999999992,0.6752566552869835,0.9648418782724174,0.985899418274383,0.9806178544647377
1119,ungated_independent,extension,8192,True,adam,0.03,exact,True,1.0000000000000013,0.9999999999999974,0.6748218952658083,0.9673841050864095,1.0000000000000002,0.9999999999999997,0.6748218952658082,0.9673841050864092,0.9872888975281671,0.9856445715825927
1119,ungated_independent,extension,8192,True,adam,0.03,unit_broadcast,True,1.0000000000000013,0.9999999999999971,0.6746873845055751,0.9660118711930862,1.0,1.0,0.6746873845055751,0.9660118711930857,0.9870490638787714,0.9841236094025267
1119,ungated_independent,extension,8192,True,adam,0.03,calibrated_broadcast,True,1.0000000000000016,0.999999999999997,0.674823675616791,0.9649871278980741,1.0,1.0,0.6748236756167911,0.9649871278980744,0.9866007531894825,0.9845814681305576
1119,ungated_independent,extension,8192,True,sgd,0.3,exact,True,0.9999999999999997,1.0000000000000007,0.6756818007645816,0.9688264800211862,1.0,1.0,0.675681800764582,0.9688264800211868,0.9877787441961194,0.9837376087538277
1119,ungated_independent,extension,8192,True,sgd,0.3,unit_broadcast,True,1.0000000000000002,0.9999999999999997,0.674136385543265,0.9692739615972903,1.0000000000000002,0.9999999999999996,0.674136385543265,0.9692739615972898,0.9879953421548705,0.9856188496514929
1119,ungated_independent,extension,8192,True,sgd,0.3,calibrated_broadcast,True,1.0000000000000009,0.999999999999998,0.6762627884430363,0.9602838897651359,0.9999999999999998,1.0000000000000004,0.6762627884430366,0.960283889765136,0.9845978938238008,0.9796316978960662
1119,ungated_independent,extension,12288,True,adam,0.03,exact,True,0.9999999999999987,1.0000000000000027,0.674270146504047,0.9705153640402548,0.9999999999999998,1.0000000000000004,0.6742701465040472,0.9705153640402544,0.9883378058529927,0.9836761951442936
1119,ungated_independent,extension,12288,True,adam,0.03,unit_broadcast,True,1.0000000000000007,0.9999999999999988,0.6744316142880445,0.9695618150700702,1.0,1.0,0.6744316142880448,0.9695618150700707,0.9885308363900256,0.9857855142299373
1119,ungated_independent,extension,12288,True,adam,0.03,calibrated_broadcast,True,0.9999999999999987,1.0000000000000027,0.6743438410674304,0.9701048715606513,1.0,1.0,0.6743438410674304,0.9701048715606511,0.9886849901893946,0.9856971197266894
1119,ungated_independent,extension,12288,True,sgd,0.3,exact,True,0.9999999999999997,1.0000000000000007,0.6755949283906378,0.9686897264300807,0.9999999999999997,1.0000000000000007,0.6755949283906375,0.96868972643008,0.9877511649645694,0.9842455896104874
1119,ungated_independent,extension,12288,True,sgd,0.3,unit_broadcast,True,1.0000000000000004,0.999999999999999,0.6741460714118233,0.9692090568995025,1.0000000000000002,0.9999999999999994,0.6741460714118236,0.9692090568995021,0.9880250222984364,0.9856964144109897
1119,ungated_independent,extension,12288,True,sgd,0.3,calibrated_broadcast,True,0.9999999999999984,1.0000000000000033,0.6762849123404121,0.9601875606371617,0.9999999999999998,1.0000000000000004,0.676284912340412,0.9601875606371612,0.9846882713302062,0.9804599960770158
1119,ungated_independent,extension,16384,True,adam,0.03,exact,True,1.0000000000000013,0.9999999999999977,0.6745814086950125,0.9684177776419419,1.0000000000000002,0.9999999999999998,0.6745814086950126,0.9684177776419414,0.9878293031770874,0.9916696250529687
1119,ungated_independent,extension,16384,True,adam,0.03,unit_broadcast,True,0.9999999999999992,1.0000000000000018,0.6747750874067577,0.9666606445120296,1.0,1.0,0.6747750874067576,0.9666606445120298,0.9875897959356835,0.9810007749169145
1119,ungated_independent,extension,16384,True,adam,0.03,calibrated_broadcast,True,1.0000000000000009,0.9999999999999981,0.6747150886752188,0.9675098184185121,1.0000000000000002,0.9999999999999997,0.6747150886752188,0.9675098184185122,0.98789025151224,0.9834241665771247
1119,ungated_independent,extension,16384,True,sgd,0.3,exact,True,0.9999999999999988,1.0000000000000024,0.6752943364045111,0.9693831253408293,1.0,1.0,0.6752943364045108,0.9693831253408293,0.9879290506588441,0.9847214463780106
1119,ungated_independent,extension,16384,True,sgd,0.3,unit_broadcast,True,0.9999999999999996,1.0000000000000009,0.6741396752584488,0.9692443029382224,1.0000000000000002,0.9999999999999993,0.6741396752584486,0.9692443029382223,0.9880793408521664,0.9856091193758295
1119,ungated_independent,extension,16384,True,sgd,0.3,calibrated_broadcast,True,0.9999999999999962,1.0000000000000075,0.6761135126324328,0.9613337149982882,0.9999999999999997,1.0000000000000007,0.6761135126324331,0.9613337149982885,0.9850875538259736,0.9811968030131551
