seed,task,phase,step,common_rate,optimizer,rate,rule,selected_rate,validation_nmse,test_nmse,extension_clipped_steps,extension_projected_steps
2117,aligned_strong,extension,8192,True,sgd,0.3,calibrated_broadcast,True,0.00013709392477486107,0.00014745298059227005,0,0
2117,aligned_strong,extension,8192,True,sgd,0.3,ancestry_three_oracle,True,0.00013230366639777958,0.0001418606432423903,0,0
2117,aligned_strong,extension,12288,True,adam,0.03,exact,True,6.623424238031357e-07,6.487580815570871e-07,0,0
2117,aligned_strong,extension,12288,True,adam,0.03,unit_broadcast,True,0.00015098390295302993,0.00016139611100413992,0,0
2117,aligned_strong,extension,12288,True,adam,0.03,calibrated_broadcast,True,0.00015090258825078954,0.00016129286817065722,0,0
2117,aligned_strong,extension,12288,True,adam,0.03,ancestry_three_oracle,True,1.1305932727944222e-07,1.0886506468013581e-07,0,0
2117,aligned_strong,extension,12288,True,sgd,0.3,exact,True,0.00012701416387268807,0.0001369866059786242,0,0
2117,aligned_strong,extension,12288,True,sgd,0.3,unit_broadcast,True,0.00018444547046317725,0.0001903959952465834,0,0
2117,aligned_strong,extension,12288,True,sgd,0.3,calibrated_broadcast,True,0.00015335464151513528,0.00016755685480799868,0,0
2117,aligned_strong,extension,12288,True,sgd,0.3,ancestry_three_oracle,True,0.00012535022023716028,0.00013515784572627523,0,0
2117,aligned_strong,extension,16384,True,adam,0.03,exact,True,5.106098793148172e-06,5.137295755999999e-06,0,0
2117,aligned_strong,extension,16384,True,adam,0.03,unit_broadcast,True,0.00010717121750029365,0.00011178381680517737,0,0
2117,aligned_strong,extension,16384,True,adam,0.03,calibrated_broadcast,True,0.00010718679798477742,0.00011181502066351868,0,0
2117,aligned_strong,extension,16384,True,adam,0.03,ancestry_three_oracle,True,2.956998890881386e-06,3.0395456917514966e-06,0,0
2117,aligned_strong,extension,16384,True,sgd,0.3,exact,True,0.00012355744901371615,0.00013296109916026452,0,0
2117,aligned_strong,extension,16384,True,sgd,0.3,unit_broadcast,True,0.0001813491888215546,0.00018552653134455512,0,0
2117,aligned_strong,extension,16384,True,sgd,0.3,calibrated_broadcast,True,0.00018355775751436327,0.0001994615177972092,0,0
2117,aligned_strong,extension,16384,True,sgd,0.3,ancestry_three_oracle,True,0.00012136956727951414,0.0001305851756971607,0,0
