hierarchy,cohort,run_dir,config_index,seed,regime,architecture,mechanism,credit,depth,branch_factors,result_origin,repair_config_index,total_parameters,trainable_parameters,active_synapses,candidate_synapse_slots,persistent_state_scalars,config_sha256,final_sha256,fallback_mentions,nonfinite_alert,train_accuracy,valid_accuracy,test_accuracy,train_auc,valid_auc,test_auc,train_categorical_loglikelihood,valid_categorical_loglikelihood,test_categorical_loglikelihood
4,journal_h4_aligned_serial_shunting_bp,/n/holylabs/kempner_dev/Users/hsafaai/Code/.dendritic-modeling-journal-runtimes/h4-a99c3a7/physical_depth_h4_runs/journal_h4_aligned_serial_shunting_bp_20260819213856,10,10400,aligned,serial_tree,shunting,full_bp,2,2x3,original_factorial,,66178,66178,14336,16384,2944,e737d29bf528429bc9ef153b6fe0b7088a817b366c7419a9dc07049540b5131d,faf8537c39906477f0876e065d25518a960e61aed3b28d1dcd6fcd0127f6ad5d,0,False,0.7195000052452087,0.7129999995231628,0.7080999612808228,0.7961284518241882,0.7847689390182495,0.7803667783737183,-0.5615231990814209,-0.5701546669006348,-0.5735870599746704
4,journal_h4_aligned_serial_shunting_bp,/n/holylabs/kempner_dev/Users/hsafaai/Code/.dendritic-modeling-journal-runtimes/h4-a99c3a7/physical_depth_h4_runs/journal_h4_aligned_serial_shunting_bp_20260819213856,11,10401,aligned,serial_tree,shunting,full_bp,2,2x3,original_factorial,,66178,66178,14336,16384,2944,a117b9285ea6fde974b73ed4699f3865458a1fc6fabfdd43bd40d7fa4caae352,bcfd4e6230978bcad95a92632359284bc64361f70c3d66be4043ac53ec9619f9,0,False,0.72079998254776,0.7128999829292297,0.7114999890327454,0.7928628921508789,0.7812362909317017,0.7769107222557068,-0.5647529363632202,-0.572950541973114,-0.5766666531562805
4,journal_h4_aligned_serial_shunting_bp,/n/holylabs/kempner_dev/Users/hsafaai/Code/.dendritic-modeling-journal-runtimes/h4-a99c3a7/physical_depth_h4_runs/journal_h4_aligned_serial_shunting_bp_20260819213856,12,10402,aligned,serial_tree,shunting,full_bp,2,2x3,original_factorial,,66178,66178,14336,16384,2944,df59424a7d1e3351ff4d0866cb2d01ab03367f8a4b69e1b27cd1e8f24f4a773d,2a8278d7b19b5d99ba3810836f091501e1dbf8511250f3423f8a9c3fa30a4b57,0,False,0.7137999534606934,0.7076999545097351,0.7042999863624573,0.7882995009422302,0.7773409485816956,0.7793379426002502,-0.5666096806526184,-0.5752658843994141,-0.572502851486206
4,journal_h4_aligned_serial_shunting_bp,/n/holylabs/kempner_dev/Users/hsafaai/Code/.dendritic-modeling-journal-runtimes/h4-a99c3a7/physical_depth_h4_runs/journal_h4_aligned_serial_shunting_bp_20260819213856,13,10403,aligned,serial_tree,shunting,full_bp,2,2x3,original_factorial,,66178,66178,14336,16384,2944,42c50c253ade2ad4614bb090d9fe4528d0711db6638a6ab3fee8ed809f9bff85,58a50b40e722112395f8d0610bef6643b1c2f0e3342862bdc88d650b52a0dada,0,False,0.7203999757766724,0.7024999856948853,0.7116000056266785,0.7862273454666138,0.7772202491760254,0.7832751274108887,-0.569757342338562,-0.5746164917945862,-0.5722413659095764
4,journal_h4_aligned_serial_shunting_bp,/n/holylabs/kempner_dev/Users/hsafaai/Code/.dendritic-modeling-journal-runtimes/h4-a99c3a7/physical_depth_h4_runs/journal_h4_aligned_serial_shunting_bp_20260819213856,14,10404,aligned,serial_tree,shunting,full_bp,2,2x3,original_factorial,,66178,66178,14336,16384,2944,562ef342dee5a86b433b1a55a2e8d607a7083ad3f18a4245590757faed5ffc86,9f10aa1b9bb09da7a4378eb23f383bf5800c912b95b18c1e53a26c0618e45f39,0,False,0.7087999582290649,0.7109000086784363,0.7213000059127808,0.7864294648170471,0.7824578285217285,0.7939194440841675,-0.5687212347984314,-0.5727075338363647,-0.5641033053398132
4,journal_h4_aligned_serial_shunting_bp,/n/holylabs/kempner_dev/Users/hsafaai/Code/.dendritic-modeling-journal-runtimes/h4-a99c3a7/physical_depth_h4_runs/journal_h4_aligned_serial_shunting_bp_20260819213856,15,10405,aligned,serial_tree,shunting,full_bp,2,2x3,original_factorial,,66178,66178,14336,16384,2944,d2e1b0f310a57e05baa0f33214b1bc70c184d4d62c6d296acc32f2036aef9a00,7f6bba3d9a293348a96796678f5aba4bdad0e6c0340cd9d731890fbe57ef5bb5,0,False,0.7186999917030334,0.7204999923706055,0.7055999636650085,0.7892642617225647,0.7935428023338318,0.7792458534240723,-0.568064272403717,-0.5639687776565552,-0.5735234618186951
4,journal_h4_aligned_serial_shunting_bp,/n/holylabs/kempner_dev/Users/hsafaai/Code/.dendritic-modeling-journal-runtimes/h4-a99c3a7/physical_depth_h4_runs/journal_h4_aligned_serial_shunting_bp_20260819213856,16,10406,aligned,serial_tree,shunting,full_bp,2,2x3,original_factorial,,66178,66178,14336,16384,2944,4e246be207f1befd7ca857bf1520de4843d85b9fd00862a1a4c30ddb37de3755,b90e205a381f54634d9ebe6ac7c0a99868e2b30e4d68defefa716c9f1def0897,0,False,0.7227999567985535,0.7071999907493591,0.7137999534606934,0.8001174926757812,0.7777052521705627,0.784786581993103,-0.5546025633811951,-0.5711321830749512,-0.5666958689689636
4,journal_h4_aligned_serial_shunting_bp,/n/holylabs/kempner_dev/Users/hsafaai/Code/.dendritic-modeling-journal-runtimes/h4-a99c3a7/physical_depth_h4_runs/journal_h4_aligned_serial_shunting_bp_20260819213856,17,10407,aligned,serial_tree,shunting,full_bp,2,2x3,original_factorial,,66178,66178,14336,16384,2944,9caa3a3c5b7f1705f47f3633f035dee4133ef43f3c05b1fe6d88c1673ce6b394,19e3edea46241df761e2d0e148b3f033a13a3e7310c85dde7b6a9c439c94a401,0,False,0.7074999809265137,0.715399980545044,0.7178999781608582,0.7850913405418396,0.7872169613838196,0.7872291803359985,-0.56998610496521,-0.5689327120780945,-0.5696214437484741
4,journal_h4_aligned_serial_shunting_bp,/n/holylabs/kempner_dev/Users/hsafaai/Code/.dendritic-modeling-journal-runtimes/h4-a99c3a7/physical_depth_h4_runs/journal_h4_aligned_serial_shunting_bp_20260819213856,18,10408,aligned,serial_tree,shunting,full_bp,2,2x3,original_factorial,,66178,66178,14336,16384,2944,5946210f694298b247491081484e0bcb004aac751d738aab0bab1861c7b668bf,35a6c96f417758212127c57e746809b510cfdfd24fdd7c119765aa961d3b3665,0,False,0.7135999798774719,0.7106999754905701,0.7098999619483948,0.7928867936134338,0.785659670829773,0.7828625440597534,-0.5635581612586975,-0.5683834552764893,-0.5708195567131042
4,journal_h4_aligned_serial_shunting_bp,/n/holylabs/kempner_dev/Users/hsafaai/Code/.dendritic-modeling-journal-runtimes/h4-a99c3a7/physical_depth_h4_runs/journal_h4_aligned_serial_shunting_bp_20260819213856,19,10409,aligned,serial_tree,shunting,full_bp,2,2x3,original_factorial,,66178,66178,14336,16384,2944,97da03a966dd966f44b5ab79df7dfcd804c7aff9b02e7253148024d7b0eb549d,016c32051981b81a7a21ffd2dd304ad589c5e8ad66d47be400df994b975017a3,0,False,0.7224999666213989,0.7102000117301941,0.7078999876976013,0.7955293655395508,0.783786952495575,0.7803220748901367,-0.56098473072052,-0.569452702999115,-0.5725130438804626
