contrast,family,detail,n_seeds,mean_accuracy,mean_pp,ci_low_accuracy,ci_high_accuracy,ci_low_pp,ci_high_pp,positive_pairs,negative_pairs,zero_pairs,exact_two_sided_sign_flip_p,positive_claim_gate,seed_values_pp,bh_adjusted_p_primary_family
depth__serial_bp__aligned__d4_d3,primary,H=4 aligned: D4 minus D3 for serial_bp,10,-0.014579987525939942,-1.4579987525939941,-0.017429983615875243,-0.011649978160858155,-1.7429983615875242,-1.1649978160858154,0,10,0,0.001953125,False,-2.14999914;-0.97999573;-1.63999796;-1.55999660;-1.27000213;-1.75999999;-1.57999992;-1.02999806;-2.03999877;-0.56999922,0.00390625
depth__serial_bp__aligned__d4_d1,primary,H=4 aligned: D4 minus D1 for serial_bp,10,0.2562599956989288,25.625999569892883,0.24706000089645386,0.26400999426841737,24.706000089645386,26.400999426841736,10,0,0,0.001953125,True,26.91000104;26.28999949;26.26000047;25.83000064;26.45999789;27.30000019;25.59999824;25.20999908;22.49000072;23.90999794,0.00390625
depth__serial_bp__rewired_tree__d4_d3,primary,H=4 rewired_tree: D4 minus D3 for serial_bp,10,-0.010970008373260499,-1.0970008373260498,-0.012510007619857788,-0.009549999237060547,-1.2510007619857788,-0.9549999237060547,0,10,0,0.001953125,False,-0.91000199;-0.91000199;-1.15999579;-1.24999881;-0.76000094;-1.17000341;-0.81999898;-1.17000341;-1.21000409;-1.60999894,0.00390625
depth__serial_bp__rewired_tree__d4_d1,primary,H=4 rewired_tree: D4 minus D1 for serial_bp,10,-0.0030900001525878905,-0.30900001525878906,-0.005640000104904175,-0.0009999990463256836,-0.5640000104904175,-0.09999990463256836,1,9,0,0.021484375,False,-0.62000155;0.23000240;-0.18000007;-0.33999681;-0.02999902;-0.19000173;-0.12999773;-0.49000382;-0.13000369;-1.20999813,0.034912109375
placement_interaction__serial_bp__d4_d3,primary,H=4 aligned-minus-reversed D4-minus-D3 interaction for serial_bp,10,-0.0036099791526794434,-0.36099791526794434,-0.007009965181350708,0.00037000775337219237,-0.7009965181350708,0.03700077533721924,2,8,0,0.103515625,False,-1.23999715;-0.06999373;-0.48000216;-0.30999780;-0.51000118;-0.58999658;-0.76000094;0.14000535;-0.82999468;1.03999972,0.1345703125
placement_interaction__serial_bp__d4_d1,primary,H=4 aligned-minus-reversed D4-minus-D1 interaction for serial_bp,10,0.25934999585151675,25.934999585151676,0.2505500018596649,0.2666299998760223,25.05500018596649,26.66299998760223,10,0,0,0.001953125,True,27.53000259;26.05999708;26.44000053;26.16999745;26.48999691;27.49000192;25.72999597;25.70000291;22.62000442;25.11999607,0.00390625
depth__grouped_bp__aligned__d4_d3,primary,H=4 aligned: D4 minus D3 for grouped_bp,10,0.0003000020980834961,0.03000020980834961,-1.0001659393310548e-05,0.0006699979305267334,-0.0010001659393310547,0.06699979305267334,5,4,1,0.1328125,False,-0.02999902;0.00000000;0.05000234;0.05999804;-0.01000166;0.01999736;0.16000271;0.07999539;-0.00999570;-0.01999736,0.1644345238095238
depth__grouped_bp__aligned__d4_d1,primary,H=4 aligned: D4 minus D1 for grouped_bp,10,0.00023001432418823242,0.023001432418823242,4.0012598037719724e-05,0.0004000246524810791,0.004001259803771973,0.04000246524810791,8,2,0,0.04296875,True,0.02000332;0.04000068;0.04000068;0.01999736;0.02999902;0.01000166;0.07000566;-0.01000166;-0.03999472;0.05000234,0.062065972222222224
depth__grouped_bp__rewired_tree__d4_d3,primary,H=4 rewired_tree: D4 minus D3 for grouped_bp,10,9.000301361083984e-05,0.009000301361083984,-0.00026999711990356446,0.0004400014877319336,-0.026999711990356445,0.04400014877319336,6,4,0,0.65625,False,0.04000068;0.01999736;-0.09000301;0.08000135;-0.04999638;0.04000068;0.02000332;-0.02999902;0.09999871;-0.04000068,0.6825
depth__grouped_bp__rewired_tree__d4_d1,primary,H=4 rewired_tree: D4 minus D1 for grouped_bp,10,-9.999871253967285e-05,-0.009999871253967285,-0.0004999995231628418,0.00037000179290771487,-0.04999995231628418,0.037000179290771484,3,7,0,0.708984375,False,-0.04000068;0.01000166;-0.08000135;0.08000135;-0.01000166;-0.06000400;-0.01999736;-0.08999705;0.15000105;-0.04000068,0.708984375
placement_interaction__grouped_bp__d4_d3,primary,H=4 aligned-minus-reversed D4-minus-D3 interaction for grouped_bp,10,0.00020999908447265624,0.020999908447265625,-0.00028998851776123046,0.0007200062274932862,-0.028998851776123047,0.07200062274932861,5,5,0,0.46484375,False,-0.06999969;-0.01999736;0.14000535;-0.02000332;0.03999472;-0.02000332;0.13999939;0.10999441;-0.10999441;0.02000332,0.5035807291666666
placement_interaction__grouped_bp__d4_d1,primary,H=4 aligned-minus-reversed D4-minus-D1 interaction for grouped_bp,10,0.00033001303672790526,0.03300130367279053,-0.00027997493743896483,0.0007900238037109375,-0.027997493743896484,0.07900238037109375,8,2,0,0.271484375,False,0.06000400;0.02999902;0.12000203;-0.06000400;0.04000068;0.07000566;0.09000301;0.07999539;-0.18999577;0.09000301,0.32084517045454547
depth__shared_local__aligned__d4_d3,primary,H=4 aligned: D4 minus D3 for shared_local,10,0.05269999504089355,5.2699995040893555,0.0484100042283535,0.05721998810768127,4.84100042283535,5.721998810768127,10,0,0,0.001953125,True,5.15999794;5.30999899;4.70000505;4.24000025;6.01999760;4.49000001;6.00000024;6.56999946;5.44999838;4.75999713,0.00390625
depth__shared_local__aligned__d4_d1,primary,H=4 aligned: D4 minus D1 for shared_local,10,0.11689999103546142,11.689999103546143,0.1105699896812439,0.12310998439788819,11.05699896812439,12.310998439788818,10,0,0,0.001953125,True,12.57999539;11.68999672;10.94000340;9.97999907;12.52999902;11.65000200;13.10999990;12.92999983;10.99999547;10.49000025,0.00390625
