hierarchy,regime,architecture,mechanism,credit,depth,n_seeds,mean_test_accuracy,ci_low,ci_high
4,aligned,grouped_point,shunting,full_bp,1,10,0.5962499797344207,0.593729990720749,0.5998599709570408
4,aligned,grouped_point,shunting,full_bp,2,10,0.5963799893856049,0.5940799951553345,0.5997399866580964
4,aligned,grouped_point,shunting,full_bp,3,10,0.5961799919605255,0.5938999950885773,0.5996099889278412
4,aligned,grouped_point,shunting,full_bp,4,10,0.596479994058609,0.5940100014209747,0.5999300004541873
4,aligned,serial_tree,raw_additive,full_bp,1,10,0.5564399838447571,0.5326297403872013,0.5780499935150146
4,aligned,serial_tree,raw_additive,full_bp,2,10,0.5357799828052521,0.5255599854886532,0.5480299830436707
4,aligned,serial_tree,raw_additive,full_bp,3,10,0.5339299857616424,0.5225399911403656,0.5446999730169773
4,aligned,serial_tree,raw_additive,full_bp,4,10,0.5283799886703491,0.513619989156723,0.544289976656437
4,aligned,serial_tree,shunting,full_bp,1,10,0.5962499856948853,0.5937199890613556,0.5998599827289581
4,aligned,serial_tree,shunting,full_bp,2,10,0.7111899793148041,0.708249980211258,0.7144699811935424
4,aligned,serial_tree,shunting,full_bp,3,10,0.867089968919754,0.8589799642562866,0.8743399679660797
4,aligned,serial_tree,shunting,full_bp,4,10,0.8525099813938141,0.8459399759769439,0.8582899868488312
4,aligned,serial_tree,shunting,local_path,1,10,0.5966299831867218,0.5943999767303467,0.5995999872684479
4,aligned,serial_tree,shunting,local_path,2,10,0.6764399886131287,0.6734499871730805,0.6796499907970428
4,aligned,serial_tree,shunting,local_path,3,10,0.7586899816989898,0.7487799823284149,0.7695299804210662
4,aligned,serial_tree,shunting,local_path,4,10,0.7647099733352661,0.7567299722135067,0.7736199796199799
4,aligned,serial_tree,shunting,local_shared,1,10,0.5967599868774414,0.5944197303056717,0.6000599920749664
4,aligned,serial_tree,shunting,local_shared,2,10,0.6300199866294861,0.6274899840354919,0.6324299871921539
4,aligned,serial_tree,shunting,local_shared,3,10,0.6609599828720093,0.6579399824142456,0.6639399826526642
4,aligned,serial_tree,shunting,local_shared,4,10,0.7136599779129028,0.7072497139871121,0.7199299696087837
4,rewired_tree,grouped_point,shunting,full_bp,1,10,0.598149985074997,0.5955499947071076,0.6010899782180786
4,rewired_tree,grouped_point,shunting,full_bp,2,10,0.5981799900531769,0.595499986410141,0.6012899875640869
4,rewired_tree,grouped_point,shunting,full_bp,3,10,0.5979599833488465,0.5953699827194214,0.6010099947452545
4,rewired_tree,grouped_point,shunting,full_bp,4,10,0.5980499863624573,0.5952599823474884,0.6013299882411957
4,rewired_tree,serial_tree,shunting,full_bp,1,10,0.5980599820613861,0.5954099893569946,0.6011299729347229
4,rewired_tree,serial_tree,shunting,full_bp,2,10,0.5971699774265289,0.5945399761199951,0.6005599856376648
4,rewired_tree,serial_tree,shunting,full_bp,3,10,0.6059399902820587,0.6030799925327301,0.6095199884474277
4,rewired_tree,serial_tree,shunting,full_bp,4,10,0.5949699819087982,0.5921299755573273,0.5983899772167206
4,rewired_tree,serial_tree,shunting,local_path,1,10,0.5970199823379516,0.5943399845063687,0.600169974565506
4,rewired_tree,serial_tree,shunting,local_path,2,10,0.5964199781417847,0.593429970741272,0.6000799775123596
4,rewired_tree,serial_tree,shunting,local_path,3,10,0.6003099918365479,0.597489982843399,0.6038899959623814
4,rewired_tree,serial_tree,shunting,local_path,4,10,0.593589985370636,0.5910899877548218,0.5965899707376957
4,rewired_tree,serial_tree,shunting,local_shared,1,10,0.5969099760055542,0.5941799759864808,0.6000699698925018
4,rewired_tree,serial_tree,shunting,local_shared,2,10,0.5972099781036377,0.5946199774742127,0.600439977645874
4,rewired_tree,serial_tree,shunting,local_shared,3,10,0.5993199825286866,0.5963399946689606,0.6032999813556671
4,rewired_tree,serial_tree,shunting,local_shared,4,10,0.5926399827003479,0.5904999850690366,0.5952599763870239
